Displacement [mm],Force [kN]
-2.76E+01,-4.79E+02
-2.65E+01,-4.20E+02
-2.55E+01,-3.62E+02
-2.45E+01,-3.07E+02
-2.29E+01,-2.27E+02
-2.19E+01,-1.72E+02
-2.09E+01,-1.14E+02
-1.95E+01,-4.48E+01
-1.82E+01,3.10E+01
-1.68E+01,9.65E+01
-1.57E+01,1.58E+02
-1.43E+01,2.24E+02
-1.34E+01,2.76E+02
-1.23E+01,3.27E+02
-1.04E+01,4.07E+02
-9.49E+00,4.48E+02
-8.29E+00,5.00E+02
-7.09E+00,5.51E+02
-5.68E+00,6.13E+02
-3.68E+00,6.99E+02
-5.41E+00,5.10E+02
-6.48E+00,4.00E+02
-7.09E+00,3.41E+02
-5.21E+00,5.34E+02
-7.09E+00,3.45E+02
-8.49E+00,2.00E+02
-1.04E+01,2.07E+01
-1.08E+01,-1.03E+01
-1.55E+01,-2.86E+02
-1.34E+01,-1.24E+02
-1.13E+01,6.20E+01
-1.09E+01,8.61E+01
-1.02E+01,1.55E+02
-8.96E+00,2.58E+02
-7.82E+00,3.55E+02
-6.95E+00,4.20E+02
-6.08E+00,4.96E+02
-4.88E+00,6.03E+02
-3.88E+00,6.75E+02
-4.55E+00,5.96E+02
-6.95E+00,3.41E+02
-8.42E+00,2.03E+02
-9.89E+00,4.82E+01
-1.05E+01,-1.38E+01
-1.30E+01,-1.65E+02
-1.39E+01,-2.24E+02
-1.51E+01,-2.93E+02
-1.61E+01,-3.51E+02
-1.67E+01,-3.76E+02
-1.70E+01,-3.96E+02
-1.78E+01,-4.27E+02
-1.88E+01,-4.55E+02
-2.01E+01,-4.79E+02
-2.15E+01,-4.96E+02
-2.29E+01,-5.00E+02
-2.65E+01,-5.06E+02
-2.93E+01,-5.10E+02
-3.28E+01,-4.82E+02
-3.62E+01,-4.51E+02
-3.96E+01,-4.31E+02
-4.18E+01,-4.13E+02
-4.55E+01,-3.86E+02
-4.83E+01,-3.65E+02
-5.34E+01,-3.31E+02
-5.06E+01,-2.58E+02
-4.82E+01,-1.96E+02
-4.52E+01,-1.24E+02
-4.24E+01,-5.86E+01
-3.98E+01,6.89E+00
-3.72E+01,4.13E+01
-3.42E+01,9.30E+01
-3.11E+01,1.48E+02
-2.63E+01,2.27E+02
-2.22E+01,3.00E+02
-1.86E+01,3.58E+02
-1.70E+01,3.96E+02
-1.34E+01,4.75E+02
-1.06E+01,5.51E+02
-8.22E+00,5.93E+02
-5.88E+00,6.58E+02
-7.09E+00,5.51E+02
-7.89E+00,4.69E+02
-8.69E+00,3.93E+02
-9.36E+00,3.38E+02
-9.83E+00,2.79E+02
-1.02E+01,2.45E+02
-1.04E+01,2.24E+02
-1.08E+01,1.86E+02
-1.17E+01,1.38E+02
-1.22E+01,9.65E+01
-1.32E+01,3.45E+01
-1.38E+01,-1.38E+01
-1.48E+01,-6.89E+01
-1.55E+01,-1.10E+02
-1.63E+01,-1.52E+02
-1.76E+01,-2.10E+02
-1.84E+01,-2.41E+02
-1.95E+01,-2.69E+02
-2.02E+01,-2.89E+02
-2.11E+01,-3.10E+02
-2.19E+01,-3.31E+02
-2.32E+01,-3.45E+02
-2.43E+01,-3.48E+02
-2.63E+01,-3.51E+02
-2.85E+01,-3.55E+02
-3.35E+01,-3.45E+02
-3.67E+01,-3.41E+02
-4.24E+01,-3.34E+02
-4.10E+01,-2.76E+02
-3.78E+01,-1.65E+02
-3.53E+01,-8.96E+01
-3.28E+01,-1.38E+01
-3.13E+01,1.72E+01
-2.69E+01,1.10E+02
-2.35E+01,1.86E+02
-1.94E+01,2.83E+02
-1.58E+01,3.72E+02
-1.37E+01,4.20E+02
-1.16E+01,4.72E+02
-9.96E+00,5.10E+02
-8.62E+00,5.48E+02
-7.42E+00,5.89E+02
-8.62E+00,4.82E+02
-9.49E+00,4.17E+02
-1.02E+01,3.51E+02
-1.10E+01,2.96E+02
-1.20E+01,2.10E+02
-1.29E+01,1.27E+02
-1.40E+01,6.20E+01
-1.52E+01,-1.03E+01
-1.62E+01,-6.89E+01
-1.72E+01,-1.21E+02
-1.82E+01,-1.58E+02
-1.93E+01,-2.03E+02
-2.05E+01,-2.31E+02
-2.19E+01,-2.65E+02
-2.32E+01,-2.89E+02
-2.45E+01,-3.00E+02
-2.55E+01,-3.10E+02
-2.70E+01,-3.14E+02
-2.98E+01,-3.10E+02
-3.50E+01,-3.14E+02
-3.70E+01,-3.17E+02
-3.90E+01,-3.07E+02
-4.10E+01,-3.00E+02
-3.98E+01,-2.41E+02
-3.84E+01,-1.96E+02
-3.63E+01,-1.31E+02
-3.42E+01,-6.89E+01
-3.22E+01,-6.89E+00
-3.13E+01,2.07E+01
-2.79E+01,8.27E+01
-2.39E+01,1.52E+02
-2.08E+01,2.14E+02
-1.77E+01,2.76E+02
