Displacement [mm],Force [kN]
-5.5844,222.8653
-4.0332,231.2489
1.5822,255.0026
6.5151,277.3590
10.8275,298.3181
14.0541,315.0854
14.9848,319.2772
15.2020,316.4827
15.0779,274.5644
14.3023,130.6452
13.5267,10.4796
12.9062,-49.6032
12.3477,-87.3297
11.6962,-119.4670
10.8896,-146.0152
10.0519,-165.5770
8.9350,-189.3307
7.3838,-201.9062
5.9877,-208.8925
4.5606,-215.8789
0.9307,-232.6462
-0.0931,-238.2353
-2.3268,-243.8244
-3.5058,-248.0162
-5.5534,-253.6053
-9.1212,-271.7699
-12.4408,-291.3317
-14.9848,-303.9072
-15.3261,-303.9072
-15.4502,-299.7154
-13.9920,-112.4806
-13.2474,-37.0278
-12.1616,45.4114
-11.3549,87.3297
-10.5483,119.4670
-9.5866,144.6179
-8.3456,168.3716
-6.4841,187.9334
-5.3983,197.7143
-3.9711,204.7007
0.5895,224.2625
4.9019,241.0298
10.9206,270.3726
14.7987,291.3317
15.2020,294.1263
14.9848,246.6189
14.3023,127.8506
13.5887,31.4387
13.1854,-9.0823
12.8131,-41.2196
12.2547,-74.7542
11.5721,-101.3024
11.0137,-119.4670
10.1760,-143.2206
8.9040,-164.1797
7.6320,-178.1525
6.7633,-185.1389
5.7395,-190.7280
1.4892,-211.6871
-3.3196,-228.4544
-5.8946,-239.6326
-9.4004,-255.0026
-14.2092,-282.9481
-15.2330,-282.9481
-15.3881,-280.1535
-13.8679,-104.0969
-12.3477,28.6441
-11.6962,62.1787
-11.0137,91.5215
-10.0829,119.4670
-8.7799,143.2206
-7.4769,162.7825
-5.9257,176.7552
-5.0880,180.9470
-1.7684,196.3171
4.2503,217.2762
9.4314,242.4271
13.5887,264.7835
14.8297,271.7699
15.1710,271.7699
15.1089,263.3862
14.3333,130.6452
13.8059,66.3705
13.4026,25.8496
12.7200,-25.8496
12.3788,-46.8087
11.9134,-67.7678
11.3549,-90.1242
10.5483,-112.4806
9.6796,-130.6452
8.4697,-151.6043
7.2287,-165.5770
6.1428,-176.7552
3.9091,-185.1389
1.2100,-196.3171
-2.1717,-204.7007
-4.4365,-210.2898
-7.7251,-224.2625
-9.2763,-231.2489
-11.7583,-245.2217
-13.9300,-259.1944
-14.9848,-263.3862
-15.3261,-263.3862
-14.1471,-125.0561
-13.2164,-38.4250
-12.4718,20.2605
-11.4480,66.3705
-10.3311,101.3024
-9.3694,122.2615
-8.3146,139.0288
-7.3528,150.2070
-6.1739,161.3852
-3.9711,172.5634
-0.5584,186.5361
4.4985,206.0980
8.5317,222.8653
11.7893,239.6326
13.7749,250.8108
14.7676,257.7971
15.1399,257.7971
14.3023,130.6452
13.8369,64.9733
13.4336,27.2469
12.7200,-24.4523
12.4098,-46.8087
11.9134,-67.7678
11.4170,-85.9324
10.6104,-113.8779
9.6176,-133.4397
8.7799,-141.8234
7.6320,-155.7961
6.6392,-166.9743
5.4913,-172.5634
2.3889,-186.5361
-0.4964,-193.5225
-3.5678,-203.3034
-7.4769,-218.6735
-9.1832,-224.2625
-10.3001,-231.2489
