Displacement [mm],Force [kN]
-6.80E+00,-1.92E+01
-6.15E+00,-5.77E+00
-5.69E+00,1.48E+00
-5.24E+00,8.73E+00
-5.04E+00,1.08E+01
-4.64E+00,1.70E+01
-4.40E+00,2.12E+01
-3.74E+00,3.05E+01
-3.33E+00,3.88E+01
-2.93E+00,4.60E+01
-2.41E+00,5.74E+01
-1.98E+00,6.68E+01
-1.66E+00,7.61E+01
-1.32E+00,8.54E+01
-9.96E-01,9.78E+01
-6.90E-01,1.09E+02
-3.68E-01,1.24E+02
-9.19E-02,1.36E+02
3.52E-01,1.60E+02
6.90E-01,1.80E+02
8.28E-01,1.91E+02
9.96E-01,1.98E+02
1.20E+00,2.13E+02
1.33E+00,2.20E+02
1.50E+00,2.34E+02
1.61E+00,2.40E+02
1.96E+00,2.61E+02
1.56E+00,1.86E+02
1.24E+00,1.44E+02
9.96E-01,1.21E+02
8.12E-01,9.68E+01
6.59E-01,7.71E+01
4.75E-01,5.95E+01
3.22E-01,4.40E+01
1.99E-01,2.74E+01
-3.06E-02,1.48E+00
-4.01E-02,-2.79E-01
-3.33E-01,-2.93E+01
-5.37E-01,-4.94E+01
-6.95E-01,-6.27E+01
-8.53E-01,-7.28E+01
-1.01E+00,-8.06E+01
-1.19E+00,-8.39E+01
-1.51E+00,-8.39E+01
-1.89E+00,-8.06E+01
-2.43E+00,-7.61E+01
-2.70E+00,-7.28E+01
-3.02E+00,-6.94E+01
-3.43E+00,-6.61E+01
-3.90E+00,-6.16E+01
-4.62E+00,-5.72E+01
-5.88E+00,-4.94E+01
-6.61E+00,-4.60E+01
-7.15E+00,-4.16E+01
-7.78E+00,-3.82E+01
-7.31E+00,-2.59E+01
-6.20E+00,-6.97E+00
-5.84E+00,-1.39E+00
-5.48E+00,4.18E+00
-4.71E+00,1.53E+01
-3.85E+00,2.76E+01
-2.75E+00,4.55E+01
-2.12E+00,5.66E+01
-1.60E+00,6.78E+01
-1.24E+00,7.78E+01
-9.65E-01,8.56E+01
-6.95E-01,9.34E+01
-4.24E-01,1.01E+02
-4.01E-02,1.07E+02
4.11E-01,1.08E+02
4.56E-01,1.07E+02
8.63E-01,1.05E+02
1.22E+00,9.79E+01
1.45E+00,8.78E+01
1.65E+00,7.45E+01
1.72E+00,5.88E+01
1.61E+00,4.77E+01
1.47E+00,3.76E+01
1.31E+00,2.87E+01
1.04E+00,1.87E+01
7.50E-01,8.65E+00
4.79E-01,-1.39E+00
-6.27E-02,-1.59E+01
-3.33E-01,-2.37E+01
-5.82E-01,-3.04E+01
-8.98E-01,-3.71E+01
-1.19E+00,-4.38E+01
-1.48E+00,-4.94E+01
-1.82E+00,-5.38E+01
-2.25E+00,-5.49E+01
-3.40E+00,-5.38E+01
-4.46E+00,-5.05E+01
-5.66E+00,-4.27E+01
-7.87E+00,-2.93E+01
-6.72E+00,-2.04E+01
-6.02E+00,-1.37E+01
-5.07E+00,-8.09E+00
-3.79E+00,-2.79E-01
-2.66E+00,6.41E+00
-1.82E+00,1.20E+01
-5.82E-01,1.76E+01
-1.76E-02,1.98E+01
4.79E-01,1.87E+01
8.40E-01,1.76E+01
1.27E+00,1.42E+01
1.49E+00,9.76E+00
1.34E+00,6.41E+00
9.30E-01,4.18E+00
-6.27E-02,-1.39E+00
-7.17E-01,-2.79E-01
-1.10E+00,-3.63E+00
-1.66E+00,-6.97E+00
-2.36E+00,-1.03E+01
-5.21E+00,-1.59E+01
-7.85E+00,-2.26E+01
-7.31E+00,-1.81E+01
-7.01E+00,-1.48E+01
-6.04E+00,-6.97E+00
