Displacement [mm],Force [kN]
1.61E+01,1.68E+03
1.94E+01,1.91E+03
2.13E+01,1.97E+03
2.55E+01,2.33E+03
2.80E+01,2.52E+03
3.04E+01,2.58E+03
3.20E+01,2.59E+03
3.22E+01,2.46E+03
3.22E+01,2.26E+03
3.15E+01,2.06E+03
3.01E+01,1.77E+03
2.83E+01,1.36E+03
2.66E+01,1.03E+03
2.57E+01,8.31E+02
2.38E+01,5.01E+02
2.27E+01,3.14E+02
2.15E+01,1.71E+02
2.08E+01,8.26E+01
1.96E+01,5.50E+00
1.82E+01,-4.95E+01
1.71E+01,-1.82E+02
1.59E+01,-3.69E+02
1.47E+01,-5.34E+02
1.36E+01,-7.21E+02
1.21E+01,-8.75E+02
1.05E+01,-9.85E+02
8.88E+00,-1.03E+03
7.48E+00,-1.05E+03
5.37E+00,-1.03E+03
2.34E+00,-9.96E+02
2.10E+00,-9.74E+02
0.00E+00,-9.63E+02
-7.01E-01,-8.97E+02
-2.34E+00,-9.08E+02
-1.03E+01,-8.20E+02
-2.03E+01,-7.21E+02
-2.92E+01,-6.44E+02
-3.83E+01,-5.89E+02
-4.88E+01,-5.01E+02
-5.14E+01,-4.68E+02
-5.26E+01,-4.46E+02
-5.35E+01,-4.68E+02
-5.49E+01,-4.46E+02
-5.49E+01,-3.69E+02
-4.46E+01,-9.36E+01
-4.14E+01,-1.65E+01
-3.81E+01,4.95E+01
-3.15E+01,1.49E+02
-2.06E+01,3.58E+02
-1.07E+01,5.45E+02
-3.74E+00,6.66E+02
5.14E+00,9.08E+02
1.10E+01,1.08E+03
1.64E+01,1.27E+03
2.08E+01,1.50E+03
2.34E+01,1.61E+03
2.78E+01,1.93E+03
3.04E+01,2.12E+03
3.34E+01,2.30E+03
3.34E+01,2.30E+03
3.32E+01,1.93E+03
3.22E+01,1.63E+03
3.08E+01,1.36E+03
2.97E+01,1.10E+03
2.78E+01,7.54E+02
2.59E+01,4.24E+02
2.48E+01,2.37E+02
2.31E+01,9.36E+01
2.20E+01,-1.65E+01
2.06E+01,-6.06E+01
1.80E+01,-3.58E+02
1.66E+01,-5.67E+02
1.43E+01,-7.76E+02
1.07E+01,-8.42E+02
5.61E+00,-8.64E+02
9.35E-01,-8.09E+02
-9.58E+00,-6.66E+02
-1.59E+01,-5.78E+02
-2.36E+01,-4.90E+02
-3.22E+01,-4.35E+02
-4.23E+01,-3.91E+02
-5.16E+01,-3.36E+02
-6.33E+01,-2.92E+02
-6.50E+01,-2.92E+02
-6.50E+01,-2.15E+02
-5.68E+01,-8.26E+01
-5.23E+01,5.50E+00
-4.39E+01,1.05E+02
-3.48E+01,2.15E+02
-2.48E+01,3.25E+02
-1.14E+01,4.57E+02
-1.64E+00,5.89E+02
5.84E+00,7.32E+02
1.14E+01,8.75E+02
1.54E+01,1.01E+03
1.85E+01,1.13E+03
1.94E+01,1.06E+03
2.17E+01,1.15E+03
2.31E+01,1.15E+03
2.41E+01,1.07E+03
