Elongation [mm],Equivalent plastic strain
0.984,1.098757505
0.972,1.102587461
0.96,1.106432915
0.948,1.110289216
0.936,1.114150286
0.924,1.118011713
0.912,1.121868134
0.9,1.125716567
0.888,1.129555464
0.876,1.133383155
0.864,1.137196422
0.852,1.140993953
0.84,1.144776106
0.828,1.148541451
0.816,1.15228951
0.804,1.156019688
0.792,1.159731865
0.78,1.163426638
0.768,1.167101622
0.756,1.170758843
0.744,1.174397945
0.732,1.178018928
0.72,1.181622505
0.708,1.185207844
0.696,1.188776731
0.684,1.192328215
0.672,1.195863724
0.66,1.19938314
0.648,1.202887774
0.636,1.206377387
0.624,1.209852695
0.612,1.21331358
0.6,1.216760874
0.588,1.220195651
0.576,1.223614931
0.564,1.227022409
0.552,1.230417132
0.54,1.233799577
0.528,1.237169981
0.516,1.240529537
0.504,1.243875504
0.492,1.24721086
0.48,1.25053525
0.468,1.253848672
0.456,1.257152319
0.444,1.260444641
0.432,1.263727188
0.42,1.266998053
0.408,1.270261168
0.396,1.273513556
0.384,1.276755571
0.372,1.279989243
0.36,1.283213139
0.348,1.286427736
0.336,1.289629459
0.324,1.292819977
0.312,1.295997143
0.3,1.299159527
0.288,1.302309275
0.276,1.305447578
0.264,1.308571458
0.252,1.311683893
0.24,1.314785004
0.228,1.317876816
0.216,1.320955515
0.204,1.324024439
0.192,1.327083349
0.18,1.330132127
0.168,1.333170891
0.156,1.33619976
0.144,1.339218616
0.132,1.342228174
0.12,1.345228195
0.108,1.348218203
0.096,1.351198554
0.084,1.354169488
0.072,1.357131481
0.06,1.360082388
0.048,1.363012314
0.036,1.365922689
0.024,1.368816733
0.012,1.371697307
0.0,1.374565959
0.012,1.374565959
0.024,1.374565959
0.036,1.374565959
0.048,1.374565959
0.06,1.376607418
0.072,1.379269958
0.084,1.381827354
0.096,1.38432169
0.108,1.386796832
0.12,1.389292121
0.132,1.39184463
0.144,1.394485354
0.156,1.397230625
0.168,1.400087357
0.18,1.403055668
0.192,1.406130552
0.204,1.409305215
0.216,1.412569523
0.228,1.415913939
0.24,1.419328928
0.252,1.422804713
0.264,1.426333189
0.276,1.42990756
0.288,1.43351984
0.3,1.43716526
0.312,1.440838575
0.324,1.444536448
0.336,1.448255539
0.348,1.451992273
0.36,1.455745101
0.372,1.459512234
0.384,1.463292003
0.396,1.467083693
0.408,1.470885158
0.42,1.474696875
0.432,1.478517771
0.444,1.482346773
0.456,1.486184597
0.468,1.490029097
0.48,1.493885279
0.492,1.497750759
0.504,1.501626968
0.516,1.505515695
0.528,1.509417534
0.54,1.513334036
0.552,1.517265797
0.564,1.521214366
0.576,1.52518034
0.588,1.529164672
0.6,1.533168912
0.612,1.537193775
0.624,1.541240573
0.636,1.545310497
0.648,1.549404383
0.66,1.553524017
0.672,1.557669878
0.684,1.561842918
0.696,1.566043854
0.708,1.57027328
0.72,1.57453239
0.732,1.578821898
0.744,1.583142996
0.756,1.587496042
0.768,1.59188199
0.78,1.596301794
0.792,1.600756645
0.804,1.605247259
0.816,1.60977447
0.828,1.614338994
0.84,1.618942022
0.852,1.623584509
0.864,1.628267407
0.876,1.632991314
0.888,1.637757659
0.9,1.642566919
0.912,1.647420406
0.924,1.652318716
0.936,1.657263398
0.948,1.662255049
0.96,1.667294979
0.972,1.672383547
0.984,1.677522421
0.996,1.682712555
1.008,1.687954903
1.02,1.693250418
1.032,1.698600531
1.044,1.704005718
1.056,1.709467649
1.068,1.71498704
1.08,1.720565557
1.092,1.726201534
1.104,1.731900454
1.116,1.737661839
1.128,1.743489146
1.14,1.749379277
1.152,1.755335569
1.164,1.761359334
1.176,1.767448902
1.188,1.773609996
1.2,1.779842138
1.188,1.779842138
1.176,1.779842138
1.164,1.779842138
1.152,1.780306578
1.14,1.783162951
1.128,1.786135435
1.116,1.789168954
1.104,1.792289972
1.092,1.79551959
1.08,1.798866749
1.068,1.802330971
1.056,1.805904627
1.044,1.809575915
1.032,1.813330531
1.02,1.817153692
1.008,1.821032524
0.996,1.824951887
0.984,1.828900337
0.972,1.832870126
0.96,1.836852551
0.948,1.840840578
0.936,1.844829321
0.924,1.848814726
0.912,1.852790833
0.9,1.856757045
0.888,1.860710502
0.876,1.864649296
0.864,1.868573308
0.852,1.872478008
0.84,1.876366138
0.828,1.880235434
0.816,1.884086847
0.804,1.887917519
0.792,1.891729832
0.78,1.895522594
0.768,1.899296284
0.756,1.90305078
0.744,1.906786442
0.732,1.910503149
0.72,1.914201379
0.708,1.917882442
0.696,1.921543717
0.684,1.925187826
0.672,1.928814769
0.66,1.932424664
0.648,1.936017275
0.636,1.939593554
0.624,1.943153858
0.612,1.94669795
0.6,1.950226188
0.588,1.953739285
0.576,1.957237005
0.564,1.960720062
0.552,1.964188457
0.54,1.967642546
0.528,1.971082449
0.516,1.974508405
0.504,1.977921009
0.492,1.981320381
0.48,1.984706521
0.468,1.988080978
0.456,1.991441011
0.444,1.994789243
0.432,1.998125911
0.42,2.001450539
0.408,2.00476408
0.396,2.008065939
0.384,2.011356831
0.372,2.014636993
0.36,2.017906904
0.348,2.021167517
0.336,2.024419785
0.324,2.027662277
0.312,2.03089571
0.3,2.034120083
0.288,2.037336349
0.276,2.040543318
0.264,2.043743372
0.252,2.046933651
0.24,2.050117493
0.228,2.053291798
0.216,2.056458473
0.204,2.05961895
0.192,2.062769413
0.18,2.065914392
0.168,2.069049358
0.156,2.072175026
0.144,2.075289249
0.132,2.078392029
0.12,2.081481934
0.108,2.084558725
0.096,2.087624311
0.084,2.090679407
0.072,2.093719959
0.06,2.096749783
0.048,2.099766731
0.036,2.102771759
0.024,2.105766296
0.012,2.10874939
0.0,2.111716509
0.012,2.111716509
0.024,2.111716509
0.036,2.111716509
0.048,2.111716509
0.06,2.113465071
0.072,2.116071463
0.084,2.118638515
0.096,2.121195316
0.108,2.123767614
0.12,2.126379967
0.132,2.129051685
0.144,2.131796598
0.156,2.134624243
0.168,2.137539864
0.18,2.140544653
0.192,2.143639326
0.204,2.146818161
0.216,2.150074482
0.228,2.153399944
0.24,2.156785488
0.252,2.160224438
0.264,2.163708925
0.276,2.16723299
0.288,2.170791149
0.3,2.174379587
0.312,2.177992344
0.324,2.181626797
0.336,2.185282469
0.348,2.188954353
0.36,2.192641973
0.372,2.196342945
0.384,2.200057983
0.396,2.203784943
0.408,2.207523108
0.42,2.21127367
0.432,2.215035439
0.444,2.218808651
0.456,2.222593784
0.468,2.226391077
0.48,2.230200768
0.492,2.234024048
0.504,2.237861156
0.516,2.241713047
0.528,2.245580196
0.54,2.249464035
0.552,2.253364801
0.564,2.257284641
0.576,2.261223078
0.588,2.265182495
0.6,2.269162416
0.612,2.27316618
0.624,2.277192116
0.636,2.281243086
0.648,2.285319805
0.66,2.289422989
0.672,2.293553352
0.684,2.297712803
0.696,2.301901817
0.708,2.306121349
0.72,2.310372829
0.732,2.314657927
0.744,2.318976402
0.756,2.323330402
0.768,2.327720165
0.78,2.332147598
0.792,2.336612701
0.804,2.341117859
0.816,2.345664024
0.828,2.350250721
0.84,2.354881287
0.852,2.359554768
0.864,2.364274502
0.876,2.369040012
0.888,2.373853683
0.9,2.378715515
0.912,2.383627653
0.924,2.388590813
0.936,2.393606424
0.948,2.398675919
0.96,2.403800488
0.972,2.408979893
0.984,2.414218426
