Elongation [mm],Equivalent plastic strain
0.798,1.088498592
0.8064,1.094229937
0.8148,1.09999907
0.8232,1.105806589
0.8316,1.11165297
0.84,1.117539406
0.8316,1.117539406
0.8232,1.117539406
0.8148,1.117539406
0.8064,1.117539406
0.798,1.117539406
0.7896,1.117539406
0.7812,1.11938715
0.7728,1.121589899
0.7644,1.123959541
0.756,1.126501918
0.7476,1.129237056
0.7392,1.13217783
0.7308,1.135324955
0.7224,1.13867116
0.714,1.142198443
0.7056,1.145885706
0.6972,1.149708033
0.6888,1.153642774
0.6804,1.157669306
0.672,1.161769629
0.6636,1.165928602
0.6552,1.170132637
0.6468,1.174373388
0.6384,1.178641081
0.63,1.182928324
0.6216,1.187231064
0.6132,1.191539288
0.6048,1.195853472
0.5964,1.200168252
0.588,1.204480886
0.5796,1.208788037
0.5712,1.213088632
0.5628,1.217379332
0.5544,1.221659422
0.546,1.225926876
0.5376,1.230181694
0.5292,1.234423876
0.5208,1.23865068
0.5124,1.242862821
0.504,1.247057915
0.4956,1.251236677
0.4872,1.255401134
0.4788,1.259547949
0.4704,1.263677835
0.462,1.267790794
0.4536,1.271886349
0.4452,1.275965452
0.4368,1.280027866
0.4284,1.284073114
0.42,1.288100958
0.4116,1.292109966
0.4032,1.296099067
0.3948,1.30006969
0.3864,1.304020524
0.378,1.307951212
0.3696,1.311860323
0.3612,1.3157444
0.3528,1.319608092
0.3444,1.323448181
0.336,1.327266335
0.3276,1.331063747
0.3192,1.334842205
0.3108,1.338599205
0.3024,1.342335463
0.294,1.346052766
0.2856,1.349749565
0.2772,1.35342741
0.2688,1.357086301
0.2604,1.360726357
0.252,1.364346385
0.2436,1.36794734
0.2352,1.371529937
0.2268,1.37509203
0.2184,1.378637075
0.21,1.382162333
0.2016,1.385669947
0.1932,1.389157414
0.1848,1.392629385
0.1764,1.396082878
0.168,1.39951694
0.1596,1.402934074
0.1512,1.406334996
0.1428,1.409717321
0.1344,1.413082123
0.126,1.416430116
0.1176,1.41975975
0.1092,1.42307353
0.1008,1.42636919
0.0924,1.429647923
0.084,1.43290782
0.0756,1.436153412
0.0672,1.43938005
0.0588,1.442591071
0.0504,1.445780396
0.042,1.448940516
0.0336,1.45206821
0.0252,1.45515573
0.0168,1.458189487
0.0084,1.461171508
0.0,1.464118242
0.0084,1.464118242
0.0168,1.464118242
0.0252,1.464118242
0.0336,1.464118242
0.042,1.464118242
0.0504,1.464118242
0.0588,1.464118242
0.0672,1.465775967
0.0756,1.467505693
0.084,1.469264746
0.0924,1.471106291
0.1008,1.473072886
0.1092,1.475195527
0.1176,1.477499247
0.126,1.48000145
0.1344,1.482710838
0.1428,1.485628128
0.1512,1.488738298
0.1596,1.492021918
0.168,1.495457053
0.1764,1.499019861
0.1848,1.502700806
0.1932,1.506490588
0.2016,1.510374069
0.21,1.514338255
0.2184,1.51837635
0.2268,1.522477865
0.2352,1.526638269
0.2436,1.530847549
0.252,1.535100579
0.2604,1.539393425
0.2688,1.543722153
0.2772,1.548081636
0.2856,1.552470207
0.294,1.556884289
0.3024,1.561322093
0.3108,1.56578064
0.3192,1.570259333
0.3276,1.574756265
0.336,1.57927084
0.3444,1.58380127
0.3528,1.588347435
0.3612,1.592908621
0.3696,1.597484112
0.378,1.602073789
0.3864,1.606677175
0.3948,1.611294508
0.4032,1.61592567
0.4116,1.620570421
0.42,1.62522912
0.4284,1.629901648
0.4368,1.634588718
0.4452,1.639289618
0.4536,1.644005656
0.462,1.648736358
0.4704,1.653482318
0.4788,1.658243895
0.4872,1.663021326
0.4956,1.667815208
0.504,1.672626019
0.5124,1.677453756
0.5208,1.682299137
0.5292,1.687162638
0.5376,1.692045093
0.546,1.696946502
0.5544,1.701867223
0.5628,1.706808329
0.5712,1.711770296
0.5796,1.716753483
0.588,1.721758485
0.5964,1.726785779
0.6048,1.731836319
0.6132,1.736910582
0.6216,1.742009044
0.63,1.74713254
0.6384,1.752281666
0.6468,1.757457018
0.6552,1.76265955
0.6636,1.767889738
0.672,1.773148417
0.6804,1.778436422
0.6888,1.783754587
0.6972,1.789103389
0.7056,1.794484138
0.714,1.799897194
0.7224,1.805343866
0.7308,1.810824633
0.7392,1.816340685
0.7476,1.821892619
0.756,1.827482104
0.7644,1.833109021
0.7728,1.83877492
0.7812,1.844480991
0.7896,1.85022819
0.798,1.856017232
0.8064,1.861849189
0.8148,1.867725611
0.8232,1.873647094
0.8316,1.87961483
0.84,1.885630012
0.8316,1.885630012
0.8232,1.885630012
0.8148,1.885630012
0.8064,1.885630012
0.798,1.885630012
0.7896,1.885630012
0.7812,1.887539744
0.7728,1.88978529
0.7644,1.892241478
0.756,1.894906998
0.7476,1.897795916
0.7392,1.900912762
0.7308,1.904249907
0.7224,1.907790899
0.714,1.911511898
0.7056,1.915387392
0.6972,1.919391751
0.6888,1.923501015
0.6804,1.927695513
0.672,1.931957722
0.6636,1.936273575
0.6552,1.94062984
0.6468,1.945020676
0.6384,1.949432373
0.63,1.953863382
0.6216,1.958304524
0.6132,1.962751508
0.6048,1.967200756
0.5964,1.971648455
0.588,1.976090789
0.5796,1.980527639
0.5712,1.984953761
0.5628,1.989370346
0.5544,1.993775129
0.546,1.998165369
0.5376,2.002541542
0.5292,2.006902218
0.5208,2.011248112
0.5124,2.015576839
0.504,2.019889116
0.4956,2.024182796
0.4872,2.028460503
0.4788,2.032719612
0.4704,2.036962271
0.462,2.041187286
0.4536,2.045394421
0.4452,2.04958272
0.4368,2.053755045
0.4284,2.057908773
0.42,2.062046528
0.4116,2.066166401
0.4032,2.070268631
0.3948,2.074353695
0.3864,2.078423023
0.378,2.082475662
0.3696,2.086511135
0.3612,2.090531349
0.3528,2.094534636
0.3444,2.098521471
0.336,2.102492571
0.3276,2.106446743
0.3192,2.110383987
0.3108,2.114302874
0.3024,2.118203402
0.294,2.122087479
0.2856,2.125950336
0.2772,2.129791737
0.2688,2.133612156
0.2604,2.137412548
0.252,2.141192436
0.2436,2.144950867
0.2352,2.148693085
0.2268,2.152414322
0.2184,2.156114817
0.21,2.159798145
0.2016,2.163463116
0.1932,2.167108297
0.1848,2.170735359
0.1764,2.174344301
0.168,2.17793417
0.1596,2.181504965
0.1512,2.18505764
0.1428,2.18859148
0.1344,2.192107677
0.126,2.195603609
0.1176,2.199082851
0.1092,2.202541828
0.1008,2.20598197
0.0924,2.209406853
0.084,2.212811708
0.0756,2.216200352
0.0672,2.219568253
0.0588,2.222920895
0.0504,2.226253986
0.042,2.229568005
0.0336,2.232864857
0.0252,2.236145258
0.0168,2.239403248
0.0084,2.24263382
0.0,2.245830297
0.0084,2.245830297
0.0168,2.245830297
0.0252,2.245830297
0.0336,2.245830297
0.042,2.245830297
0.0504,2.245830297
0.0588,2.245830297
0.0672,2.247378111
0.0756,2.249191046
0.084,2.251057863
0.0924,2.252997875
0.1008,2.255051613
0.1092,2.257255793
0.1176,2.259636641
0.126,2.262210846
0.1344,2.264986515
0.1428,2.267960548
0.1512,2.271123886
0.1596,2.274460793
0.168,2.27794838
0.1764,2.281567574
0.1848,2.285298824
0.1932,2.289124966
0.2016,2.29302907
0.21,2.2970016
0.2184,2.301038742
0.2268,2.305131435
0.2352,2.309273243
0.2436,2.313458681
0.252,2.317682266
0.2604,2.321942329
0.2688,2.326233864
0.2772,2.330554485
0.2856,2.334901333
0.294,2.339272022
0.3024,2.343664646
0.3108,2.348077297
0.3192,2.352509022
0.3276,2.356958866
0.336,2.361424923
0.3444,2.365907669
0.3528,2.370404959
0.3612,2.374917507
0.3696,2.379444599
0.378,2.383985519
0.3864,2.388540745
0.3948,2.393110275
0.4032,2.397694111
0.4116,2.402291775
0.42,2.406903267
0.4284,2.411529779
0.4368,2.41617012
0.4452,2.420826435
0.4536,2.425497532
0.462,2.430184364
0.4704,2.434887409
0.4788,2.439606667
0.4872,2.44434309
0.4956,2.449096203
0.504,2.453867674
0.5124,2.458657265
0.5208,2.463465691
0.5292,2.468293667
0.5376,2.473140955
0.546,2.478009224
0.5544,2.482898474
0.5628,2.487809658
0.5712,2.492743015
0.5796,2.497699738
0.588,2.502680302
0.5964,2.507685184
0.6048,2.512715816
0.6132,2.517772198
0.6216,2.52285552
0.63,2.527966022
0.6384,2.533105135
0.6468,2.538274288
0.6552,2.543472767
0.6636,2.548702955
0.672,2.553965092
0.6804,2.559260368
0.6888,2.5645895
0.6972,2.569953918
0.7056,2.575354338
0.714,2.580792427
0.7224,2.586268425
0.7308,2.591784
0.7392,2.597340584
0.7476,2.602939129
0.756,2.608579636
0.7644,2.614265919
0.7728,2.619997025
0.7812,2.625775337
0.7896,2.631602049
0.798,2.637478352
0.8064,2.643405437
0.8148,2.649385691
0.8232,2.65541935
0.8316,2.661509037
0.84,2.667655468
0.8316,2.667655468
0.8232,2.667655468
0.8148,2.667655468
0.8064,2.667655468
0.798,2.667655468
0.7896,2.667649269
0.7812,2.669569492
0.7728,2.671802521
0.7644,2.674258709
0.756,2.676934004
0.7476,2.679839373
0.7392,2.682978392
0.7308,2.68634057
0.7224,2.689905882
0.714,2.693649292
0.7056,2.697543144
0.6972,2.701561451
0.6888,2.70568037
0.6804,2.709880352
0.672,2.714143276
0.6636,2.718458176
0.6552,2.722811222
0.6468,2.727193832
0.6384,2.731597662
0.63,2.73601532
0.6216,2.740444183
0.6132,2.744877338
0.6048,2.749311209
0.5964,2.753742218
0.588,2.758168936
0.5796,2.762587547
0.5712,2.766997337
0.5628,2.77139473
0.5544,2.775781631
0.546,2.780153275
0.5376,2.784511089
0.5292,2.788853645
0.5208,2.793179512
0.5124,2.797489643
0.504,2.801782846
0.4956,2.806058645
0.4872,2.810317993
0.4788,2.814557076
0.4704,2.818780422
0.462,2.822984934
0.4536,2.827172756
0.4452,2.831341743
0.4368,2.835493565
0.4284,2.83962822
0.42,2.84374404
0.4116,2.84784317
0.4032,2.851924658
0.3948,2.855990171
0.3864,2.860037088
0.378,2.864069462
0.3696,2.868083715
0.3612,2.872081757
0.3528,2.876064301
0.3444,2.88003087
0.336,2.883981228
0.3276,2.88791585
0.3192,2.891834974
0.3108,2.895738125
0.3024,2.899628162
0.294,2.903502226
0.2856,2.907361984
0.2772,2.911205769
0.2688,2.915036201
0.2604,2.918847561
0.252,2.922644854
0.2436,2.926424742
0.2352,2.930189371
0.2268,2.933933735
0.2184,2.937658787
0.21,2.94136548
0.2016,2.945051193
0.1932,2.948718548
0.1848,2.952366352
0.1764,2.955996275
0.168,2.95960927
0.1596,2.963202953
0.1512,2.966777086
0.1428,2.970335007
0.1344,2.973873377
0.126,2.977394819
0.1176,2.980897903
0.1092,2.98438406
0.1008,2.987851143
0.0924,2.991300106
0.084,2.994731188
0.0756,2.998141289
0.0672,3.001534462
0.0588,3.004908562
0.0504,3.008265257
0.042,3.011604071
0.0336,3.01492548
0.0252,3.018226147
0.0168,3.021509647
0.0084,3.024773121
0.0,3.028013945
0.0084,3.028013945
0.0168,3.028013945
0.0252,3.028013945
0.0336,3.028013945
0.042,3.028013945
0.0504,3.028013945
0.0588,3.028013945
0.0672,3.029365063
0.0756,3.031168699
0.084,3.033060312
0.0924,3.03504324
0.1008,3.037135363
0.1092,3.039367676
0.1176,3.041765213
0.126,3.044345617
0.1344,3.047116041
0.1428,3.050073147
0.1512,3.053206682
0.1596,3.056501865
0.168,3.059941292
0.1764,3.06350708
0.1848,3.067182064
0.1932,3.070950747
0.2016,3.074798107
0.21,3.078713894
0.2184,3.082687616
0.2268,3.08671093
0.2352,3.090776443
0.2436,3.094881535
0.252,3.099022865
0.2604,3.103196144
0.2688,3.107400417
0.2772,3.111628771
0.2856,3.115883827
0.294,3.12016058
0.3024,3.124459028
0.3108,3.128777266
0.3192,3.133113861
0.3276,3.137469292
0.336,3.141841412
0.3444,3.146230221
0.3528,3.150634289
0.3612,3.155054092
0.3696,3.159489155
0.378,3.163938761
0.3864,3.168403625
0.3948,3.172883511
0.4032,3.177378178
0.4116,3.181888103
0.42,3.186413765
0.4284,3.190954208
0.4368,3.195511103
0.4452,3.200083971
0.4536,3.20467329
0.462,3.209279537
0.4704,3.213903904
0.4788,3.218545198
0.4872,3.223205566
0.4956,3.227883816
0.504,3.232581854
0.5124,3.237300396
0.5208,3.242038965
0.5292,3.246798515
0.5376,3.251580715
0.546,3.256385088
0.5544,3.261212826
0.5628,3.266064167
0.5712,3.270941019
0.5796,3.275843143
0.588,3.280771732
0.5964,3.285727739
