Elongation [mm],Equivalent plastic strain
0.0,0.0
0.01,0.0
0.02,0.0
0.03,0.006086247
0.04,0.011739513
0.05,0.017047724
0.059999998,0.022359362
0.07,0.027755039
0.079999998,0.033202928
0.090000004,0.038625278
0.100000002,0.044085886
0.11,0.049528755
0.119999998,0.055036925
0.129999996,0.06065809
0.14,0.066378266
0.150000006,0.072232336
0.159999996,0.078273579
0.170000002,0.084516726
0.180000008,0.090979367
0.189999998,0.097705483
0.200000002,0.104721606
0.209999994,0.112075709
0.219999998,0.119806193
0.230000004,0.127956554
0.239999994,0.136585698
0.25,0.145754665
0.25999999,0.155565172
0.27000001,0.166012809
0.280000002,0.177271008
0.289999992,0.189385653
0.300000012,0.202450976
0.310000002,0.21660161
0.319999992,0.231970832
0.330000014,0.248744756
0.340000004,0.267167211
0.349999994,0.287518859
0.360000014,0.310071528
0.370000004,0.335106879
0.379999996,0.362933695
0.389999986,0.393575788
0.400000006,0.426825881
0.409999996,0.46210885
0.419999986,0.498883426
0.430000008,0.536870122
0.439999998,0.575456798
0.449999988,0.613737226
0.460000008,0.651301384
0.469999998,0.687954307
0.47999999,0.723536134
0.49000001,0.757937372
0.5,0.791179001
0.50999999,0.82329464
0.51999998,0.854281127
0.529999972,0.884140313
0.540000022,0.912898302
0.550000012,0.940603018
0.560000002,0.967299998
0.569999992,0.993017673
0.579999984,1.017792583
0.589999974,1.041665435
0.600000024,1.064692974
0.610000014,1.086928725
0.620000004,1.108420134
0.629999996,1.129200578
0.639999986,1.149289966
0.649999976,1.168714166
0.660000026,1.187512159
0.670000016,1.205729723
0.680000008,1.223410845
0.689999998,1.240589738
0.699999988,1.257281184
0.709999978,1.273472786
0.720000028,1.289139152
0.73000002,1.304295897
0.74000001,1.319010854
0.75,1.333346367
0.75999999,1.347333908
0.76999998,1.360999107
0.779999972,1.374357104
0.790000022,1.387414932
0.800000012,1.400170922
0.810000002,1.412623405
0.819999992,1.424782038
0.829999984,1.436667323
0.839999974,1.448303461
0.850000024,1.459709644
0.860000014,1.470904589
0.870000004,1.481901884
0.879999996,1.492707729
0.889999986,1.503339291
0.899999976,1.51377821
0.910000026,1.524015427
0.920000016,1.534050703
0.930000008,1.543909788
0.939999998,1.553598762
0.949999988,1.563125134
0.959999978,1.572501183
0.970000028,1.581733227
0.98000002,1.590826035
0.99000001,1.599785328
1.0,1.608615994
