Elongation [mm],Equivalent plastic strain
0.0,0.0
0.012,0.0
0.024,0.0
0.036,0.000120913
0.048,0.001249353
0.06,0.002371921
0.072,0.003556284
0.084,0.004729437
0.096,0.005915862
0.108,0.007131926
0.12,0.008387155
0.132,0.009677885
0.144,0.011000173
0.156,0.012365559
0.168,0.013790986
0.18,0.015288379
0.192,0.016864765
0.204,0.018521573
0.216,0.02025927
0.228,0.022078734
0.24,0.023980111
0.252,0.025964838
0.264,0.028034298
0.276,0.030190371
0.288,0.032435425
0.3,0.034772314
0.312,0.037204195
0.324,0.039732896
0.336,0.042365436
0.348,0.045104638
0.36,0.047955442
0.372,0.0509228
0.384,0.054008823
0.396,0.057216104
0.408,0.060552631
0.42,0.064026937
0.432,0.067648992
0.444,0.071430005
0.456,0.075382531
0.468,0.079520956
0.48,0.083861187
0.492,0.088421203
0.504,0.093220986
0.516,0.098282941
0.528,0.10363178
0.54,0.109294668
0.552,0.115301542
0.564,0.121684693
0.576,0.128478914
0.588,0.135720849
0.6,0.143448606
0.612,0.151700929
0.624,0.160515815
0.636,0.169929013
0.648,0.179972365
0.66,0.190671444
0.672,0.202043623
0.684,0.214094937
0.696,0.226818174
0.708,0.240192726
0.72,0.254183143
0.732,0.268741608
0.744,0.283810884
0.756,0.299329102
0.768,0.315236777
0.78,0.331480086
0.792,0.34801954
0.804,0.364827216
0.816,0.381889641
0.828,0.399201334
0.84,0.416763067
0.852,0.434579551
0.864,0.452658176
0.876,0.471007705
0.888,0.489636958
0.9,0.508553982
0.912,0.527765632
0.924,0.547279119
0.936,0.567099452
0.948,0.587231636
0.96,0.607678592
0.972,0.628441811
0.984,0.649521112
0.996,0.670913696
1.008,0.692615151
1.02,0.714620709
1.032,0.736922503
1.044,0.759512544
1.056,0.782378733
1.068,0.805505514
1.08,0.82887435
1.092,0.852460384
1.104,0.876240253
1.116,0.900186837
1.128,0.924279213
1.14,0.948496461
1.152,0.972826421
1.164,0.997263491
1.176,1.021806002
1.188,1.046452761
1.2,1.071196318
1.212,1.096034408
1.224,1.120957613
1.236,1.145948291
1.248,1.170981169
1.26,1.196028948
1.272,1.221059918
1.284,1.246044874
1.296,1.270964384
1.308,1.295808077
1.32,1.320565104
1.332,1.345226049
1.344,1.369786024
1.356,1.394240379
1.368,1.418587208
1.38,1.442826748
1.392,1.466954947
1.404,1.490959525
1.416,1.514825344
1.428,1.53853178
1.44,1.562066317
1.452,1.585415363
1.464,1.608569145
1.476,1.631514788
1.488,1.654244661
1.5,1.676752329
1.512,1.699038744
1.524,1.721106529
1.536,1.742952824
1.548,1.764574647
1.56,1.785966039
1.572,1.807118416
1.584,1.827986479
1.596,1.848569155
1.608,1.868866324
1.62,1.888881326
1.632,1.908620834
1.644,1.928089023
1.656,1.947290182
1.668,1.966229916
1.68,1.984911799
1.692,2.003341198
1.704,2.021522045
1.716,2.039460659
1.728,2.057161808
1.74,2.074630737
1.752,2.091872215
1.764,2.10889101
1.776,2.125684738
1.788,2.142264128
1.8,2.158636093
1.812,2.174807549
1.824,2.190779686
1.836,2.206560612
1.848,2.222168922
1.86,2.237570286
1.872,2.252753496
1.884,2.26774931
1.896,2.282563686
1.908,2.297199726
1.92,2.31166482
1.932,2.325962782
1.944,2.340098858
1.956,2.354077816
1.968,2.367902279
1.98,2.381579876
1.992,2.395112753
