Elongation [mm],Equivalent plastic strain
0.0,0.0
0.004,0.0
0.008,0.0
0.012,0.0
0.016,0.0
0.02,0.000932921
0.024,0.002059946
0.028,0.003101091
0.032,0.004089659
0.036,0.005040237
0.04,0.005961456
0.044,0.006859521
0.048,0.007739163
0.052,0.008604344
0.056,0.009458255
0.06,0.010303684
0.064,0.011142949
0.068,0.011978084
0.072,0.012810787
0.076,0.013642498
0.08,0.014474454
0.084,0.015307701
0.088,0.016143106
0.092,0.016981406
0.096,0.017823171
0.1,0.018668931
0.104,0.019519096
0.108,0.020373968
0.112,0.021233838
0.116,0.022098824
0.12,0.02296908
0.124,0.023844717
0.128,0.024725817
0.132,0.025612324
0.136,0.026504245
0.14,0.027401632
0.144,0.028304242
0.148,0.029212177
0.152,0.030125218
0.156,0.031043351
0.16,0.031966396
0.164,0.032894216
0.168,0.033826709
0.172,0.034763817
0.176,0.035705209
0.18,0.036650978
0.184,0.037600856
0.188,0.038554754
0.192,0.039512567
0.196,0.040474102
0.2,0.041439258
0.204,0.042407893
0.208,0.043379877
0.212,0.044355094
0.216,0.045333613
0.22,0.046314638
0.224,0.047298253
0.228,0.048284389
0.232,0.049272534
0.236,0.050262824
0.24,0.051254712
0.244,0.052248068
0.248,0.053242993
0.252,0.054239325
0.256,0.055237189
0.26,0.056236707
0.264,0.057237852
0.268,0.058240689
0.272,0.059245177
0.276,0.060251355
0.28,0.061259132
0.284,0.062268559
0.288,0.063279606
0.292,0.064292349
0.296,0.065306701
0.3,0.066322684
0.304,0.067340374
0.308,0.068359666
0.312,0.069380552
0.316,0.070402965
0.32,0.071427226
0.324,0.07245297
0.328,0.073480442
0.332,0.074509583
0.336,0.075540319
0.34,0.076572649
0.344,0.07760679
0.348,0.078642689
0.352,0.079680361
0.356,0.080719732
0.36,0.081760943
0.364,0.082804009
0.368,0.083849028
0.372,0.084895909
0.376,0.085944578
0.38,0.086995259
0.384,0.088047847
0.388,0.089102373
0.392,0.09015891
0.396,0.091217443
0.4,0.092278033
0.404,0.093340814
0.408,0.094405651
0.412,0.095472649
0.416,0.096541867
0.42,0.09761332
0.424,0.098686971
0.428,0.09976285
0.432,0.100841075
0.436,0.1019217
0.44,0.103004619
0.444,0.104089968
0.448,0.105177686
0.452,0.106267929
0.456,0.107360676
0.46,0.108455926
0.464,0.109553799
0.468,0.110654294
0.472,0.111757413
0.476,0.112863228
0.48,0.11397177
0.484,0.115083113
0.488,0.116197206
0.492,0.117314048
0.496,0.118433729
0.5,0.119556278
0.504,0.120681778
0.508,0.121810213
0.512,0.122941703
0.516,0.124076173
0.52,0.125213712
0.524,0.126354367
0.528,0.127498165
0.532,0.128645122
0.536,0.129795283
0.54,0.130948678
0.544,0.132105365
0.548,0.133265406
0.552,0.134428799
0.556,0.13559553
0.56,0.136765733
0.564,0.137939364
0.568,0.139116511
0.572,0.140297234
0.576,0.141481474
0.58,0.14266932
0.584,0.143860787
0.588,0.14505589
0.592,0.146254748
0.596,0.147457272
0.6,0.14866364
0.604,0.149873793
0.608,0.151087776
0.612,0.152305633
0.616,0.153527349
0.62,0.154753
0.624,0.155982614
0.628,0.157216221
0.632,0.158453852
0.636,0.159695536
0.64,0.160941333
0.644,0.162191242
0.648,0.163445294
0.652,0.164703608
0.656,0.165966079
0.66,0.167232841
0.664,0.168503881
0.668,0.169779211
0.672,0.171058908
0.676,0.172342956
0.68,0.173631415
0.684,0.174924314
0.688,0.176221654
0.692,0.177523434
0.696,0.17882964
0.7,0.180140302
0.704,0.181455404
0.708,0.182774872
0.712,0.184098855
0.716,0.185427219
0.72,0.186760008
0.724,0.188097224
0.728,0.18943885
0.732,0.190784931
0.736,0.192135423
0.74,0.193490356
0.744,0.19484973
0.748,0.196213558
0.752,0.197581843
0.756,0.198954538
0.76,0.200331703
0.764,0.201713353
0.768,0.203099445
0.772,0.204490036
0.776,0.205885097
0.78,0.207284614
0.784,0.208688676
0.788,0.210097224
0.792,0.211510271
0.796,0.212927848
0.8,0.214349926
0.804,0.215776563
0.808,0.21720773
0.812,0.218643442
0.816,0.220083714
0.82,0.22152853
0.824,0.222977951
0.828,0.224431917
0.832,0.225890487
0.836,0.227353662
0.84,0.228821442
0.844,0.23029387
0.848,0.231770873
0.852,0.23325257
0.856,0.234738886
0.86,0.236229852
0.864,0.237725496
0.868,0.239225805
0.872,0.240730837
0.876,0.242240533
0.88,0.243754938
0.884,0.245274067
0.888,0.246797949
0.892,0.24832654
0.896,0.249859884
0.9,0.251397997
0.904,0.252940893
0.908,0.254488528
0.912,0.25604099
0.916,0.257598281
0.92,0.25916028
0.924,0.260727197
0.928,0.262298942
0.932,0.263875544
0.936,0.265456975
0.94,0.267043293
0.944,0.268634468
0.948,0.270230532
0.952,0.271831512
0.956,0.27343744
0.96,0.275048256
0.964,0.276664019
0.968,0.278284729
0.972,0.279910356
0.976,0.28154099
0.98,0.283176631
0.984,0.284817219
0.988,0.286462873
0.992,0.288113505
0.996,0.289769143
1.0,0.291429877
1.004,0.293095589
1.008,0.294766366
1.012,0.29644227
1.016,0.298123181
1.02,0.299809247
1.024,0.30150038
1.028,0.303196669
1.032,0.304898024
1.036,0.306604534
1.04,0.308316231
1.044,0.310033083
1.048,0.311755061
1.052,0.313482225
1.056,0.315214634
1.06,0.316952258
1.064,0.318695009
1.068,0.320443094
1.072,0.322196364
1.076,0.32395488
1.08,0.325718611
1.084,0.327487707
1.088,0.329262018
1.092,0.331041604
1.096,0.332826555
1.1,0.33461684
1.104,0.33641237
1.108,0.338213265
1.112,0.340019524
1.116,0.341831148
1.12,0.343648136
1.124,0.345470518
1.128,0.347298265
1.132,0.349131435
1.136,0.35097006
1.14,0.352814049
1.144,0.354663551
1.148,0.356518418
1.152,0.358378768
1.156,0.360244632
1.16,0.362115979
1.164,0.36399281
1.168,0.365875125
1.172,0.367762923
1.176,0.369656324
1.18,0.371555239
1.184,0.373459697
1.188,0.375369728
1.192,0.377285361
1.196,0.379206538
1.2,0.381133288
1.204,0.383065641
1.208,0.385003686
1.212,0.386947334
1.216,0.388896585
1.22,0.390851498
1.224,0.392812133
1.228,0.394778311
1.232,0.396750361
1.236,0.398728013
1.24,0.400711387
1.244,0.402700484
1.248,0.404695272
1.252,0.406695843
1.256,0.408702195
1.26,0.410714209
1.264,0.412732124
1.268,0.414755732
1.272,0.41678521
1.276,0.4188205
1.28,0.420861632
1.284,0.422908545
1.288,0.424961329
1.292,0.427020013
1.296,0.42908451
1.3,0.431154877
1.304,0.433231205
1.308,0.435313404
1.312,0.437401533
1.316,0.439495564
1.32,0.441595614
1.324,0.443701565
1.328,0.445813537
1.332,0.447931468
1.336,0.450055361
1.34,0.452185273
1.344,0.454321206
1.348,0.456463158
1.352,0.458611131
1.356,0.460765243
1.36,0.462925404
1.364,0.465091586
1.368,0.467263877
1.372,0.469442308
1.376,0.471626878
1.38,0.473817527
1.384,0.476014316
1.388,0.478217244
1.392,0.480426431
1.396,0.482641727
1.4,0.484863222
1.404,0.487090707
1.408,0.489324868
