Elongation [mm],Equivalent plastic strain
0.48,0.218432039
0.474,0.219324321
0.468,0.220212117
0.462,0.221073359
0.456,0.221911326
0.45,0.222732157
0.444,0.223539546
0.438,0.224337995
0.432,0.225128978
0.426,0.225913897
0.42,0.226693168
0.414,0.227467239
0.408,0.228236616
0.402,0.229001403
0.396,0.22976169
0.39,0.230517626
0.384,0.231269315
0.378,0.232016295
0.372,0.232759133
0.366,0.233496487
0.36,0.234229147
0.354,0.234956384
0.348,0.235678226
0.342,0.236394435
0.336,0.237105131
0.33,0.237810165
0.324,0.238509804
0.318,0.239203334
0.312,0.239891648
0.306,0.240574703
0.3,0.241252035
0.294,0.241924539
0.288,0.242592886
0.282,0.243257046
0.276,0.243917346
0.27,0.244574293
0.264,0.245227993
0.258,0.245878518
0.252,0.246526152
0.246,0.247170806
0.24,0.247812599
0.234,0.248451561
0.228,0.249087647
0.222,0.249720842
0.216,0.25035131
0.21,0.25097847
0.204,0.251602948
0.198,0.252223969
0.192,0.252842128
0.186,0.25345698
0.18,0.254068553
0.174,0.254676938
0.168,0.255281866
0.162,0.255883455
0.156,0.256481647
0.15,0.257076442
0.144,0.257667661
0.138,0.258255422
0.132,0.258839667
0.126,0.259420395
0.12,0.259997576
0.114,0.260571152
0.108,0.261141181
0.102,0.261707574
0.096,0.262270421
0.09,0.262829661
0.084,0.263385326
0.078,0.263937384
0.072,0.264485836
0.066,0.265030652
0.06,0.265571922
0.054,0.266109586
0.048,0.266643703
0.042,0.267174095
0.036,0.267700672
0.03,0.268223703
0.024,0.268743217
0.018,0.269259214
0.012,0.269771785
0.006,0.270280838
0,0.270786405
0.006,0.270786405
0.012,0.270786405
0.018,0.270786405
0.024,0.270786405
0.03,0.270786405
0.036,0.270786405
0.042,0.270786405
0.048,0.270786405
0.054,0.270786405
0.06,0.270786405
0.066,0.270786405
0.072,0.270786405
0.078,0.270786405
0.084,0.27089563
0.09,0.27136609
0.096,0.271852612
0.102,0.272351354
0.108,0.272859275
0.114,0.273371935
0.12,0.273870766
0.126,0.274341226
0.132,0.27479732
0.138,0.275245428
0.144,0.275688291
0.15,0.276128083
0.156,0.276568264
0.162,0.277008742
0.168,0.277451694
0.174,0.277899414
0.18,0.278354287
0.186,0.278818905
0.192,0.279295683
0.198,0.27978611
0.204,0.280291229
0.21,0.280812144
0.216,0.281349659
0.222,0.281904578
0.228,0.282477558
0.234,0.283069134
0.24,0.283679873
0.246,0.2843104
0.252,0.284961134
0.258,0.2856327
0.264,0.286325455
0.27,0.287039995
0.276,0.287776768
0.282,0.28853628
0.288,0.289319009
0.294,0.29012543
0.3,0.290955961
0.306,0.291811049
0.312,0.29269129
0.318,0.293596983
0.324,0.294528663
0.33,0.295486748
0.336,0.296471775
0.342,0.29748407
0.348,0.298524201
0.354,0.299592525
0.36,0.300689548
0.366,0.301815718
0.372,0.302971423
0.378,0.304157197
0.384,0.30537343
0.39,0.306620628
0.396,0.307899177
0.402,0.309209645
0.408,0.310552418
0.414,0.311928064
0.42,0.313336849
0.426,0.314779103
0.432,0.316255212
0.438,0.317765415
0.444,0.319310099
0.45,0.320889473
0.456,0.322503984
0.462,0.324153781
0.468,0.325839281
0.474,0.327560872
0.48,0.329318881
0.486,0.331113875
0.492,0.332946241
0.498,0.334816396
0.504,0.336724281
0.51,0.338672221
0.516,0.340658933
0.522,0.342685759
0.528,0.344753087
0.534,0.34686166
0.54,0.349012047
0.546,0.351204991
0.552,0.353441119
0.558,0.355721086
0.564,0.358045638
0.57,0.360415578
0.576,0.362831473
0.582,0.365294039
0.588,0.36780417
0.594,0.370362431
0.6,0.372969568
0.594,0.372969568
0.588,0.372969568
0.582,0.372969568
0.576,0.372969568
0.57,0.372969568
0.564,0.372969568
0.558,0.372969568
0.552,0.372969568
0.546,0.372969568
0.54,0.372969568
0.534,0.373129398
0.528,0.373874366
0.522,0.374675095
0.516,0.375522792
0.51,0.376411557
0.504,0.377337217
0.498,0.378296643
0.492,0.379287362
0.486,0.380308032
0.48,0.381356508
0.474,0.382431328
0.468,0.383530349
0.462,0.384651423
0.456,0.385791451
0.45,0.386943966
0.444,0.388099521
0.438,0.389240593
0.432,0.390363842
0.426,0.39147225
0.42,0.392570496
0.414,0.393662393
0.408,0.39474839
0.402,0.395828009
0.396,0.396901906
0.39,0.397969544
0.384,0.399030507
0.378,0.400084674
0.372,0.40113163
0.366,0.402170867
0.36,0.403202295
0.354,0.40422523
0.348,0.405239612
0.342,0.406244814
0.336,0.407240868
0.33,0.408227205
0.324,0.409203589
0.318,0.410170108
0.312,0.411125958
0.306,0.412071645
0.3,0.413006127
0.294,0.413929701
0.288,0.414842129
0.282,0.415742874
0.276,0.416632295
0.27,0.417509943
0.264,0.41837579
0.258,0.419230372
0.252,0.42007336
