Elongation [mm],Equivalent plastic strain
1.276,0.587111413
1.28,0.5904181
1.284,0.593736291
1.288,0.597065747
1.292,0.600406766
1.296,0.60375911
1.3,0.607123137
1.304,0.610498548
1.308,0.613885522
1.312,0.617284119
1.316,0.620694518
1.32,0.624116421
1.324,0.627550125
1.328,0.630995572
1.332,0.634452939
1.336,0.637921989
1.34,0.6414029
1.344,0.644895792
1.348,0.648400545
1.352,0.651917219
1.356,0.655445933
1.36,0.658986747
1.364,0.662539721
1.368,0.666104674
1.372,0.669681787
1.376,0.673271179
1.38,0.67687279
1.384,0.680486619
1.388,0.684112906
1.392,0.687751472
1.396,0.691402316
1.4,0.695065618
1.404,0.698741436
1.408,0.702429771
1.412,0.706130624
1.416,0.709844112
1.42,0.713569999
1.424,0.71730864
1.428,0.721060157
1.432,0.724824309
1.436,0.728601217
1.44,0.73239094
1.444,0.736193657
1.448,0.740009189
1.452,0.743837655
1.456,0.747679234
1.46,0.751533747
1.464,0.755401254
1.468,0.759281993
1.472,0.763175726
1.476,0.76708293
1.48,0.771003246
1.484,0.774936914
1.488,0.778883815
1.492,0.782844186
1.496,0.786818027
1.5,0.79080528
1.504,0.794806004
1.508,0.798820496
1.512,0.802848518
1.516,0.806890368
1.52,0.810945868
1.524,0.815015197
1.528,0.819098473
1.532,0.823195636
1.536,0.827306688
1.54,0.831431866
1.544,0.83557117
1.548,0.8397246
1.552,0.843892097
1.556,0.848074079
1.56,0.852270126
1.564,0.856480658
1.568,0.860705674
1.572,0.864945292
1.576,0.869199276
1.58,0.873468101
1.584,0.877751648
1.588,0.882050037
1.592,0.886363208
1.596,0.8906914
1.6,0.895034552
1.604,0.899392724
1.608,0.903766274
1.612,0.908154964
1.616,0.912558913
1.62,0.916978419
1.624,0.921413481
1.628,0.92586416
1.632,0.930330575
1.636,0.934812903
1.64,0.939311147
1.644,0.943825305
1.648,0.948355496
1.652,0.952901959
1.656,0.957464576
1.66,0.962043524
1.664,0.966638982
1.668,0.971250832
1.672,0.975879312
1.676,0.98052454
1.68,0.985186517
1.684,0.989865303
1.688,0.994561076
1.692,0.999273837
1.696,1.004003525
1.7,1.008750439
1.704,1.013514757
1.708,1.018296242
1.712,1.023095369
1.716,1.027912021
1.72,1.032746315
1.724,1.037598491
1.728,1.042468548
1.732,1.047356606
1.736,1.052262545
1.74,1.057186842
1.744,1.062129259
1.748,1.067090034
1.752,1.072069049
1.756,1.077066422
1.76,1.082082629
1.764,1.087117195
1.768,1.092170477
1.772,1.097242475
1.776,1.102333188
1.78,1.107442617
1.784,1.112570882
1.788,1.117717981
1.792,1.122883558
1.796,1.128068447
1.8,1.133272052
1.804,1.138494253
1.808,1.143735886
1.812,1.148995996
1.816,1.15427494
1.82,1.159572601
1.824,1.164889097
1.828,1.17022419
1.832,1.175577641
1.836,1.180949688
1.84,1.18634057
1.844,1.191749573
1.848,1.197176933
1.852,1.202622652
1.856,1.208086491
1.86,1.21356833
1.864,1.219067931
1.868,1.224585295
1.872,1.230120182
1.876,1.235672474
1.88,1.241241693
1.884,1.246828318
1.888,1.252432466
1.892,1.258053541
1.896,1.263691902
1.9,1.269347668
1.904,1.275020361
1.908,1.280709863
1.912,1.286415815
1.916,1.292137861
1.92,1.297875881
1.924,1.303629041
1.928,1.309397697
1.932,1.315181375
1.936,1.320979357
1.94,1.326791048
1.944,1.332616329
1.948,1.338455081
1.952,1.344306231
1.956,1.350170135
1.96,1.3560462
1.964,1.361934066
1.968,1.367833376
1.972,1.373743534
1.976,1.379662991
1.98,1.385592341
1.984,1.391530991
1.988,1.397478104
1.992,1.403433204
1.996,1.40939641
2.0,1.415367007
2.004,1.421344876
2.008,1.427328825
2.012,1.433318377
2.016,1.439313293
2.02,1.445313215
2.024,1.451318026
2.028,1.457326889
2.032,1.463339806
2.036,1.469356298
2.04,1.475375891
2.044,1.481398344
2.048,1.487422705
2.052,1.493449092
2.056,1.499476671
2.06,1.505505204
2.064,1.511533976
2.068,1.517563224
2.072,1.523591995
2.076,1.529620528
2.08,1.535647631
2.084,1.541673779
2.088,1.547698021
2.092,1.553720236
2.096,1.55973959
2.1,1.565755844
2.104,1.571768522
2.108,1.577777624
2.112,1.583782911
2.116,1.589783907
2.12,1.595780373
2.124,1.601772785
2.128,1.607759714
2.132,1.613741875
2.136,1.61971879
2.14,1.625690222
2.144,1.631654978
2.148,1.637613297
2.152,1.643564939
2.156,1.649509788
2.16,1.655447721
2.164,1.661378741
2.168,1.667301893
2.172,1.673217535
2.176,1.679124236
2.18,1.685023069
2.184,1.690912843
2.188,1.696793556
2.192,1.70266521
2.196,1.708528042
2.2,1.714381576
2.204,1.720225334
2.208,1.726059794
2.212,1.731884718
2.216,1.737699866
2.22,1.743504643
2.224,1.749299526
2.228,1.755084276
2.232,1.760859251
2.236,1.766623735
2.24,1.772377014
2.244,1.778119922
2.248,1.783851862
2.252,1.789572954
2.256,1.795283198
2.26,1.800982475
2.264,1.806671143
2.268,1.812347651
2.272,1.81801343
2.276,1.823667049
2.28,1.829308987
2.284,1.834939122
2.288,1.840557575
2.292,1.846164227
2.296,1.851758361
2.3,1.857340693
2.304,1.862910509
2.308,1.868467808
2.312,1.874013066
2.316,1.879546165
2.32,1.885066509
2.324,1.890574813
2.328,1.896070719
2.332,1.901553631
2.336,1.907023907
2.34,1.912481546
2.344,1.917925954
2.348,1.923357248
2.352,1.928775549
2.356,1.934180617
2.36,1.939572334
2.364,1.944950581
2.368,1.95031333
2.372,1.955660462
2.376,1.960990429
2.38,1.966301918
2.384,1.971596479
2.388,1.976872683
2.392,1.98213017
2.396,1.987369776
2.4,1.9925915
2.404,1.997793555
2.408,2.002977371
2.412,2.008142948
2.416,2.013289213
2.42,2.018418312
2.424,2.023528576
2.428,2.028620481
2.432,2.033694267
2.436,2.038749456
2.44,2.043787479
2.444,2.048806667
2.448,2.053807735
2.452,2.058791161
2.456,2.063756704
2.46,2.068704367
2.464,2.073634624
2.468,2.078547478
2.472,2.083443165
2.476,2.088321686
2.48,2.093182802
2.484,2.098027229
2.488,2.102854729
2.492,2.1076653
2.496,2.112459183
2.5,2.117236614
2.504,2.121997833
2.508,2.126742601
2.512,2.131471157
2.516,2.1361835
2.52,2.140879631
2.524,2.145560265
2.528,2.150224209
2.532,2.15487361
2.536,2.159506798
2.54,2.164124012
2.544,2.168726206
2.548,2.173312187
2.552,2.177883625
2.556,2.182439804
2.56,2.186982393
2.564,2.191509247
2.568,2.196021557
2.572,2.200518608
2.576,2.205000401
2.58,2.209465504
2.584,2.21391654
2.588,2.218354225
2.592,2.22277689
2.596,2.227184296
2.6,2.231577396
2.604,2.235956192
2.608,2.240319252
2.612,2.24466753
2.616,2.249001026
2.62,2.25331974
2.624,2.257623672
2.628,2.261913061
2.632,2.266188145
2.636,2.270450592
2.64,2.274698496
2.644,2.278932571
2.648,2.283153057
2.652,2.287359238
2.656,2.291551113
2.66,2.295728683
2.664,2.299892902
2.668,2.304042816
2.672,2.308181286
2.676,2.312297821
2.68,2.316399574
2.684,2.320487499
2.688,2.324562788
2.692,2.328626871
2.696,2.33267355
2.7,2.336699009
2.704,2.34071207
2.708,2.344710827
2.712,2.348695278
2.716,2.352667093
2.72,2.356626034
2.724,2.3605721
2.728,2.364504814
2.732,2.3684237
2.736,2.372328758
2.74,2.376221657
2.744,2.380102873
2.748,2.383971691
2.752,2.38782835
2.756,2.391673088
2.76,2.395505428
2.764,2.399326324
2.768,2.403135538
2.772,2.406932831
2.776,2.410718441
2.78,2.414492369
2.784,2.418255329
2.788,2.422006607
2.792,2.425747395
2.796,2.429477215
2.8,2.433195829
2.804,2.436903715
2.808,2.44060111
2.812,2.444287539
