Elongation [mm],Equivalent plastic strain
1.914,2.225588799
1.92,2.234795094
1.926,2.2439394
1.932,2.253018379
1.938,2.262029171
1.944,2.270975113
1.95,2.279854774
1.956,2.288670778
1.962,2.29742384
1.968,2.306121349
1.974,2.314756393
1.98,2.323310852
1.986,2.331798315
1.992,2.340225697
1.998,2.348576546
2.004,2.356866837
2.01,2.365098476
2.016,2.373276711
2.022,2.381400585
2.028,2.389472246
2.034,2.397492409
2.04,2.405460596
