id,investigator,specimen_ID,date,cross_section_shape,cross_section_size,area,d_br,b_br,t_br,w_br,i_x,i_y,r_x,r_y,z_x,z_y,j,configuration,brace_angle,l_b,l_b_clear,steel,e,f_yn,fy_m,f_um,boundary_condition,l_1t,l_2t,l_3t,l_4t,l_5t,l_6t,l_7t,_8t,t_t,l_1b,l_2b,l_3b,l_4b,l_5b,l_6b,l_7b,l_8b,t_b,steel_gp,f_yn_gp,f_ym_gp,f_um_gp,weld_type,l_weld,t_weld,stick_space,nub_bolts,bolt_size,bolt_mat,reinforcement_pl,loading_protocol,p_t,p_t_theory,p_c,kl_r,l_c,l_c_theory,k_assumed,kl_r_theory,reference,link,latitude,longitude
Black_Strut-22,Black et al.,Strut-22,1980,Rectangular HSS,102x102x13,3790,102,102,13,na,4880000,4880000,35.9,35.9,124000,124000,8570000,SB,45,3950,3950,ASTM A501,200000,250,565,nr,Pin-Pin end,na,na,na,na,na,na,na,na,na,Pin-Fixed Ended,Pin-Fixed Ended,Pin-Fixed Ended,Pin-Fixed Ended,na,na,na,na,Pin-Fixed Ended,na,na,na,na,CJP,nr,nr,na,na,na,na,na,Symmetric Cyclic,1425.6,2142.7,1060.2,80,1.4,1.3,0.7,77.02,"Black, R. G., Wenger, W. A. B., & Popov, E. P. (1980). Inelastic Buckling of Steel Struts Under Cyclic Load Reversals, Report No. UCB/EERC-80/40), University of California at Berkeley, Berkeley, CA, USA",https://nisee.berkeley.edu/elibrary/Text/101000963,37.87479212,-122.2576617
Black_Strut-23,Black et al.,Strut-23,1980,I-shaped,127x127x9.1,3020,127,127,9.1,6.1,8840000,3110000,54.1,32.1,157000,74600,79100,SB,45,3660,3660,ASTM A36,200000,250,246,nr,Pin-Pin end,na,na,na,na,na,na,na,na,na,Pin-Fixed Ended,Pin-Fixed Ended,Pin-Fixed Ended,Pin-Fixed Ended,na,na,na,na,Pin-Fixed Ended,na,na,na,na,CJP,nr,nr,na,na,na,na,na,Symmetric Cyclic,734.7,743.3,601.2,80,0.9,0.89,0.7,79.81,"Black, R. G., Wenger, W. A. B., & Popov, E. P. (1980). Inelastic Buckling of Steel Struts Under Cyclic Load Reversals, Report No. UCB/EERC-80/40), University of California at Berkeley, Berkeley, CA, USA",https://nisee.berkeley.edu/elibrary/Text/101000963,37.87479212,-122.2576617
Black_Strut-24,Black et al.,Strut-24,1980,Circular HSS,Pipe89STD,1620,89,89,5.74,na,1880000,1880000,34,34,49700,49700,3760000,SB,45,3890,3890,A53 Gr. B,200000,240,319,nr,Pin-Pin end,na,na,na,na,na,na,na,na,na,Pin-Fixed Ended,Pin-Fixed Ended,Pin-Fixed Ended,Pin-Fixed Ended,na,na,na,na,Pin-Fixed Ended,na,na,na,na,CJP,nr,nr,na,na,na,na,na,Symmetric Cyclic,577.8,517.1,366.7,80,1,1.02,0.7,80.09,"Black, R. G., Wenger, W. A. B., & Popov, E. P. (1980). Inelastic Buckling of Steel Struts Under Cyclic Load Reversals, Report No. UCB/EERC-80/40), University of California at Berkeley, Berkeley, CA, USA",https://nisee.berkeley.edu/elibrary/Text/101000963,37.87479212,-122.2576617
Lehman_Roeder_HSS1,Lehman & Roeder,HSS1,2008,Rectangular HSS,HSS127x127x9.5,4240,127,127,9.5,na,9480000,9480000,47.3,47.3,149000,149000,15900000,SBF,45,3417,3042,A500 Gr. B,200000,315,483,529,Gusset plate,863.6,305.33,762,777.07,647.7,546.1,na,na,12.78,863.6,305.33,762,777.07,647.7,546.1,na,na,12.78,A572 Gr.50,345,420.48,504.7,Fillet,374.65,4.76,na,na,na,na,76.2x254x9.525,Symmetric Cyclic,2097.3,2046.4,1216.2,72.2,1.1,1.13,1,72.24,"Lehman, D.E, Roeder, C.W., Herman, D., Johnson, S., Kotulka, B. (2008). Improved Seismic Performance of Gusset Plate Connections, Voil. 134(6), pp. 890-901.",https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9445%282008%29134%3A6%28890%29,47.655548,-122.3032
Lehman_Roeder_HSS2,Lehman & Roeder,HSS2,2008,Rectangular HSS,HSS127x127x9.5,4240,127,127,9.5,na,9480000,9480000,47.3,47.3,149000,149000,15900000,SBF,45,4008,3633,A500 Gr. B,200000,315,483,529,Gusset plate,635,246.96,533.4,454.65,460.38,358.78,na,na,12.42,635,246.96,533.4,454.65,460.38,358.78,na,na,12.42,A572 Gr.50,345,454.36,552.27,Fillet,374.65,12.7,na,na,na,na,76.2x254x9.526,Symmetric Cyclic,2141.1,2046.4,1070.6,84.7,1.3,1.33,1,84.74,"Lehman, D.E, Roeder, C.W., Herman, D., Johnson, S., Kotulka, B. (2008). Improved Seismic Performance of Gusset Plate Connections, Voil. 134(6), pp. 890-901.",https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9445%282008%29134%3A6%28890%29,47.655548,-122.3032
Lehman_Roeder_HSS3,Lehman & Roeder,HSS3,2008,Rectangular HSS,HSS127x127x9.5,4240,127,127,9.5,na,9480000,9480000,47.3,47.3,149000,149000,15900000,SBF,45,4008,3633,A500 Gr. B,200000,315,483,529,Gusset plate,635,246.96,533.4,454.65,460.38,358.78,na,na,12.5,635,246.96,533.4,454.65,460.38,358.78,na,na,12.5,A572 Gr.50,345,354.39,502.63,Fillet,374.65,11.11,na,na,na,na,76.2x254x9.526,Symmetric Cyclic,2312.2,2046.4,1070.6,84.7,1.3,1.33,1,84.74,"Lehman, D.E, Roeder, C.W., Herman, D., Johnson, S., Kotulka, B. (2008). Improved Seismic Performance of Gusset Plate Connections, Voil. 134(6), pp. 890-901.",https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9445%282008%29134%3A6%28890%29,47.655548,-122.3032
Lehman_Roeder_HSS4,Lehman & Roeder,HSS4,2008,Rectangular HSS,HSS127x127x9.5,4240,127,127,9.5,na,9480000,9480000,47.3,47.3,149000,149000,15900000,SBF,45,3904,3530,A500 Gr. B,200000,315,505,549,Gusset plate,647.7,229.01,542.93,495.9,484.19,382.59,na,na,12.5,647.7,229.01,542.93,495.9,484.19,382.59,na,na,12.5,A572 Gr.50,345,354.39,502.63,Fillet,349.25,11.11,na,na,na,na,76.2x254x9.526,Symmetric Cyclic,2097.3,2139.9,1083.3,82.5,1.3,1.32,1,82.55,"Lehman, D.E, Roeder, C.W., Herman, D., Johnson, S., Kotulka, B. (2008). Improved Seismic Performance of Gusset Plate Connections, Voil. 134(6), pp. 890-901.",https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9445%282008%29134%3A6%28890%29,47.655548,-122.3032
Lehman_Roeder_HSS5,Lehman & Roeder,HSS5,2008,Rectangular HSS,HSS127x127x9.5,4240,127,127,9.5,na,9480000,9480000,47.3,47.3,149000,149000,15900000,SBF,45,4008,3633,A500 Gr. B,200000,315,505,549,Gusset plate,635,246.96,533.4,454.65,460.38,358.78,na,na,9.53,635,246.96,533.4,454.65,460.38,358.78,na,na,9.53,A572 Gr.50,345,446.78,601.91,Fillet,374.65,7.94,na,na,na,na,76.2x254x9.526,Symmetric Cyclic,2242.9,2139.9,1019.6,84.7,1.4,1.35,1,84.74,"Lehman, D.E, Roeder, C.W., Herman, D., Johnson, S., Kotulka, B. (2008). Improved Seismic Performance of Gusset Plate Connections, Voil. 134(6), pp. 890-901.",https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9445%282008%29134%3A6%28890%29,47.655548,-122.3032
Lehman_Roeder_HSS6,Lehman & Roeder,HSS6,2008,Rectangular HSS,HSS127x127x9.5,4240,127,127,9.5,na,9480000,9480000,47.3,47.3,149000,149000,15900000,SBF,45,4008,3633,A500 Gr. B,200000,315,446,481,Gusset plate,635,246.96,533.4,454.65,460.38,358.78,na,na,9.53,635,246.96,533.4,454.65,460.38,358.78,na,na,9.53,A572 Gr.50,345,446.09,599.15,Fillet,374.65,7.94,na,na,na,na,76.2x254x9.526,Symmetric Cyclic,2230.2,1891.4,1006.9,84.7,1.3,1.27,1,84.74,"Lehman, D.E, Roeder, C.W., Herman, D., Johnson, S., Kotulka, B. (2008). Improved Seismic Performance of Gusset Plate Connections, Voil. 134(6), pp. 890-901.",https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9445%282008%29134%3A6%28890%29,47.655548,-122.3032
Lehman_Roeder_HSS7,Lehman & Roeder,HSS7,2008,Rectangular HSS,HSS127x127x9.5,4240,127,127,9.5,na,9480000,9480000,47.3,47.3,149000,149000,15900000,SBF,45,3792,3417,A500 Gr. B,200000,315,446,481,Gusset plate,723.9,282.88,622.3,579.96,523.88,422.28,na,na,22.23,723.9,282.88,622.3,579.96,523.88,422.28,na,na,22.23,A572 Gr.50,345,406.79,530.89,Fillet,374.65,19.05,na,na,na,na,76.2x254x9.526,Symmetric Cyclic,2255.7,1891.4,1311,80.2,1.2,1.21,1,80.16,"Lehman, D.E, Roeder, C.W., Herman, D., Johnson, S., Kotulka, B. (2008). Improved Seismic Performance of Gusset Plate Connections, Voil. 134(6), pp. 890-901.",https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9445%282008%29134%3A6%28890%29,47.655548,-122.3032
Lehman_Roeder_HSS8,Lehman & Roeder,HSS8,2008,Rectangular HSS,HSS127x127x9.5,4240,127,127,9.5,na,9480000,9480000,47.3,47.3,149000,149000,15900000,SBF,45,4121,3746,A500 Gr. B,200000,315,446,481,Gusset plate,596.9,251.45,495.3,401,419.1,317.5,na,na,9.53,596.9,251.45,495.3,401,419.1,317.5,na,na,9.53,A572 Gr.50,345,508.83,620.53,Fillet,374.65,11.11,na,na,na,na,76.2x254x9.526,Symmetric Cyclic,2148.2,1891.4,1090.4,87.1,1.3,1.31,1,87.12,"Lehman, D.E, Roeder, C.W., Herman, D., Johnson, S., Kotulka, B. (2008). Improved Seismic Performance of Gusset Plate Connections, Voil. 134(6), pp. 890-901.",https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9445%282008%29134%3A6%28890%29,47.655548,-122.3032
Lehman_Roeder_HSS9,Lehman & Roeder,HSS9,2008,Rectangular HSS,HSS127x127x9.5,4240,127,127,9.5,na,9480000,9480000,47.3,47.3,149000,149000,15900000,SBF,45,4008,3633,A500 Gr. B,200000,315,446,481,Gusset plate,635,246.96,533.4,454.65,460.37,358.78,na,na,12.85,635,246.96,533.4,454.65,460.37,358.78,na,na,12.85,A572 Gr.50,345,508.83,620.53,CJP,374.65,na,na,na,na,na,76.2x254x9.526,Symmetric Cyclic,2306.6,1891.4,1077.6,84.7,1.3,1.27,1,84.74,"Lehman, D.E, Roeder, C.W., Herman, D., Johnson, S., Kotulka, B. (2008). Improved Seismic Performance of Gusset Plate Connections, Voil. 134(6), pp. 890-901.",https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9445%282008%29134%3A6%28890%29,47.655548,-122.3032
Lehman_Roeder_HSS10,Lehman & Roeder,HSS10,2008,Rectangular HSS,HSS127x127x9.5,4240,127,127,9.5,na,9480000,9480000,47.3,47.3,149000,149000,15900000,SBF,45,3990,3615,A500 Gr. B,200000,315,454,490,Gusset plate,476.25,246.96,415.93,293.69,415.93,358.78,na,na,12.65,476.25,246.96,415.93,293.69,415.93,358.78,na,na,12.65,A572 Gr.50,345,435.06,546.75,Fillet,374.65,7.94,na,na,na,na,76.2x254x9.526,Symmetric Cyclic,2211.8,1923.6,1001.3,84.4,1.3,1.28,1,84.35,"Lehman, D.E, Roeder, C.W., Herman, D., Johnson, S., Kotulka, B. (2008). Improved Seismic Performance of Gusset Plate Connections, Voil. 134(6), pp. 890-901.",https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9445%282008%29134%3A6%28890%29,47.655548,-122.3032
Lehman_Roeder_HSS11,Lehman & Roeder,HSS11,2008,Rectangular HSS,HSS127x127x9.5,4240,127,127,9.5,na,9480000,9480000,47.3,47.3,149000,149000,15900000,SBF,45,3792,3417,A500 Gr. B,200000,315,454,490,Gusset plate,723.9,286.02,622.3,579.96,623.62,420.15,na,na,22.23,723.9,286.02,622.3,579.96,623.62,420.15,na,na,22.23,A572 Gr.50,345,414,552,CJP,374.65,na,na,na,na,na,76.2x254x9.526,Symmetric Cyclic,2603.6,1923.6,1267.1,80.2,1.2,1.22,1,80.16,"Lehman, D.E, Roeder, C.W., Herman, D., Johnson, S., Kotulka, B. (2008). Improved Seismic Performance of Gusset Plate Connections, Voil. 134(6), pp. 890-901.",https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9445%282008%29134%3A6%28890%29,47.655548,-122.3032
Lehman_Roeder_HSS12,Lehman & Roeder,HSS12,2008,Rectangular HSS,HSS127x127x9.5,4240,127,127,9.5,na,9480000,9480000,47.3,47.3,149000,149000,15900000,SBF,45,3420,3045,A500 Gr. B,200000,315,455,490,Gusset plate,863.6,nr,762,777.07,nr,nr,na,na,12.7,863.6,nr,762,777.07,nr,nr,na,na,12.7,A572 Gr.50,345,414,552,CJP,374.65,na,na,na,na,na,76.2x254x9.526,Symmetric Cyclic,2363.2,1929.2,1139.9,72,1.1,1.1,1,72.3,"Lehman, D.E, Roeder, C.W., Herman, D., Johnson, S., Kotulka, B. (2008). Improved Seismic Performance of Gusset Plate Connections, Voil. 134(6), pp. 890-901.",https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9445%282008%29134%3A6%28890%29,47.655548,-122.3032
Lehman_Roeder_HSS13,Lehman & Roeder,HSS13,2008,Rectangular HSS,HSS127x127x9.5,4240,127,127,9.5,na,9480000,9480000,47.3,47.3,149000,149000,15900000,SBF,45,3790,3415,A500 Gr. B,200000,315,455,490,Gusset plate,476.3,nr,415.9,nr,nr,nr,na,na,12.7,476.3,nr,415.9,nr,nr,nr,na,na,12.7,A572 Gr.50,345,nr,nr,CJP,374.65,na,na,na,na,na,76.2x254x9.526,Symmetric Cyclic,2211.8,1929.2,1114.4,80,1.2,1.22,1,80.13,"Lehman, D.E, Roeder, C.W., Herman, D., Johnson, S., Kotulka, B. (2008). Improved Seismic Performance of Gusset Plate Connections, Voil. 134(6), pp. 890-901.",https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9445%282008%29134%3A6%28890%29,47.655548,-122.3032
Lehman_Roeder_HSS14,Lehman & Roeder,HSS14,2008,Rectangular HSS,HSS127x127x9.5,4240,127,127,9.5,na,9480000,9480000,47.3,47.3,149000,149000,15900000,SBF,45,4005,3631,A500 Gr. B,200000,315,nr,nr,Gusset plate,635,nr,533.4,454.65,nr,nr,na,na,9.53,635,nr,533.4,454.65,nr,nr,na,na,9.53,A572 Gr.50,345,nr,nr,Fillet,374.65,11.11,na,na,na,na,na,Symmetric Cyclic,2252.1,#VALUE!,1069.4,84,#VALUE!,#VALUE!,1,84.68,"Lehman, D.E, Roeder, C.W., Herman, D., Johnson, S., Kotulka, B. (2008). Improved Seismic Performance of Gusset Plate Connections, Voil. 134(6), pp. 890-901.",https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9445%282008%29134%3A6%28890%29,47.655548,-122.3032
Lehman_Roeder_HSS15,Lehman & Roeder,HSS15,2008,Rectangular HSS,HSS127x127x9.5,4240,127,127,9.5,na,9480000,9480000,47.3,47.3,149000,149000,15900000,SBF,45,4116,3831,A500 Gr. B,200000,315,nr,nr,Gusset plate,533.4,nr,431.8,400.52,nr,nr,na,na,9.53,533.4,nr,431.8,400.52,nr,nr,na,na,9.53,A572 Gr.50,345,nr,nr,Fillet,285.75,7.94,na,na,na,na,na,Symmetric Cyclic,2088.5,#VALUE!,975.1,86,#VALUE!,#VALUE!,1,87.03,"Lehman, D.E, Roeder, C.W., Herman, D., Johnson, S., Kotulka, B. (2008). Improved Seismic Performance of Gusset Plate Connections, Voil. 134(6), pp. 890-901.",https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9445%282008%29134%3A6%28890%29,47.655548,-122.3032
Lehman_Roeder_HSS16,Lehman & Roeder,HSS16,2008,Rectangular HSS,HSS127x127x9.5,4240,127,127,9.5,na,9480000,9480000,47.3,47.3,149000,149000,15900000,SBF,45,3334,2959,A500 Gr. B,200000,315,nr,nr,Gusset plate,635,nr,533.4,nr,nr,nr,na,na,9.53,635,nr,533.4,nr,nr,nr,na,na,9.53,A572 Gr.50,345,nr,nr,na,na,na,na,na,na,na,na,Symmetric Cyclic,1893.5,#VALUE!,1000.2,70,#VALUE!,#VALUE!,1,70.48,"Lehman, D.E, Roeder, C.W., Herman, D., Johnson, S., Kotulka, B. (2008). Improved Seismic Performance of Gusset Plate Connections, Voil. 134(6), pp. 890-901.",https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9445%282008%29134%3A6%28890%29,47.655548,-122.3032
Lehman_Roeder_HSS17,Lehman & Roeder,HSS17,2008,Rectangular HSS,HSS127x127x9.5,4240,127,127,9.5,na,9480000,9480000,47.3,47.3,149000,149000,15900000,SBF,45,3994,3519,A500 Gr. B,200000,315,nr,nr,Gusset plate,474.66,136.7,412.75,241.3,473.12,250.68,na,na,9.53,474.66,136.7,412.75,241.3,473.12,250.68,na,na,9.53,A572 Gr.50,345,nr,nr,Fillet,374.65,7.94,na,na,na,na,na,Symmetric Cyclic,2233.2,#VALUE!,918.4,84,#VALUE!,#VALUE!,1,84.44,"Lehman, D.E, Roeder, C.W., Herman, D., Johnson, S., Kotulka, B. (2008). Improved Seismic Performance of Gusset Plate Connections, Voil. 134(6), pp. 890-901.",https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9445%282008%29134%3A6%28890%29,47.655548,-122.3032
Lehman_Roeder_HSS18,Lehman & Roeder,HSS18,2008,Rectangular HSS,HSS127x127x9.5,4240,127,127,9.5,na,9480000,9480000,47.3,47.3,149000,149000,15900000,SBF,45,4008,3633,A500 Gr. B,200000,315,505,549,Gusset plate,635,246.96,533.4,454.65,nr,nr,na,na,9.53,635,246.96,533.4,454.65,nr,nr,na,na,9.53,A572 Gr.50,345,446.78,601.91,Fillet,374.65,7.94,na,na,na,na,na,Symmetric Cyclic,2036.9,2139.9,918.4,81.3,1.3,1.35,1,84.74,"Lehman, D.E, Roeder, C.W., Herman, D., Johnson, S., Kotulka, B. (2008). Improved Seismic Performance of Gusset Plate Connections, Voil. 134(6), pp. 890-901.",https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9445%282008%29134%3A6%28890%29,47.655548,-122.3032
Lehman_Roeder_HSS19,Lehman & Roeder,HSS19,2008,Rectangular HSS,HSS127x127x9.5,4240,127,127,9.5,na,9480000,9480000,47.3,47.3,149000,149000,15900000,SBF,45,4005,2621,A500 Gr. B,200000,315,nr,nr,Gusset plate,584.2,nr,533.4,nr,nr,nr,na,na,nr,584.2,nr,533.4,nr,nr,nr,na,na,nr,A572 Gr.50,345,nr,nr,na,na,na,na,na,na,na,na,Symmetric Cyclic,1498.5,#VALUE!,736.6,84.7,#VALUE!,#VALUE!,1,84.68,"Lehman, D.E, Roeder, C.W., Herman, D., Johnson, S., Kotulka, B. (2008). Improved Seismic Performance of Gusset Plate Connections, Voil. 134(6), pp. 890-901.",https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9445%282008%29134%3A6%28890%29,47.655548,-122.3032
Lehman_Roeder_HSS20,Lehman & Roeder,HSS20,2008,Rectangular HSS,HSS127x127x9.5,4240,127,127,9.5,na,9480000,9480000,47.3,47.3,149000,149000,15900000,SBF,45,4005,3258,A500 Gr. B,200000,315,nr,nr,Gusset plate,609.6,246.96,533.4,nr,434.98,358.78,na,na,9.53,609.6,246.96,533.4,nr,434.98,358.78,na,na,9.53,A572 Gr.50,345,nr,nr,Fillet,374.65,7.94,na,na,na,na,na,Symmetric Cyclic,2503.7,#VALUE!,1246.8,72.4,#VALUE!,#VALUE!,1,84.68,"Lehman, D.E, Roeder, C.W., Herman, D., Johnson, S., Kotulka, B. (2008). Improved Seismic Performance of Gusset Plate Connections, Voil. 134(6), pp. 890-901.",https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9445%282008%29134%3A6%28890%29,47.655548,-122.3032
Lehman_Roeder_HSS21,Lehman & Roeder,HSS21,2008,Rectangular HSS,HSS127x127x9.5,4240,127,127,9.5,na,9480000,9480000,47.3,47.3,149000,149000,15900000,SBF,45,4005,3258,A500 Gr. B,200000,315,nr,nr,Gusset plate,609.6,246.96,533.4,nr,359.78,438.15,na,na,9.53,609.6,246.96,533.4,nr,359.78,438.15,na,na,9.53,A572 Gr.50,345,nr,nr,Fillet,374.65,7.94,na,na,na,na,na,Symmetric Cyclic,2503.7,#VALUE!,1100.9,81.1,#VALUE!,#VALUE!,1,84.68,"Lehman, D.E, Roeder, C.W., Herman, D., Johnson, S., Kotulka, B. (2008). Improved Seismic Performance of Gusset Plate Connections, Voil. 134(6), pp. 890-901.",https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9445%282008%29134%3A6%28890%29,47.655548,-122.3032
Lehman_Roeder_HSS22,Lehman & Roeder,HSS22,2008,Rectangular HSS,HSS127x127x9.5,4240,127,127,9.5,na,9480000,9480000,47.3,47.3,149000,149000,15900000,SBF,45,3994,3243,A500 Gr. B,200000,315,nr,nr,Gusset plate,474.66,171.45,412.75,nr,374.65,417.51,na,na,9.53,474.66,171.45,412.75,nr,374.65,417.51,na,na,9.53,A572 Gr.50,345,nr,nr,Fillet,374.65,nr,na,na,na,na,na,Symmetric Cyclic,2451.5,#VALUE!,1094.6,84.3,#VALUE!,#VALUE!,1,84.44,"Lehman, D.E, Roeder, C.W., Herman, D., Johnson, S., Kotulka, B. (2008). Improved Seismic Performance of Gusset Plate Connections, Voil. 134(6), pp. 890-901.",https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9445%282008%29134%3A6%28890%29,47.655548,-122.3032
Lehman_Roeder_HSS23,Lehman & Roeder,HSS23,2008,I-shaped,W150x37,4730,162,154,11.6,8.1,22300000,7070000,68.5,38.6,311000,140000,197000,SBF,45,4031,3370,A500 Gr. B,200000,315,nr,nr,Gusset plate,555.63,211.04,508,nr,406.4,358.78,na,na,9.53,555.63,211.04,508,nr,406.4,358.78,na,na,9.53,A572 Gr.50,345,nr,nr,Fillet,330.2,7.94,na,na,na,na,na,Symmetric Cyclic,2211.2,#VALUE!,1050.6,103.8,#VALUE!,#VALUE!,1,104.42,"Lehman, D.E, Roeder, C.W., Herman, D., Johnson, S., Kotulka, B. (2008). Improved Seismic Performance of Gusset Plate Connections, Voil. 134(6), pp. 890-901.",https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9445%282008%29134%3A6%28890%29,47.655548,-122.3032
Lehman_Roeder_HSS24,Lehman & Roeder,HSS24,2008,Rectangular HSS,HSS127x127x9.5,4240,127,127,9.5,na,9480000,9480000,47.3,47.3,149000,149000,15900000,SBF,45,4005,3258,A500 Gr. B,200000,315,nr,nr,Gusset plate,635,202.03,533.4,nr,460.38,358.78,na,na,22.23,635,202.03,533.4,nr,460.38,358.78,na,na,22.23,A572 Gr.50,345,nr,nr,Fillet,374.65,7.94,na,na,na,na,na,Symmetric Cyclic,2463.5,#VALUE!,1100.9,68.8,#VALUE!,#VALUE!,1,84.68,"Lehman, D.E, Roeder, C.W., Herman, D., Johnson, S., Kotulka, B. (2008). Improved Seismic Performance of Gusset Plate Connections, Voil. 134(6), pp. 890-901.",https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9445%282008%29134%3A6%28890%29,47.655548,-122.3032
Lehman_Roeder_HSS25,Lehman & Roeder,HSS25,2008,Rectangular HSS,HSS127x127x9.5,4240,127,127,9.5,na,9480000,9480000,47.3,47.3,149000,149000,15900000,SBF,45,3778,3029,A500 Gr. B,200000,315,nr,nr,Gusset plate,723.9,282.88,622.3,400,523.88,422.28,na,na,22.23,723.9,282.88,622.3,400,523.88,422.28,na,na,22.23,A572 Gr.50,345,nr,nr,Fillet,374.65,7.94,na,na,na,na,na,Symmetric Cyclic,2503.7,#VALUE!,1493.4,49.3,#VALUE!,#VALUE!,1,79.88,"Lehman, D.E, Roeder, C.W., Herman, D., Johnson, S., Kotulka, B. (2008). Improved Seismic Performance of Gusset Plate Connections, Voil. 134(6), pp. 890-901.",https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9445%282008%29134%3A6%28890%29,47.655548,-122.3032
Lehman_Roeder_HSS26,Lehman & Roeder,HSS26,2008,Rectangular HSS,HSS127x127x9.5,4240,127,127,9.5,na,9480000,9480000,47.3,47.3,149000,149000,15900000,SBF,45,3778,3029,A500 Gr. B,200000,315,nr,nr,Gusset plate,723.9,282.88,622.3,400,523.88,422.28,na,na,22.23,723.9,282.88,622.3,400,523.88,422.28,na,na,22.23,A572 Gr.50,345,nr,nr,Fillet,374.65,7.94,na,na,na,na,na,Symmetric Cyclic,2503.7,#VALUE!,1373.3,49.5,#VALUE!,#VALUE!,1,79.88,"Lehman, D.E, Roeder, C.W., Herman, D., Johnson, S., Kotulka, B. (2008). Improved Seismic Performance of Gusset Plate Connections, Voil. 134(6), pp. 890-901.",https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9445%282008%29134%3A6%28890%29,47.655548,-122.3032
Lehman_Roeder_HSS27,Lehman & Roeder,HSS27,2008,Rectangular HSS,HSS127x127x9.5,4240,127,127,9.5,na,9480000,9480000,47.3,47.3,149000,149000,15900000,SBF,45,4012,2507,A500 Gr. B,200000,315,nr,nr,Gusset plate,933.45,217.02,981.08,520.7,857.25,777.88,na,na,9.53,933.45,217.02,981.08,520.7,857.25,777.88,na,na,9.53,A572 Gr.50,345,nr,nr,FIllet,701.68,7.94,na,na,na,na,na,Symmetric Cyclic,nr,#VALUE!,nr,84.8,#VALUE!,#VALUE!,1,84.81,"Lehman, D.E, Roeder, C.W., Herman, D., Johnson, S., Kotulka, B. (2008). Improved Seismic Performance of Gusset Plate Connections, Voil. 134(6), pp. 890-901.",https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9445%282008%29134%3A6%28890%29,47.655548,-122.3032
Lehman_Roeder_HSS28,Lehman & Roeder,HSS28,2008,Rectangular HSS,HSS127x127x9.5,4240,127,127,9.5,na,9480000,9480000,47.3,47.3,149000,149000,15900000,SBF,45,3861,3112,A500 Gr. B,200000,315,nr,nr,Gusset plate,511.18,177.8,450.85,nr,nr,nr,na,na,19.05,511.18,177.8,450.85,nr,nr,nr,na,na,19.05,A572 Gr.50,345,nr,nr,Fillet,374.65,7.94,na,na,na,na,na,Symmetric Cyclic,534,#VALUE!,91.9,81.6,#VALUE!,#VALUE!,1,81.62,"Lehman, D.E, Roeder, C.W., Herman, D., Johnson, S., Kotulka, B. (2008). Improved Seismic Performance of Gusset Plate Connections, Voil. 134(6), pp. 890-901.",https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9445%282008%29134%3A6%28890%29,47.655548,-122.3032
Lehman_Roeder_HSS29,Lehman & Roeder,HSS29,2008,Double Channel,2-MC150X17.9,4560,152,63,9.5,7.9,4682912.97,769000,58.3,18.4,#VALUE!,#VALUE!,64500,SBF,45,4020,4020,ASTM A36,200000,250,nr,nr,Gusset plate,577.85,nr,530.23,nr,nr,nr,na,na,9.53,577.85,nr,530.23,nr,nr,nr,na,na,9.53,A572 Gr.50,345,nr,nr,na,na,na,na,na,na,na,na,Symmetric Cyclic,na,#VALUE!,na,218.5,#VALUE!,#VALUE!,1,218.45,"Lehman, D.E, Roeder, C.W., Herman, D., Johnson, S., Kotulka, B. (2008). Improved Seismic Performance of Gusset Plate Connections, Voil. 134(6), pp. 890-901.",https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9445%282008%29134%3A6%28890%29,47.655548,-122.3032
