panel zone shear distortion* (rad),panel zone shear force (kN)
0,0
0.001239546,680.5429193
-0.001231908,-852.1083611
0.001257177,691.9806154
-0.001177487,-852.1083611
1.5275E-06,-34.31308837
0.001448068,886.4214495
0.00168762,1006.517259
0.002129518,1063.705739
0.002034837,949.3287781
-0.000550458,-674.8240712
-0.001127298,-960.7664743
-0.001482218,-1138.050764
-0.00187851,-1200.958093
0.000439258,320.2554914
0.001359911,829.2329689
0.001722883,1029.392651
0.002057465,1052.268043
0.001594051,663.3863751
-0.000995062,-874.9837533
-0.001356507,-1109.456524
-0.001996933,-1189.520397
0.001694908,1046.549195
0.002016092,1166.645004
0.002512413,1223.833485
0.002863863,1275.303118
0.003125629,1303.897358
0.000835071,-217.3162263
0.000196521,-543.2905658
-0.000436268,-794.9198805
-0.000980901,-989.3607146
-0.001491034,-1143.769612
-0.001552744,-1183.801549
-0.001964726,-1098.018828
-0.001379419,-594.7601984
-0.001016797,-183.003138
-0.000958905,-57.18848061
-0.000848884,120.0958093
-0.000310361,451.7889968
0.000195953,691.9806154
0.000857481,909.2968417
0.001629379,1092.29998
0.002519701,1263.865421
0.002989574,1303.897358
0.003265502,1218.114637
0.000866864,-320.2554914
-0.000198659,-834.9518169
-0.000804237,-1086.581132
-0.001378371,-1229.552333
-0.001746689,-1309.616206
-0.002190115,-1332.491598
-0.002651937,-1349.648142
-0.003213022,-1378.242383
-0.003450632,-1338.210446
-0.000924756,194.4408341
0.000427453,789.2010324
0.001484509,1086.581132
0.002312357,1235.271181
0.002971943,1292.459662
0.003049342,1183.801549
0.00149278,85.78272092
-0.000508736,-1000.798411
-0.001682688,-1321.053902
-0.002940913,-1378.242383
-0.003451395,-1321.053902
-0.000319941,463.2266929
0.001314719,1029.392651
0.00224912,1229.552333
0.002960836,1338.210446
0.003492419,1418.274319
0.005058016,1498.338192
0.007403913,1572.683217
0.008590848,1601.277457
0.009443202,1606.996305
0.009529417,1504.05704
0.007933773,468.945541
0.006762461,-114.3769612
0.006015831,-457.5078449
0.005371171,-646.2298309
0.004555958,-874.9837533
0.003628846,-1035.111499
0.002348756,-1212.395789
0.001184034,-1332.491598
-0.000144717,-1435.430863
-0.002759667,-1578.402065
-0.005384961,-1692.779026
-0.007639646,-1778.561747
-0.008662552,-1824.312531
-0.009288403,-1824.312531
-0.009220168,-1727.092114
-0.006864846,-234.4727705
-0.005903584,177.2842899
-0.005054635,463.2266929
-0.004419554,663.3863751
-0.003818973,823.5141208
-0.003000704,983.6418665
-0.002216935,1103.737676
-0.001313979,1195.239245
0.001542051,1423.993167
0.004129791,1566.964369
0.006294027,1647.028242
0.007924389,1698.497874
0.008775978,1721.373266
0.009078353,1652.74709
0.008807357,1423.993167
0.006710396,240.1916186
0.005770584,-245.9104666
0.00459469,-726.2937038
0.003686737,-909.2968417
0.002048673,-1195.239245
0.000468499,-1355.36699
-0.003248699,-1595.558609
-0.006027679,-1721.373266
-0.00766762,-1761.405203
-0.008910505,-1755.686355
-0.009501856,-1715.654418
-0.009740994,-1641.309394
-0.006969456,-125.8146573
-0.006194851,200.1596821
-0.005606141,423.1947565
-0.004954192,651.948679
-0.004271215,794.9198805
-0.003480157,955.0476262
-0.002289752,1109.456524
-0.000636762,1263.865421
0.001341995,1435.430863
0.004129791,1566.964369
0.006647005,1664.184786
0.008086891,1715.654418
0.008667135,1721.373266
0.008949587,1692.779026
0.006632997,348.8497317
0.005321397,-343.1308837
0.004769477,-577.6036542
0.003999106,-794.9198805
0.002813283,-1052.268043
0.0016773,-1206.676941
0.000115522,-1372.523535
-0.001691918,-1521.213584
-0.002128056,-1504.05704
-0.002600984,-1475.4628
-0.003099596,-1481.181648
-0.003431887,-1555.526673
-0.003767997,-1544.088976
-0.003257101,-1406.836623
-0.002278622,-1178.082701
-0.00182291,-1023.673803
-0.001766547,-863.5460572
-0.002056636,-663.3863751
-0.002178878,-566.165958
-0.002155486,-480.3832371
