panel zone shear distortion* (rad),panel zone shear force (kN)
3.02184E-05,14.12051201
0.00060763,607.1820163
-0.000575609,-677.7845764
0.000597757,593.0615043
-0.000666865,-691.9050884
0.00057681,621.3025283
-0.000412841,-677.7845764
0.000566938,607.1820163
-0.00064712,-663.6640643
0.000444863,607.1820163
-0.000687811,-663.6640643
0.000516374,593.0615043
0.000943294,1087.279425
-0.001042019,-1228.484545
0.000840964,1115.520449
-0.000970508,-1242.605057
0.000749708,1101.399937
-0.001051891,-1242.605057
0.000852038,1073.158913
-0.000960635,-1228.484545
0.000953166,1101.399937
-0.001112328,-1270.846081
0.00093222,1129.640961
0.001509631,1722.702465
-0.001417173,-1765.064001
0.001509631,1722.702465
-0.001466535,-1835.666561
0.001509631,1722.702465
-0.001507227,-1835.666561
0.001539248,1765.064001
-0.001558993,-1793.305025
0.001571269,1694.461441
-0.001487482,-1807.425537
0.001519503,1736.822977
0.002064894,2400.487041
-0.002003255,-2428.728065
0.002394291,2697.017793
-0.002114256,-2471.089601
0.00232278,2711.138305
-0.002073564,-2471.089601
0.002485547,2711.138305
-0.002032872,-2471.089601
0.002505292,2739.379329
0.00271622,2866.463938
0.003241607,3035.910082
0.003748451,3120.633154
0.004204731,3191.235714
0.004570957,3191.235714
0.004764543,3177.115202
0.004909969,3035.910082
0.001558906,-593.0615043
0.001090092,-1030.797377
2.67835E-05,-1736.822977
-0.000910587,-2146.317825
-0.001544571,-2471.089601
-0.002433781,-2753.499841
-0.003343937,-3007.669058
-0.004072783,-3177.115202
-0.004813906,-3247.717762
-0.005474846,-3261.838274
-0.005802784,-3148.874178
-0.004678781,-1948.630657
-0.003306764,-451.8563842
-0.002171686,706.0256004
-0.00144138,1284.966593
-0.000679053,1793.305025
0.000368116,2301.643457
0.001215432,2640.535745
0.002218046,2852.343425
0.002956765,3035.910082
0.00343279,3134.753666
0.00385825,3219.476738
0.00444768,3247.717762
0.004805235,3177.115202
0.004949459,3092.39213
0.001362658,-931.9537925
0.00050401,-1694.461441
-9.67514E-05,-2146.317825
-0.000839333,-2626.415233
-0.001495467,-2866.463938
-0.002204568,-3007.669058
-0.002832286,-3148.874178
-0.003847176,-3261.838274
-0.004915034,-3275.958786
-0.005699252,-3233.59725
-0.005802784,-3148.874178
-0.002823012,240.0487041
-0.001723819,1172.002497
-0.000396615,1906.269121
0.000852811,2471.089601
0.002046608,2781.740865
0.002785327,2965.307522
0.003515375,3078.271618
