panel zone shear distortion* (rad),panel zone shear force (kN)
0,0
0.002332155,1298.641041
-0.001700654,-1174.650188
0.002477173,1285.589372
-0.001775819,-1187.701857
0.002167017,1298.641041
-0.001805433,-1135.495182
0.002432752,1363.899385
0.00308912,1468.312735
0.003744923,1500.941907
-2.63335E-05,-802.6776283
-0.001144318,-1063.711003
-0.002111971,-1298.641041
-0.003043569,-1403.054391
-0.003544294,-1442.209397
-0.003462686,-1246.434366
-0.001924118,-319.7658845
-0.001058984,241.4558719
-8.96354E-05,691.7384439
0.000647775,920.1426471
0.001069717,1122.443513
0.002077045,1311.69271
0.003369662,1507.467741
0.003879317,1409.580225
0.001480926,-39.15500626
0.000169548,-711.315947
-0.000803418,-985.4009909
-0.001921402,-1246.434366
-0.00257777,-1350.847716
-0.003033509,-1396.528557
-0.00357922,-1429.157728
-0.001501611,-45.68084064
0.000176664,828.7809658
0.000929447,1102.86601
0.002272362,1331.270213
0.003044134,1474.838569
0.004059826,1455.261066
0.000174295,-743.9451189
-0.000558368,-1004.978494
-0.001165567,-1220.331028
-0.001701784,-1318.218544
-0.002407885,-1383.476888
-0.003359037,-1429.157728
-0.003639014,-1396.528557
0.000251829,841.8326346
0.002452871,1376.951053
0.003654951,1513.993575
0.004796672,1611.881091
0.006493599,1677.139435
0.008050255,1722.820275
0.008926242,1755.449447
0.009721751,1735.871944
0.00974074,1605.355257
0.007295104,-123.9908532
0.00651689,-450.282572
0.005804911,-626.4801001
0.004902363,-854.8843033
0.003629866,-1037.607666
0.002513012,-1155.072685
0.00164652,-1252.9602
0.000134285,-1376.951053
-0.002298923,-1527.045244
-0.005147631,-1696.716938
-0.007670247,-1761.975282
-0.008886568,-1801.130288
-0.009997545,-1807.656122
-0.00692572,6.525834377
-0.005735058,600.3767626
-0.005042634,835.3068002
-0.004551404,939.7201502
-0.004029994,1063.711003
-0.003113204,1194.227691
-0.00181584,1357.37355
-0.000639192,1442.209397
0.000757639,1527.045244
0.002490057,1651.036097
0.005673788,1788.078619
0.007470747,1846.811129
0.009107316,1872.914466
0.007365294,528.5925845
0.005903021,-241.4558719
0.005385794,-469.8600751
0.00440808,-711.315947
0.003580697,-926.6684815
0.002623668,-1083.288507
0.001311497,-1220.331028
2.95053E-05,-1337.796047
-0.001608194,-1507.467741
-0.003365479,-1611.881091
-0.00503754,-1696.716938
-0.00747493,-1742.397779
-0.009377234,-1833.75946
-0.010022412,-1788.078619
-0.007617015,-84.83584689
-0.006712772,358.9208907
-0.005619089,711.315947
-0.004320596,1018.030163
-0.002397043,1266.011869
-0.000463995,1448.735232
0.001879241,1611.881091
0.004883027,1775.02695
0.006134274,1801.130288
0.008837399,1912.069472
0.010318891,1944.698644
0.011625184,1970.801982
0.012450872,1970.801982
0.009759056,117.4650188
0.008634065,-398.075897
0.008071852,-619.9542658
0.007329694,-815.7292971
0.00612705,-1024.555997
0.005305544,-1128.969347
0.004143703,-1239.908532
0.002851652,-1363.899385
0.001244697,-1442.209397
-0.001133465,-1592.303588
-0.002860571,-1677.139435
-0.004056774,-1703.242772
-0.00478243,-1709.768607
