panel zone shear distortion* (rad),panel zone shear force (kN)
0,0
0.002138148,1252.82389
-0.001730478,-1122.579823
0.002199433,1259.025989
-0.001843487,-1128.781921
0.002138148,1252.82389
-0.001795684,-1097.771429
0.001982976,1252.82389
0.002498015,1352.057466
0.003149106,1438.886844
0.003572459,1445.088943
0.001151896,-192.2650525
-0.000321411,-812.4748992
-0.001466218,-1085.367232
-0.002435011,-1277.632284
-0.003095663,-1370.663761
-0.003534217,-1420.280549
-0.003764156,-1401.674254
-0.000803791,384.530105
-0.000174507,725.6455207
0.000464821,905.5063763
0.00099114,1079.165133
0.001563543,1215.6113
0.00243281,1376.86586
0.002810079,1420.280549
0.003605062,1432.684746
0.003601624,1296.23858
0.001151896,-192.2650525
0.00023359,-620.2098468
-0.000438341,-787.6665054
-0.001376251,-1060.558838
-0.002180312,-1246.621792
-0.002850523,-1345.855367
-0.003495974,-1395.472155
-0.003881085,-1376.86586
-0.001125416,310.1049234
0.00019492,831.0811946
0.001444894,1172.19661
0.002239394,1352.057466
0.003139545,1432.684746
0.003806319,1395.472155
0.000712106,-477.561582
-8.75513E-05,-862.091687
-0.000533464,-1017.144149
-0.000941134,-1147.388216
-0.001385328,-1234.217595
-0.001852564,-1302.440678
-0.002375446,-1339.653269
-0.003246914,-1401.674254
-0.003844562,-1420.280549
-0.000323557,595.4014529
0.000717318,1035.750444
0.002281558,1345.855367
0.003135624,1463.695238
0.003748472,1525.716223
0.004206148,1587.737208
0.005010692,1606.343503
0.005872599,1662.162389
0.006945325,1686.970783
0.008196265,1693.172882
0.008813034,1724.183374
0.009533251,1755.193866
0.00989532,1755.193866
0.009864919,1668.364488
0.009815397,1569.130912
0.006207863,-334.9133172
0.005511171,-551.9867636
0.00483924,-719.4434222
0.004021698,-880.6979824
0.002775162,-1085.367232
0.001695078,-1215.6113
0.000201201,-1345.855367
-0.001428728,-1463.695238
-0.00322731,-1556.726715
-0.005746109,-1680.768685
-0.007529491,-1730.385472
-0.00877651,-1767.598063
-0.009952684,-1792.406457
-0.010573373,-1792.406457
-0.008215813,-229.4776433
-0.006853797,452.7531881
-0.006105381,669.8266345
-0.005291759,862.091687
-0.004596786,1010.94205
-0.003733159,1134.98402
-0.002568748,1252.82389
-0.001352613,1370.663761
-0.000103875,1476.099435
0.001600819,1575.333011
0.003276832,1655.960291
0.005912561,1755.193866
0.007921961,1817.214851
0.009498446,1866.831639
0.009883557,1848.225343
0.006314749,-198.467151
0.005072617,-601.6035513
0.004239874,-806.2728008
0.003091146,-1048.154641
0.001756363,-1209.409201
0.000229883,-1327.249072
-0.00146133,-1451.291041
-0.003443767,-1562.928814
-0.005623539,-1668.364488
-0.007115698,-1730.385472
-0.008734346,-1773.800162
-0.010220865,-1798.608556
-0.010709424,-1780.00226
-0.008529596,-365.9238096
-0.00745832,161.2545602
-0.006388762,620.2098468
-0.005617304,818.6769977
-0.004328605,1017.144149
-0.002936457,1215.6113
-0.001659037,1339.653269
-0.000509827,1414.078451
0.000645024,1525.716223
0.004862878,1711.779177
0.007799391,1804.810654
0.009653618,1866.831639
0.009879636,1879.235836
0.009950965,1724.183374
0.010154423,1587.737208
0.009469977,1110.175626
0.00723574,-37.21259081
0.006223546,-458.9552866
0.005890642,-607.8056498
0.005214791,-744.2518161
0.004364645,-893.1021793
0.003585346,-1029.548346
0.001760283,-1240.419694
-0.000656786,-1432.684746
-0.003985769,-1612.545602
-0.007816793,-1748.991768
-0.010498607,-1811.012753
-0.010699864,-1773.800162
-0.008902461,-607.8056498
-0.00760565,99.23357548
-0.006465248,570.593059
-0.00516355,911.7084747
-0.003449778,1184.600807
-0.001578631,1358.259564
0.0026179,1631.151897
0.006368518,1748.991768
0.011013646,1910.246328
0.012764425,1972.267313
0.01369546,1972.267313
0.014348752,1959.863116
0.014515687,1866.831639
0.014493128,1717.981276
0.010935116,-86.82937855
0.010246266,-365.9238096
0.009653023,-582.9972559
0.00909018,-713.2413238
0.008088783,-893.1021793
0.006918733,-1048.154641
0.005951658,-1172.19661
0.004674238,-1296.23858
0.002691801,-1407.876352
-0.000175586,-1556.726715
-0.002594857,-1649.758192
-0.003418523,-1680.768685
-0.003809274,-1699.37498
-0.00564438,-1748.991768
-0.007469925,-1792.406457
