coordinate,residual_stress
402.984,22.3938223938224
390.632,6.94980694980695
382.912,-6.17760617760618
375.192,-17.7606177606178
365.928,-29.3436293436293
359.752,-34.7490347490347
352.032,-44.015444015444
344.312,-49.4208494208494
335.048,-52.5096525096525
325.784,-54.8262548262548
316.52,-53.2818532818533
310.344,-48.6486486486486
304.168,-47.8764478764479
294.904,-50.1930501930502
288.728,-52.5096525096525
279.464,-59.4594594594595
273.288,-59.4594594594595
264.024,-55.5984555984556
251.672,-50.1930501930502
237.776,-39.3822393822394
226.968,-29.3436293436293
213.072,-18.5328185328185
205.352,-10.8108108108108
197.632,-1.54440154440154
188.368,11.5830115830116
182.192,20.8494208494208
176.016,28.5714285714286
