coordinate,residual_stress
254.173228346457,114.623181818182
242.362204724409,121.245854545455
235.275590551181,123.2836
229.133858267717,120.736418181818
223.464566929134,109.019381818182
216.377952755906,48.9058909090909
213.070866141732,20.3774545454545
210.236220472441,-0.509436363636364
205.511811023622,-21.3963272727273
201.732283464567,-34.6416727272727
198.425196850394,-45.3398363636364
192.755905511811,-50.9436363636364
187.55905511811,-48.3964545454545
181.417322834646,-42.7926545454545
172.44094488189,-40.2454727272727
162.992125984252,-43.3020909090909
151.181102362205,-50.4342
141.259842519685,-58.5851818181818
133.700787401575,-63.6795454545455
128.503937007874,-65.7172909090909
123.307086614173,-61.6418
119.055118110236,-55.0191272727273
114.330708661417,-52.4719454545454
107.716535433071,-52.9813818181818
104.88188976378,-61.1323636363636
99.2125984251968,-76.9248909090909
94.0157480314961,-89.1513636363636
90.2362204724409,-92.7174181818182
85.0393700787402,-92.7174181818182
74.1732283464567,-86.6041818181818
64.7244094488189,-79.4720727272727
51.9685039370079,-65.2078545454545
45.3543307086614,-60.1134909090909
