coordinate,residual_stress
5.711538462,147.985348
18.01923077,133.3333333
19.55769231,98.16849817
19.55769231,60.07326007
21.09615385,30.76923077
19.55769231,-19.04761905
24.17307692,-57.14285714
41.09615385,-98.16849817
54.94230769,-127.4725275
74.94230769,-147.985348
90.32692308,-168.4981685
113.4038462,-186.0805861
147.25,-194.8717949
178.0192308,-200.7326007
201.0961538,-200.7326007
224.1730769,-194.8717949
244.1730769,-183.1501832
268.7884615,-159.7069597
284.1730769,-139.1941392
298.0192308,-121.6117216
305.7115385,-92.30769231
314.9423077,-51.28205128
319.5576923,-24.90842491
325.7115385,7.326007326
328.7884615,39.56043956
328.7884615,60.07326007
328.7884615,83.51648352
330.3269231,98.16849817
331.8653846,121.6117216
338.0192308,136.2637363
