rotation (rad),moment (kN.mm)
0.001971674,0.717099423
0.003073578,4.1269048680000004
0.021193777999999996,28.86244267
0.030498746,37.76261281
0.033682025,39.49641219
0.036130701,41.34579819
0.039558847,42.732837700000005
0.045435668,44.46663708
0.050577887,45.96926320000001
0.054985504000000004,46.89395621
0.058168782,47.00954283
0.059148253,44.81339695
0.059148253,42.38607782
0.058168782,39.61199882
0.048863814000000005,25.85719041
0.039558847,12.68031514
0.031723084,1.237239237
0.01898997,-15.06047492
0.01090934,-24.30740494
0.006256856,-29.6243897
0.002338975,-32.74522858
-0.002313509,-36.55958722
-0.007455728000000001,-39.79601272
-0.014801755,-43.26361148
-0.023127252999999997,-45.57534399
-0.031942486,-46.84679686
-0.039043645,-47.54031661
-0.047369142999999996,-47.88707649
-0.051287024,-48.11824974
-0.055449773,-48.23383637
-0.054960037999999996,-42.57009173
-0.033901426,-13.78902204
-0.025331061000000002,-1.190079893
-0.014516076000000001,12.75737289
-0.0039051479999999998,25.27925729
0.00507333,33.7556098
0.009358512,37.22320856
0.01445992,41.17241826
0.019153215,44.15840608
0.024050567000000002,46.18117202
0.031804707,49.16715984
0.038334508999999996,50.32302609
0.045068367000000005,50.80463703
0.052006282,50.80463703
0.05874014,50.90095921
0.059556365,47.9149714
0.057719858,42.52092888
0.046496761,26.14615698
0.036293946,12.56472851
0.027927637,1.295032549
0.014051807,-14.40548405
0.010378794,-18.6436603
0.004665217,-24.51931375
0.000584091,-28.56484564
-0.004721373,-32.8030219
-0.009006556,-36.55958722
-0.016148527,-40.89408566
-0.021658047000000003,-44.07271786
-0.029412187000000003,-47.15502786
-0.033085201,-48.21457193
-0.039002834,-48.79250505
-0.045532635999999994,-49.37043818
-0.05471517,-49.75572693
-0.055123282999999995,-43.49478473
-0.035941989,-15.27238374
-0.026963511000000003,-2.365210583
-0.015944471,11.79415101
-0.003292979,24.31603541
0.003236823,29.80640011
0.009970681,35.68205356
0.013643695,38.57171919
0.019153215,41.84667357
0.025887074,45.21795014
0.033233101,48.01129358
0.038742621,49.35980421
0.042619690999999994,50.41934828
0.04853732400000001,51.38257015
0.057107689,51.47889234
0.06547399799999999,51.38257015
0.081186334,50.90095921
0.094449995,50.2267039
0.115059682,48.39658233
0.116692133,42.90621764
0.11628402,40.88345169
0.099959515,18.72934852
0.08649179900000001,1.1987103609999998
0.070575406,-17.19882749
0.05874014,-29.23910095
0.052414394,-34.05521034
0.046088649,-38.77499753
0.040987241,-41.95362973
0.03384527,-45.03593973
0.024458679,-48.79250505
0.015480202,-50.62262662
0.008338231,-51.87481506
0.0022165410000000003,-52.45274819
-0.004109204,-52.83803694
-0.010843063,-53.03068131
-0.018801259,-52.26010381
-0.02594323,-50.815271
-0.029412187000000003,-48.98514943
-0.037370383,-44.45800661
-0.042471790999999995,-40.99040785
-0.047369142999999996,-38.38970878
-0.056959789000000004,-33.95888815
-0.067570718,-30.10600064
-0.078793815,-26.92736845
-0.088180405,-24.51931375
-0.095934545,-22.78551438
-0.101240009,-21.8222925
-0.106545474,-20.85907062
-0.107565755,-19.31791562
-0.107565755,-17.1025053
-0.102260291,-9.782019036
-0.094506151,-0.631411205
-0.07858975900000001,15.35807195
-0.066958549,25.37557947
-0.061040915999999994,29.32478917
-0.055531395,32.31077699
-0.047981312000000005,35.77837575
-0.041655566,38.09010825
-0.034309539,39.63126325
-0.026759455,41.07609607
-0.016964752,40.97977388
-0.009822781,39.92022982
0.004461161,36.35630887
0.017928877,31.92548824
0.034457439,27.59098979
0.04323186,25.76086823
0.054659014000000006,23.83442447
0.065269942,22.0043029
0.076493039,20.55947009
0.088124249,19.01831509
0.096694614,18.05509321
0.109958275,16.51393821
0.115263739,15.743360699999998
0.11750835800000001,12.27576195
0.107713655,1.102388174
0.097714896,-8.144541845
0.090572925,-12.86432904
0.08649179900000001,-15.36870592
0.079961997,-17.29514968
0.075064645,-18.16204937
0.059760422,-18.54733812
0.019561328,-15.85031686
-0.003497035,-14.50180623
-0.030228412000000003,-12.86432904
-0.099607559,-8.915119347000001
-0.112667163,-8.048219657999999
-0.113075276,-5.832809341
-0.112667163,-4.099009962
-0.11042254300000001,-1.7872774569999998
-0.106137361,2.547220989
-0.099607559,8.230230064
-0.095934545,10.92725132
-0.09164936300000001,13.33530601
-0.086547955,14.78013883
-0.080834378,16.03232727
-0.074304576,16.51393821
-0.064509873,16.22497164
-0.016760696000000002,14.2022057
0.020785666,12.56472851
0.06445371700000001,10.44564038
0.10057168400000001,8.80816319
0.11587590800000001,8.133907876
