rotation (rad),moment (kN.mm)
4.71476e-05,0.00921997
0.003583215,9.034051024
0.011441143999999999,27.54602127
0.020346797,46.32718014
0.026240242999999996,55.19572572
0.031806276,62.90713675
0.038681963,69.26714775
0.044247996,73.31343531
0.048831788,76.01023277
0.055052647999999996,79.09146847
0.05701713,77.54662153
0.05701713,74.46020177
0.05701713,71.37378202
0.040973859,25.86246006
0.031806276,1.757445387
0.018054901,-31.79590995
0.007250249,-50.49832582
0.002993871,-56.86051958
-0.005191472,-67.0774639
-0.0130494,-75.36566871
-0.017305778,-79.22014642
-0.024836293,-84.03640185
-0.032694222,-87.30917457
-0.041861805,-90.19505343
-0.04939232,-92.11779035
-0.053648698,-92.50004584
-0.054958353,-90.95574458
-0.05561318,-85.93976679
-0.054958353,-83.2396952
-0.023526638,-2.247369777
-0.014359055,20.50733625
-0.010430090999999999,28.220111499999998
-0.00420923,41.71801386
0.003976112,55.60008164
0.007905076,63.69865935
0.015435591,72.95164318
0.019691969,79.1209357
0.025258002,84.13172944
0.031478862,87.40586638
0.041956099999999996,90.29065387
0.051123684,91.63332286
0.056362302999999996,91.62895734
0.057344544000000004,87.57721288
0.05701713,83.71946103
0.053742992999999996,74.46293022
0.03573524,26.83133174
0.025585416,1.8397899309999999
0.01301273,-29.16825135
0.002797423,-48.60418304
-0.005060505999999999,-59.47726439
-0.010430090999999999,-67.45890085
-0.015013882,-73.62792053
-0.022216984,-81.33796733
-0.028765257000000002,-87.31244871
-0.03433129,-90.58713133
-0.041861805,-92.89567072
-0.049719734,-93.66072738
-0.053648698,-93.27165078
-0.05561318,-90.18359395
-0.054630939,-87.29089397
-0.054958353,-81.31068285
-0.024836293,-4.3681919780000005
-0.01566871,18.38651405
-0.011739745,25.13478312
-0.005518885,39.40429043
0.002339043,52.12922364
0.007905076,60.61223960000001
0.014125936,69.09470987
0.021656451,77.38318753
0.026567657,81.62292201
0.032461103,85.66893673
0.044902824,90.28819826
0.057344544000000004,91.82104004
0.068149196,92.39073987
0.075679711,92.38446444
0.082882812,91.41395568
0.094997119,89.86065055
0.10547435699999999,87.92290717
0.111695217,86.76031571
0.112350045,78.85081941
0.112022631,73.64275892
0.104492116,52.42989855
0.08451988099999999,1.906418618
0.07142333299999999,-29.13976636
0.06323799,-43.02183413
0.058981612,-52.08464517
0.052760752,-60.37421421
0.048504374,-67.89381537
0.039991618,-76.95307943
0.032788517,-83.31281759
0.025258002,-89.09357920000001
0.017727487,-92.55952599
0.006922835,-96.79434928
-0.001262507,-98.52363927
-0.013376813999999999,-100.6354576
-0.018942847,-101.7882266
-0.032366808,-102.16284250000001
-0.048410079,-101.76367059999998
-0.074603175,-100.1986332
-0.08900937699999999,-99.02922058
-0.100468856,-96.70485620000001
-0.108654199,-94.38322027
-0.110618681,-88.59454616
-0.109963854,-83.38675852
-0.07722248400000001,-1.623919535
-0.064125936,27.4932531
-0.060196972,35.01312711
-0.053976112,44.46010355
-0.046445597000000005,56.02790219
-0.04055215,64.31774408
-0.03072974,73.95462046
-0.022544397,80.31354008
-0.014359055,84.93634859999999
-0.003554403,88.97827064
0.006595421,91.86333098
0.019364556,93.78170238
0.03213369,94.7355676
0.044902824,94.53202542
0.055707476,94.52302155
0.06880402299999999,93.93340405
0.08943108599999999,90.25109138
0.09958091,87.15621344
0.107766253,84.2558738
0.11267745800000001,82.12986755
0.11267745800000001,75.95702804
0.111695217,70.55661201
0.10285504699999999,47.608731899999995
0.085174708,4.220687743
0.072732988,-25.66863551
0.065529886,-40.51602799
0.05963644,-49.57747481
0.054725234000000005,-58.253937699999994
0.050141443,-63.65135244
0.043920583,-73.09832888
0.037372309,-80.80892137
0.028859553,-86.78176568
0.02067421,-91.21167295
0.011506627,-94.86915676
0.002339043,-97.56213439
-0.006501125999999999,-99.86958239
-0.018288019,-100.8242662
-0.026800775,-101.7816784
-0.037932841,-101.3865992
-0.048737493,-100.22018790000001
-0.058887317,-97.51111242
-0.070019383,-93.45090977
