rotation (rad),moment (kN.mm)
4.5970299999999996e-05,-0.176184623
0.007992958,14.44023253
0.020219092,29.11159404
0.023601656000000002,32.191652000000005
0.027473266,34.11551812
0.031752413,35.75014634
0.032363719,29.58511934
0.016062207,0.795638418
0.002613459,-20.96422211
-0.0034996090000000003,-27.79902748
-0.008390063,-32.70820309
-0.011650365,-34.92144277
-0.01633705,-36.84476623
-0.020819966000000002,-37.90132566
-0.025914189,-38.66851154
-0.032027256000000004,-39.24237471
-0.031619718,-33.55963697
-0.014706898999999999,-0.917675537
-0.004110915,18.14706304
0.005058685,30.66284252
0.008930295,35.57269646
0.011986828,39.03826024
0.014839593,40.57751593
0.023805425,42.01637948
0.033178795,42.58807202
0.033993871,36.32658716
0.01361698,0.893588587
0.002205921,-17.59267421
-0.002073226,-23.3691565
-0.005944835999999999,-28.95326576
-0.011039058000000001,-35.88507164
-0.013484285,-37.906209600000004
-0.015318206000000001,-39.34982143
-0.02000489,-40.69521177
-0.024487806,-41.27016026
-0.03121218,-41.16936113
-0.032231025,-35.678318100000006
-0.030804643,-32.01902463
-0.01266921,-1.015354375
-0.002073226,17.56777327
0.009134064,32.77921735
0.014635823999999999,39.22914097
0.018303665,42.11636463
0.021767736,43.26992457
0.026454421000000002,44.03738178
0.031956182,44.13004101
0.038476787,44.02937754
0.06333659400000001,42.27902702
0.06415166900000001,34.957998100000005
0.044182316,0.873238829
0.02299035,-31.2842627
0.017896127,-36.48226921
0.015450899999999998,-39.46662905
0.011783058999999999,-41.87224177
0.00791145,-43.50714132
0.0038360720000000003,-44.4676499
-3.55373e-05,-44.46507226
-0.0045184529999999995,-43.69151013
-0.009001369,-42.24369268
-0.011854133999999999,-40.79696056
-0.019189815,-35.30171191
-0.023061424,-31.63889115
-0.028155647000000002,-28.55318951
-0.03121218,-26.43206641
-0.036102634,-22.96121169
-0.043030777,-20.06693345
-0.048125,-18.23342025
-0.053830529,-16.68846663
-0.058517214000000005,-15.24051352
-0.06300013,-13.6000517
-0.064018975,-10.13177461
-0.06300013,-7.531753871
-0.058924752000000004,-1.369847159
-0.047921230999999995,16.0571429
-0.038344092,25.20137448
-0.035491327999999996,27.89649642
-0.032027256000000004,29.05005637
-0.027951878,28.37308775
-0.016948357,23.45333027
-0.007574986999999999,20.17213529
0.005466223,16.503209599999998
0.017488589,13.798184099999999
0.034808946,10.03008725
0.053351917,7.031753913999999
0.06415166900000001,5.001797725
0.06455920700000001,0.859672324
0.062521518,-1.5470257180000002
0.059057447,-3.3748409789999996
0.056000913,-4.7213166310000005
0.05090669,-6.259080008
0.043774778,-6.639620482000001
0.03603156,-5.960209896
0.02665819,-5.183391802
0.021767736,-4.5058805269999995
0.015247131,-3.634639556
