rotation (rad),moment (kN.mm)
-0.00021156599999999997,-0.1000077
0.01118751,17.78983609
0.017309198999999997,24.95213116
0.022206551,30.03468212
0.028573108,34.19156191
0.034449929,36.96172825
0.039837016,38.46076777
0.043265162,39.03641851
0.044652745,38.14933056
0.044652745,35.83759805
0.035674267,19.08351507
0.024043058,0.982687599
0.010371285,-18.08000319
0.003229314,-27.12953386
-0.003300488,-33.7714174
-0.009218121999999999,-38.10197601
-0.014115473,-39.92883703
-0.025950739,-42.42533424
-0.032480541,-43.4805309
-0.037377892999999995,-44.05520347
-0.044519864000000006,-44.821026
-0.04635637,-42.50807078
-0.043907695,-38.65681355
-0.020645275,-0.9140036029999999
-0.00432077,21.32555324
-0.000239644,26.71687863
0.0062901580000000006,33.74405092
0.011799678999999999,38.84545875
0.014860523,41.05883122
0.01894165,42.69359128
0.02445117,43.46050066
0.035062098,44.22401363
0.042000012999999996,44.89364983
0.044652745,44.79556151
0.044448689000000006,40.75016548
0.043020295,36.80190678
0.032409366,19.75994409
0.019961931000000002,0.88908254
0.007718551999999999,-15.3812158
0.002209032,-22.9870005
-0.01207491,-37.5221409
-0.017992543,-41.9490217
-0.022481782000000002,-43.67983223
-0.025950739,-44.73706674
-0.031052147000000002,-45.69689221
-0.034521104,-45.98354921
-0.040030625,-46.17252546
-0.045540145,-46.07253515
-0.045744202000000005,-39.42616835
-0.029623753,-14.20048782
-0.021665557000000002,-1.972868386
-0.005136995,20.07390823
-0.002688319,23.73252109
0.0036374259999999996,29.5076408
0.009351003,34.80155714
0.013228073,38.26657463
0.017105143,40.96101461
0.022614662999999997,43.94333431
0.028532296000000002,45.57687166
0.037306717999999996,46.34160734
0.048733871,46.52664376
0.05852857400000001,45.84586734
0.067915165,45.16536263
0.076281474,44.10024845
0.08199505,43.51851135
0.08872890900000001,42.45448402
0.09015730300000001,38.60064552
0.089545134,36.00035402
0.074853079,12.41119969
0.066894883,0.8578355679999999
0.051998772,-18.78197321
0.038939167999999996,-34.18482843
0.032409366,-40.05613447
0.028532296000000002,-43.03954102
0.023430889,-45.82948805
0.018125423999999998,-47.94504392
0.014248354,-48.90568452
0.008738834000000001,-49.86523828
0.004045539,-50.72901327
-0.001259925,-51.01444757
-0.0071775580000000005,-51.10682992
-0.012278966,-50.62182257
-0.016972261000000002,-50.13708693
-0.0214615,-48.97823184
-0.027175077000000002,-47.62591723
-0.041663075,-42.22222892
-0.048805046,-38.74987519
-0.053294285,-36.53147603
-0.059620031,-34.11920979
-0.064925495,-32.47820033
-0.072271522,-30.25789918
-0.07737293,-27.94277027
-0.082270282,-26.97628784
-0.08675952,-25.43214399
-0.090024421,-24.46674841
-0.090840647,-22.828727800000003
-0.090840647,-20.13170654
-0.089616309,-17.33917824
-0.077781043,-0.972285999
-0.07084312799999999,8.173702715
-0.061660594000000006,17.89613014
-0.059007862,20.59138526
-0.054722679,24.63406416
-0.050437497000000005,28.38777649
-0.045336089,31.94830103
-0.040030625,35.31604533
-0.034521104,37.14249877
-0.030439978,37.5250704
-0.02533857,37.04006305
-0.017380374,34.62670996
-0.011666797,32.40749566
-0.004524826,30.18733037
0.0060861019999999995,26.61634489
0.01118751,24.8791491
0.020574099999999998,21.69426751
0.027512015,19.76320464
0.039143225,16.865795199999997
0.045264914,15.60953106
0.054651504000000004,13.96580448
0.06383403900000001,12.80382469
0.069955728,11.64388274
0.07811798,10.67522661
0.08260721900000001,10.09430464
0.087912683,9.320194876
0.08872890900000001,3.829286752
0.083423445,-2.4281231830000003
0.074853079,-10.80244754
0.07097601,-13.78585409
0.066282714,-16.865039399999997
0.061997532,-18.78863017
0.05852857400000001,-19.46057592
0.054855561,-19.93974145
0.047509534000000006,-19.64588405
0.036898605,-19.25353077
-0.026154795,-13.33589769
-0.088596027,-7.707638748
-0.09063659,-5.972480806
-0.090840647,-4.045901195
-0.08920819599999999,-2.120544293
-0.085943295,1.5375251380000001
-0.082678394,3.654439565
-0.080025662,5.675439373
-0.076760761,7.888675987999999
-0.073903973,8.946318063
-0.069822846,9.714178436000001
-0.06553766400000001,9.615003264
-0.053906454000000006,8.547715385
0.010575341,4.5555750669999995
0.064650264,0.955652176
