rotation (rad),moment (kN.mm)
-0.00006            -0.91949,
0.00188            18.82572,
0.00452            36.51870,
0.00723            52.50960,
0.00894            64.49847,
0.01114            79.54132,
0.00913            54.59631,
0.00143            3.31303,
-0.00125            -14.47007,
-0.00452            -31.81288,
-0.00694            -45.82789,
-0.00906            -59.43560,
-0.01047            -66.93880,
-0.00976            -57.38336,
-0.00813            -42.12381,
-0.00586            -27.52815,
-0.00325            -11.18019,
-0.00221            -4.89198,
-0.00054            4.81072,
0.00177            19.18278,
0.00444            35.08356,
0.00653            47.97370,
0.00865            60.32653,
0.00987            68.32025,
0.01114            76.71783,
0.01069            69.04817,
0.00958            56.30528,
0.00712            39.69038,
0.00575            30.70870,
0.00415            20.55882,
0.00247            9.91496,
0.00106            1.78432,
-0.00084            -9.71402,
-0.00258            -19.91069,
-0.00430            -29.07607,
-0.00604            -39.90019,
-0.00798            -50.86121,
-0.00924            -59.88623,
-0.01040            -64.87622,
-0.00995            -57.20655,
-0.00854            -44.99754,
-0.00716            -34.44725,
-0.00526            -23.26263,
-0.00318            -10.68621,
-0.00154            -2.64225,
0.00046            10.69508,
0.00292            25.74137,
0.00452            36.20498,
0.00671            48.42434,
0.00820            57.99012,
0.00932            64.14486,
0.01043            71.24076,
0.01103            73.93768,
0.01077            69.22842,
0.00965            56.79926,
0.00828            48.13130,
0.00623            34.07640,
0.00430            22.48793,
0.00247            9.60124,
-0.00020            -5.04465,
-0.00203            -15.73530,
-0.00366            -24.09298,
-0.00545            -35.32094,
-0.00735            -46.19184,
-0.00880            -55.35378,
-0.01040            -63.62133,
-0.01006            -56.84949,
-0.00857            -44.77394,
-0.00642            -30.44866,
-0.00441            -18.67994,
-0.00247            -7.09147,
-0.00061            4.00302,
0.00099            14.78035,
0.00392            32.25318,
0.00604            45.23344,
0.00783            55.52024,
0.00958            63.83459,
0.01110            71.29445,
0.00984            56.93617,
0.00805            41.31612,
0.00619            30.22162,
0.00441            18.05250,
0.00195            3.00620,
-0.00009            -10.42125,
-0.00299            -27.17651,
-0.00489            -38.98857,
-0.00671            -47.48317,
-0.00872            -57.05585,
-0.00995            -62.85353,
-0.01043            -63.08402,
-0.01017            -57.11987,
-0.00824            -40.82559,
-0.00638            -29.10365,
-0.00392            -15.31224,
-0.00244            -6.06018,
