rotation (rad),moment (kN.mm)
0.001114637,0.32752391399999997
0.0047876509999999995,7.029102762000001
0.013847751,18.92849314
0.018745103,24.12663072
0.022907851,28.51615101
0.027805202999999997,31.98048921
0.032702554,34.86689429
0.038334508999999996,36.82811728
0.044945933,38.32634166
0.05033302,38.78510156
0.053761166,39.12957904
0.054495769000000006,37.27970396
0.054740635999999995,34.8522218
0.054250901,33.11874848
0.041028052,14.74927856
0.031723084,1.347425081
0.023887322000000002,-8.125461303
0.017520765,-16.21228635
0.011643943,-22.91239795
0.006256856,-28.34138273
0.003318445,-30.99791878
-0.0028032440000000003,-35.03937497
-0.006721125,-37.34849903
-0.01333255,-39.42465654
-0.022147782,-40.80582704
-0.032432221000000004,-41.83925951
-0.038798778,-42.06619404
-0.044675599,-42.06228137
-0.052021627,-41.82621729
-0.052511362,-38.82063898
-0.052021627,-36.74040578
-0.026555399,-1.156680087
-0.01431202,15.01729606
-0.007170049,22.101854100000004
-0.002884867,26.33717738
0.0022165410000000003,31.535179100000004
0.007930118,36.05851795
0.011399075,38.65690746
0.016296427,41.54331253
0.020785666,43.17780088
0.02772358,44.42537021
0.034049326,44.61380303
0.042415635,44.800877299999996
0.049557606,44.50715576
0.054250901,44.215064500000004
0.054454957000000005,42.67377364
0.05486307,40.5544138
0.05343467599999999,36.12454416
0.037518283,14.94425966
0.026907355,0.984606979
0.019561328,-8.064787835
0.008134174000000001,-20.77170865
0.00507333,-24.33359175
0.003032767,-26.5476435
0.000584091,-28.85774573
-0.003292979,-31.93747447
-0.011047119,-37.615321
-0.01655664,-40.88660726
-0.020433708999999998,-42.42518099
-0.025331061000000002,-43.57778669
-0.030840581000000002,-44.72998482
-0.036350102,-44.91896107
-0.040023115,-44.91651566
-0.051246213,-44.33111043
-0.052470551,-42.88546247
-0.052470551,-40.47740778
-0.052878663,-37.49114825
-0.043900185,-26.90168528
-0.024514836,-1.4855340890000002
-0.012271457,14.78476425
-0.008190331,17.86435713
-0.004313261,22.09995211
0.002012485,28.54932714
0.00670578,32.39908995
0.014868033000000001,38.84724227
0.020948911,42.15667701
0.026825732999999997,44.92684335
0.034661495,46.07749272
0.042497257000000004,46.41903571
0.053516298,45.25583321
0.06331100099999999,43.63109935
0.072371102,42.23802782
0.084859348,39.34004778
0.09342971300000001,37.60054243
0.09734759400000001,35.74854798
0.103959019,33.31682711
0.10469362199999999,29.27080614
0.104203887,25.91912006
0.104203887,23.95414743
0.10224494599999999,21.06578603
0.087063156,1.079407575
0.076778718,-11.51268741
0.069677558,-19.71461
0.060127723,-30.34222145
0.052291961,-37.15661545
0.044456197999999995,-43.04631645
0.038579376,-46.39441592
0.032702554,-48.35547588
0.026335997000000003,-49.73827667
0.01898997,-49.96455909
0.013602883999999999,-50.076559100000004
0.007970929,-49.03252984
0.002338975,-47.75732732
-0.004027582,-44.86342297
-0.009904404,-41.04515168
-0.016760696000000002,-36.53270852
-0.020678577,-33.40926119
-0.025086193,-31.44135407
-0.02949381,-29.47344694
-0.035370632,-27.38897502
-0.038798778,-26.346413000000002
-0.048593480999999994,-23.56581289
-0.056918977999999995,-21.942057199999997
-0.065734211,-20.43356207
-0.074304576,-18.5784701
-0.08973123300000001,-15.79412035
-0.10001567199999999,-14.05347381
-0.100995142,-10.93198282
-0.10050540699999999,-8.620576368
-0.094628585,-0.995771766
-0.085813352,8.823222383
-0.082140339,12.86630885
-0.077487855,16.44639671
-0.0718559,20.48817895
-0.066958549,24.76162353
-0.060591992000000004,28.68733007
-0.056429243,30.18718473
-0.051531892,30.41509743
-0.045899937,29.60224141
-0.035860367000000004,27.3994114
-0.024106722999999997,24.03957394
-0.011618477,21.37276715
0.004053048,18.58825437
0.023887322000000002,15.80097012
0.052536828,11.96753725
0.077268453,8.714645948
0.096368124,5.465504282
0.103224416,4.0739000039999995
0.104448754,0.8366593590000001
0.104203887,-1.4749101180000002
0.100286005,-4.824313807
0.09440918400000001,-7.941240025
0.08853236199999999,-10.71140637
0.08363501,-11.63283881
0.079472261,-12.3235871
0.071881367,-12.31853324
0.06208666400000001,-12.08083888
0.031478217,-9.979901165
0.002338975,-7.764354992
-0.020188842,-5.090864064
-0.054470302000000005,-1.369268182
