rotation (rad),moment (kN.m)
0.0034141,97.076
0.0034499,97.835
0.0034902,99.976
0.0035029,99.783
0.0035168,99.57
0.003592,102.64
0.0037176,104.03
0.0037212,103.47
0.003743,105.83
0.0037886,105.25
0.0038364,106.88
0.0039981,111.87
0.0040102,112.96
0.0040484,112.35
0.0041375,113.99
0.0041555,114.68
0.0041551,115.14
0.0043878,119
0.0044077,119.42
0.0044224,119.8
0.0044775,122.94
0.0044989,122.78
0.0045493,124.52
0.004741,128.43
0.0047811,128.82
0.004808,129.12
0.0048945,131.35
0.0049152,130.34
0.0049277,132.26
0.0050943,136.11
0.0051104,134.86
0.0051003,135.39
0.0052332,137.18
0.0052265,138.32
0.0052702,140.31
0.0053945,142.46
0.0054663,143.12
0.0055124,144.44
0.0055237,144.85
0.005536,145.38
0.0057332,150.04
0.0057772,148.24
0.0057847,147.93
0.0058577,151.66
0.0059022,150.65
0.0059208,152.3
0.0060472,157.65
0.0061467,157.46
0.0061721,158.23
0.0062672,158.92
0.0062908,159.23
0.0063027,161.37
0.0065158,164.32
0.0065427,163.4
0.0065447,164.59
0.0066371,165.77
0.0066698,167
0.0067773,170.81
0.0068361,170.91
0.0069057,171.35
0.0069238,172.07
0.0069448,172.24
0.006958,172.94
0.0070903,176.23
0.0071665,175.93
0.0072062,175.97
0.0072158,178
0.0072405,177.67
0.0073274,178.85
0.0074948,182.4
0.0075134,182.75
0.007587,183.33
0.007613,183.63
0.0076295,183.14
0.0076819,183.76
0.0077654,188.9
0.0079105,188.71
0.007937,188.6
0.0080087,190.67
0.0080457,191.05
0.0080906,192.74
0.008276,195.34
0.0083002,195.56
0.0083559,196.69
0.008416,195.58
0.0084242,196.29
0.0084517,198.91
0.0086019,199.32
0.008643,199.59
0.008651,200.03
0.0087295,200.04
0.008774,201.8
0.0088235,203.75
0.0089664,205.66
0.0090062,205.73
0.0091159,206.9
0.0091342,206.32
0.0091247,206.86
0.0092526,210.91
0.0093823,210.62
0.0093899,209.42
0.00945,212.56
0.0094876,212.24
0.0095428,213.69
0.0097521,217.23
0.009787,216.05
0.0098208,217.3
0.0099257,216.96
0.0099198,216.79
0.0099255,218.03
0.010071,220.16
0.010129,219.98
0.010152,220.3
0.010197,220.91
0.01025,222.17
0.010386,226.48
0.010458,225.4
0.010471,226.19
0.010606,226.97
0.010603,225.93
0.010613,226.07
0.010753,230.53
0.010841,229.91
0.010843,228.69
0.010925,230.02
0.010974,230.1
0.010996,231.02
0.011088,233.58
0.011229,234.21
0.011264,234.76
0.01135,235.31
0.011373,234.77
0.011388,235.82
0.011557,238.05
0.011621,237.7
0.011631,237.73
0.011721,238.73
0.011749,239.3
0.011767,240.22
0.011958,243.3
0.011995,242.48
0.012029,243.74
0.012107,242.17
0.01212,242.55
0.012133,243.97
0.012338,245.65
0.01235,244.93
0.012365,244.34
0.012482,245.26
0.01249,246.82
0.012588,249
0.012768,250.7
0.012768,249.29
0.012883,250.22
0.012861,249.05
0.012884,247.48
0.013083,252.96
0.013083,251.55
0.013137,251.35
0.013208,252.25
0.013231,252.79
0.013253,254.09
0.013432,255.69
0.013482,255.74
0.013506,257.58
0.013569,255.79
0.013597,255.97
0.013637,256.9
0.013849,258.7
0.01384,257.59
0.013868,257.76
0.013952,259.08
0.013983,259.3
0.014125,263.39
0.014218,263.24
0.014263,261.67
0.014348,263.46
0.014357,261.82
0.014379,260.34
0.014547,265.14
0.014587,264.45
0.014608,263.44
0.01463,263.77
0.014728,264.76
0.014741,265.38
0.014835,269.07
0.014985,269
0.014998,267.88
0.015124,268.7
0.015137,267.55
0.015148,266.29
0.015347,272.54
0.015377,270.67
0.015388,269.58
0.015462,270.35
0.015516,271.99
0.01555,273.07
0.01578,274
0.015816,273.47
0.015842,274.74
0.015859,273.34
0.015889,273.64
0.016041,277.89
0.016129,276.39
0.016165,275.92
0.016187,277.43
0.016285,277.01
0.016321,277.65
0.016559,280.25
0.016589,280.01
0.016582,278.66
0.016726,280.99
0.01673,281.03
0.016725,280.99
0.016879,282.32
0.016939,282.83
0.016938,282.83
0.016948,282.91
0.016949,282.92
0.016947,282.9
0.016944,282.88
0.016956,282.98
0.016958,283
0.016941,282.85
0.016938,282.83
0.016955,282.97
0.016953,282.96
0.016938,282.83
0.016965,283.06
0.016933,282.78
0.016967,283.08
0.016962,283.03
0.016942,282.86
0.016972,283.12
0.016942,282.86
0.016967,283.08
0.016949,282.92
0.01695,282.93
0.016945,282.89
0.016946,282.89
0.016963,283.04
0.016964,283.05
0.016928,282.74
0.016962,283.03
0.016956,282.98
0.016956,282.98
0.016959,283.01
0.016949,282.92
0.016963,283.04
0.016942,282.86
0.016956,282.98
0.016952,282.95
0.016957,282.99
0.016981,283.2
0.016954,282.96
0.017009,283.44
0.017014,283.48
0.017026,283.59
0.017042,283.72
0.017042,283.72
0.017107,284.29
0.017099,283.75
0.017092,283.53
0.017014,281.05
0.016949,278.99
0.016924,278.19
0.016728,271.97
0.016693,270.85
0.016643,269.27
0.016487,264.31
0.016384,261.04
0.016356,260.15
0.016196,255.06
0.016118,252.58
0.016033,249.88
0.015857,244.29
0.0158,242.48
0.015683,238.76
0.015564,234.98
0.015514,233.39
0.015356,228.37
0.015237,224.59
0.015161,222.18
0.014956,216.37
0.014894,215.39
0.014797,211.37
0.01458,205.87
0.014514,202.57
0.014438,201.58
0.014279,197.03
0.014187,193.37
0.014115,190.47
0.013919,185.1
0.0138,181.86
0.013775,180.16
0.013572,175.5
0.013464,172.01
0.013374,167.33
0.013195,163.97
0.013125,161.91
0.013055,158.43
0.012869,155.06
0.01277,151.9
0.012699,147.31
0.012513,142.35
0.012406,140.47
0.012245,135.88
0.012149,135
0.012055,130.67
0.011844,125
0.011724,121.02
0.011678,119.46
0.011462,114.64
0.011425,112.49
0.011331,109.07
0.011125,102.61
0.011029,100.66
0.010994,98.431
0.010814,93.487
0.010773,92.104
0.010695,88.612
0.010483,82.964
0.010381,80.061
0.010256,76.453
0.010064,71.458
0.0099974,69.523
0.0099334,65.647
0.0097233,59.691
0.0096283,57.22
0.0095861,53.868
0.009408,50.364
0.0093323,47.351
0.009239,43.391
0.0090806,40.195
0.0090043,37.982
0.008761,30.609
0.0086727,29.773
0.0085699,24.998
0.0082974,18.587
0.0082405,15.192
0.0081318,15.017
0.00797,8.9474
0.0079094,6.3768
0.0077948,3.3216
0.0076027,-1.3957
0.0074781,-3.5584
0.0074728,-5.3147
0.0072666,-9.2662
0.0071936,-13.261
0.0071055,-16.59
0.0068547,-21.112
0.0067783,-23.472
0.0067664,-25.333
0.0065209,-30.715
0.0064192,-33.382
0.0063757,-37.077
0.0061386,-40.957
0.0060451,-43.018
0.0059673,-48.072
0.0058655,-48.767
0.0057666,-51.8
0.0055605,-57.871
0.0054567,-59.566
0.0053557,-61.12
0.0052174,-67.241
0.0050904,-69.097
0.0049776,-72.396
0.0047221,-78.508
0.0045964,-81.374
0.0045511,-82.023
0.0043441,-84.984
0.0043167,-88.446
0.0042304,-89.924
0.0040311,-94.262
0.0039279,-95.387
0.003881,-97.687
0.003703,-100.14
0.0036147,-102.6
0.0035403,-105.01
0.0033157,-111.13
0.0031431,-113.18
0.0031057,-115.44
0.0028792,-117.69
0.0028136,-120.15
0.0027057,-124.56
0.0025453,-125.58
0.0024603,-125.46
0.0024094,-129.93
0.0023008,-130.72
0.0021984,-132.87
