rotation (rad),moment (kN.m)
0.000395,-9.6397917
-0.000416,-20.865493
-0.00093,-27.149627
-0.00135,-34.705301
-0.00192,-43.35638
-0.00233,-50.853087
-0.00263,-55.211816
-0.00319,-61.626071
-0.00347,-67.003921
-0.00388,-71.713537
-0.0043,-77.074339
-0.00493,-85.429984
-0.00518,-88.956952
-0.00558,-91.521075
-0.00582,-93.806011
-0.00609,-95.01077
-0.00619,-96.007729
-0.00645,-97.029747
-0.00671,-98.710084
-0.00696,-98.177893
-0.00706,-95.93758
-0.0072,-95.616763
-0.00734,-94.562494
-0.00734,-92.610753
-0.00733,-84.79001
-0.00613,-59.695218
-0.00583,-54.364193
-0.00558,-50.355879
-0.0053,-47.7223
-0.00479,-39.435229
-0.00375,-23.135654
-0.00337,-17.635479
-0.00313,-13.026713
-0.00232,-4.5780977
-0.00153,3.15112082
-0.000453,14.7230143
0.000365,27.2529539
0.00106,39.9255282
0.00204,54.2813678
0.00273,66.2388066
0.00354,78.030117
0.00419,85.8038891
0.00472,89.5806918
0.00522,94.1112226
0.00556,95.4403938
0.00594,97.4302762
0.00632,97.7495958
0.00633,96.1464046
0.00632,94.4449922
0.00644,93.2025694
0.00644,92.1484408
0.00629,81.4748941
0.00601,71.3741084
0.00573,63.8581239
0.00559,56.8938095
0.00519,49.3797363
0.00411,30.6065822
0.00384,26.8352803
0.00344,22.3299493
0.00302,18.7286505
0.00275,15.41316
0.00221,10.4097882
0.000966,1.36487859
0.000162,-3.5492886
-0.000393,-8.1100568
-0.000651,-11.019286
-0.00132,-14.522523
-0.00168,-18.733831
-0.0021,-24.106031
-0.00261,-30.586594
-0.00299,-35.803695
-0.0034,-40.121093
-0.0038,-47.306295
-0.00419,-51.563777
-0.00458,-58.4551
-0.00495,-62.982798
-0.00536,-68.295356
-0.00563,-73.503167
-0.00604,-78.757641
-0.00635,-82.74192
-0.00663,-87.640367
-0.00693,-90.837498
-0.00735,-93.536206
-0.00762,-93.6884
-0.00774,-93.467039
-0.00786,-91.395481
-0.00798,-86.99663
-0.00808,-84.510701
-0.00806,-80.530004
-0.00804,-75.814031
-0.00818,-71.926003
-0.00781,-48.752311
-0.00768,-45.1935
-0.00758,-41.060897
-0.00746,-37.101929
-0.00707,-30.840267
-0.00697,-29.565298
-0.00671,-25.359649
-0.00646,-22.997722
-0.0062,-20.516354
-0.00556,-14.71468
-0.00514,-11.688905
-0.00437,-7.7552658
-0.00326,-2.1863488
-0.00231,1.73605364
-0.00135,8.53440764
-0.000794,11.7617506
-0.000254,16.7758563
0.000133,23.9547477
0.000664,30.0301556
0.00201,49.2539945
0.00242,53.9821337
0.00269,59.4191504
0.00295,63.0209416
0.00337,68.4420741
0.00361,73.3159751
0.00418,81.8603127
0.00479,90.6246788
0.00508,96.0436096
0.00535,99.6649851
0.00583,105.552314
0.00628,105.713951
0.00643,106.830934
0.00656,105.764189
0.0067,105.021226
0.00671,101.782199
0.00684,100.111477
0.00696,87.8431262
0.00696,84.3769575
0.00696,79.6135846
0.00696,77.8665527
0.00696,77.004964
0.00696,76.1411655
0.00696,74.6236172
0.00695,73.3024839
0.00695,72.6499531
0.00669,56.1307567
0.0067,54.7766316
0.00655,50.8431204
0.00657,48.2126376
0.00629,44.3270839
0.00604,36.9940482
0.0059,33.6773566
0.00563,30.244334
0.00535,26.9237976
0.00493,21.0976134
0.00409,12.4345162
0.00382,10.3896998
0.00313,5.04735381
0.00285,3.61419776
0.00244,1.20739432
0.00201,-0.4449184
0.00173,-1.8785397
0.00131,-4.6407923
0.000625,-9.2724148
0.000208,-11.380234
-0.000193,-13.880767
-0.000453,-17.902639
-0.0011,-22.436238
-0.00141,-24.084447
-0.00166,-27.858863
-0.0027,-42.533063
-0.00375,-54.427003
-0.00467,-66.149356
-0.00561,-80.962024
-0.00648,-92.126548
-0.00719,-99.266667
-0.00746,-101.02671
-0.0076,-100.71426
-0.00784,-97.956761
-0.00783,-95.580329
-0.00809,-93.623054
-0.00807,-89.392979
-0.00805,-86.228744
-0.0082,-74.628797
-0.00722,-50.475754
-0.00657,-43.642594
-0.00591,-35.407057
-0.0054,-27.834935
-0.00404,-12.769709
-0.00339,-8.2875455
-0.00259,-3.0888917
-0.00206,-0.6817812
-0.00107,5.81935558
-0.000283,11.8384336
0.000263,16.4403093
0.00106,20.4804904
0.0031,34.4516249
0.00379,39.0788812
0.00448,43.3839587
0.00517,48.0137424
0.00584,51.7285663
0.00639,54.3919444
0.00762,61.3843115
0.0084,66.501049
0.00881,70.4028919
0.00935,74.5333036
0.0103,78.1610022
0.0111,85.1167731
0.0115,88.794393
0.012,91.7689524
0.0122,95.5560274
0.0125,100.740829
0.0128,102.826031
0.0132,107.150714
0.0132,108.58833
0.0135,111.092152
0.0136,112.676118
0.0136,112.868041
0.0137,113.318674
0.0137,113.752149
0.0137,114.443479
0.0138,114.890936
0.0136,107.035977
0.0133,103.64422
0.0131,99.626416
0.0129,95.0759563
0.0126,91.3138954
0.0124,84.8808815
0.0116,72.8139718
0.0108,59.035845
0.00987,43.6051068
0.00892,28.6919577
0.0077,13.6535225
0.00647,2.28630244
0.0058,-2.9422538
0.00523,-5.5672685
0.00371,-15.676644
0.00302,-20.678344
0.00247,-23.279628
0.000948,-36.059084
0.000236,-38.447247
-0.00114,-47.76673
-0.00186,-49.979531
-0.0034,-57.915747
-0.00465,-64.135148
-0.00549,-67.876304
-0.00621,-70.013105
-0.00733,-76.62862
-0.00816,-76.679777
-0.00929,-83.678574
-0.00984,-86.874904
-0.0102,-88.707323
-0.0109,-90.208483
-0.0115,-95.068086
-0.0122,-100.7604
-0.0126,-102.42917
-0.013,-104.05625
-0.0133,-108.16357
-0.0136,-110.16613
-0.0139,-111.02896
-0.0141,-114.58172
-0.0143,-117.60592
-0.0147,-122.11139
-0.0147,-121.69237
-0.0147,-121.67377
-0.0148,-117.82285
-0.0148,-116.58413
-0.0147,-114.55162
-0.0146,-111.6676
-0.0143,-103.73297
-0.0138,-95.345424
-0.0131,-85.180781
-0.0123,-71.000309
-0.0114,-58.504841
-0.0104,-45.304837
-0.0096,-32.474244
-0.00922,-29.134659
-0.00868,-22.863485
-0.00813,-17.981749
-0.00757,-12.761345
-0.00689,-7.4989678
-0.00607,-2.8762466
-0.00553,-0.2448949
-0.00417,9.00487692
-0.00349,12.5567929
-0.00197,25.1872514
-0.00126,29.1862683
-0.000458,33.2062196
0.00105,43.3441566
0.0016,44.5234578
0.00382,59.1785799
0.00589,69.3366923
0.00766,76.9491077
0.00932,87.1407665
0.0107,96.1589324
0.012,105.333161
0.0129,117.098499
0.0133,123.99888
0.0137,127.894668
0.0136,121.855821
0.0132,113.55314
0.0127,103.869918
0.0119,87.4878127
0.0106,65.3259297
0.00914,40.6423843
0.00739,16.4803046
0.00679,11.9916805
0.00636,7.10252621
0.00576,2.36354031
0.00463,-2.145563
0.0032,-10.98252
0.00234,-11.631253
0.00121,-20.304573
-3.67e-05,-26.168789
-0.000565,-33.296761
-0.00151,-41.864125
-0.00245,-55.518038
-0.00363,-70.248574
-0.00459,-82.864992
-0.00558,-95.981859
-0.00647,-104.14804
-0.00715,-108.30576
-0.00783,-105.82262
-0.00794,-96.05446
-0.00825,-83.76147
-0.00843,-71.193266
-0.00806,-53.998876
-0.00772,-43.039492
-0.00736,-33.149777
-0.00658,-23.659497
-0.00595,-17.684236
-0.005,-10.006182
-0.00216,2.63445628
-0.000916,10.5123519
0.00122,36.8425786
0.00219,47.6282995
0.0033,65.1990834
0.00418,79.015756
0.00511,89.4049773
0.00585,96.2664271
0.00657,93.31042
0.00712,87.2913389
0.00701,64.375543
0.00703,56.4448236
0.0069,44.2438313
0.00664,34.0197902
0.0061,23.8539002
0.00542,16.2486331
0.00455,9.93109041
0.00369,4.57245495
0.00269,-0.1400744
0.00156,-4.5796972
0.000441,-9.1475585
-0.000662,-17.927247
-0.00174,-25.059498
-0.00294,-39.358179
-0.00388,-52.93344
-0.00495,-67.026213
-0.00593,-78.426395
-0.00671,-84.887109
-0.0074,-88.542555
-0.00797,-81.17719
-0.00821,-73.70339
-0.00877,-64.87302
-0.0107,-67.640825
-0.0117,-64.310733
-0.0133,-62.296854
-0.0142,-59.112829
-0.0154,-49.955282
-0.0153,-42.118056
-0.0148,-34.420164
-0.0143,-29.388848
-0.0132,-20.919409
-0.0119,-10.413723
-0.0103,2.54217433
-0.00871,22.208544
-0.00678,43.6116183
-0.00471,72.980807
-0.00248,97.9518786
-0.000402,116.501164
0.0018,128.999428
0.00377,133.593785
0.00619,133.785157
0.00773,127.5351
0.00946,122.980258
0.0107,115.192173
0.0121,106.637297
0.0131,97.4769512
0.014,82.641741
0.0137,68.5134518
0.0133,61.4896687
0.0126,53.98724
0.0114,41.5826046
0.0103,28.9171782
0.00867,10.3138307
0.00679,-5.1523812
0.00505,-24.398275
0.00302,-50.085463
0.000812,-75.265403
-0.00122,-93.561743
-0.00354,-107.01178
-0.00548,-110.00773
-0.00744,-110.88897
-0.00944,-107.50399
-0.011,-98.495522
-0.0118,-81.699981
-0.0115,-48.313781
-0.0109,-36.219578
-0.0101,-27.349332
-0.00891,-16.384387
-0.00614,-3.2331417
-0.0045,4.22418381
-0.00285,12.8959462
-0.00107,26.611659
0.00183,58.8304106
0.00386,83.2286796
0.0053,95.8835498
0.0062,103.216468
0.00741,107.185395
0.00834,103.268386
0.00924,94.9263185
0.00972,79.8580257
0.0108,55.0846133
0.0112,43.4270772
0.0112,35.2949243
0.0109,23.8735148
0.0102,12.7118487
0.00979,10.6744636
0.00889,6.00335223
0.007,-0.2138405
0.00581,-3.0019771
0.00449,-8.7429169
0.00248,-14.128418
-0.000249,-29.402549
-0.00161,-37.168294
-0.00285,-52.608973
-0.00423,-67.677186
-0.00576,-81.716925
-0.00722,-93.500503
-0.00819,-97.604821
-0.00935,-97.304844
-0.0103,-92.46718
-0.0112,-80.145885
-0.0117,-68.934786
-0.0121,-53.205559
-0.0126,-41.551107
-0.0129,-34.613365
-0.0128,-23.729164
-0.0128,-20.312951
-0.0118,-11.32733
-0.011,-8.124591
-0.0102,-5.6249219
-0.00927,-3.6549006
-0.00833,0.93890693
-0.00573,9.70756423
-0.00433,16.2983626
-0.00309,21.2749205
-0.00152,29.4737819
-0.000127,43.3890503
0.00112,52.3361939
0.00274,70.60012
0.00391,82.3832733
0.00542,93.9269192
0.00649,99.6163186
0.00759,97.0196426
0.00851,92.5600754
0.00945,82.9009366
0.0101,69.1126734
0.0106,55.7717812
0.0109,43.8093592
0.0111,30.6205046
0.0111,27.2812048
0.00675,0.98438777
0.00415,-7.8165832
0.00155,-15.992644
-0.00116,-25.789152
-0.00658,-37.59246
-0.00923,-44.540287
-0.0139,-58.944825
-0.0179,-72.388102
-0.0195,-78.49787
-0.0211,-83.896557
-0.0219,-91.112273
-0.0228,-97.373974
-0.0234,-98.046113
-0.0235,-91.849869
-0.0237,-83.043453
-0.023,-64.543706
-0.0221,-44.231556
-0.0209,-29.848679
-0.0198,-18.573517
-0.018,-9.0391187
-0.0161,0.05453805
-0.014,9.66680847
-0.0112,22.1415092
-0.00897,28.8339493
-0.00626,32.635953
-0.00112,44.2470052
0.00146,47.7003591
0.00418,54.8631957
0.00678,59.3470242
0.0117,68.8988279
0.0138,75.458633
0.0159,79.7102355
0.0175,88.7739518
0.019,94.120709
0.0201,100.144047
0.0211,104.011984
0.0216,104.597508
0.0217,104.248118
0.0212,74.1589102
0.0206,60.4570495
0.0194,30.7148228
0.0181,23.8473651
0.0155,4.75462079
0.0132,-3.9867318
0.0115,-6.4937999
0.00901,-14.084626
0.00332,-29.295728
0.00124,-31.023694
-0.00423,-40.782207
-0.00705,-48.252444
-0.00958,-50.935633
-0.0119,-56.609887
-0.0143,-61.341326
-0.0165,-66.612011
-0.0213,-79.760797
-0.0225,-86.688402
-0.0231,-86.381261
-0.0237,-86.140034
-0.024,-80.686564
-0.0238,-67.06235
-0.0231,-52.956771
-0.0225,-40.090452
-0.0211,-25.931194
-0.0195,-16.251485
-0.0179,-8.3956809
-0.016,-1.3246193
-0.0133,11.9904672
-0.0131,7.72424023
-0.0127,8.19165148
-0.0123,8.86275396
-0.0117,10.6471367
-0.0109,13.1759109
-0.00868,18.1346019
-0.00624,26.6253702
-0.00411,32.7755682
-0.0028,37.3461043
-0.00165,41.385377
7.92e-05,51.9520658
0.00172,60.5250537
0.00308,72.0419392
0.00464,79.8671928
0.0057,84.6961222
0.00697,84.0281524
0.00809,79.1894185
0.00936,67.0499449
0.01,58.013321
0.0106,48.185437
0.0111,40.6816315
0.0113,33.7769758
0.0113,27.9477016
0.0111,17.8161538
0.0108,14.4747871
0.0101,12.4385964
0.00939,9.38055484
0.00862,6.56382602
0.00757,3.09417959
0.00635,1.40824682
0.00515,-2.147671
0.00334,-9.3573256
0.00169,-12.10624
0.000213,-18.492845
-0.000387,-21.8503
-0.00111,-24.88784
-0.00181,-31.184379
-0.00402,-47.201197
-0.0056,-55.011387
-0.00678,-60.746644
-0.00811,-64.259389
-0.00975,-61.832948
-0.0108,-56.12122
-0.0116,-47.316002
-0.0127,-32.177915
-0.0133,-26.679273
-0.0132,-22.006928
-0.0132,-21.4653
-0.0131,-14.172118
-0.0129,-12.781165
-0.0124,-10.889304
-0.0117,-8.2791912
-0.0111,-6.5396082
-0.0101,-3.2666044
-0.00895,-0.9156651
-0.00667,4.73067681
-0.00452,10.7028759
-0.00306,18.8842186
-0.00231,21.7006843
-0.00113,27.1333182
-0.00087,31.5664729
0.000771,39.356137
0.00199,48.1327233
0.00425,61.1473881
0.00552,64.4679171
0.00692,67.9518802
0.00805,65.5421971
0.00899,59.4661541
0.00979,50.8752809
0.0106,44.9619022
0.0111,36.1129682
0.0114,29.7980295
0.0119,26.2027176
0.0131,28.4239151
0.0153,31.307131
0.0173,31.0724138
0.0197,34.1242392
0.0209,32.7024864
0.0218,32.0828685
0.0218,31.9585817
0.0223,31.1619249
0.0228,30.3535824
0.0223,21.2055416
0.0218,19.8351336
0.0209,15.3212125
0.0199,11.3962505
0.0183,4.41575077
0.0163,-4.7784126
0.0146,-13.252405
0.0123,-26.785268
0.00984,-40.803928
0.00718,-52.182626
0.00451,-60.165408
0.00168,-64.757694
-0.00125,-66.623801
-0.00125,-66.623801
-0.00395,-68.775059
-0.00708,-66.327316
-0.00962,-65.739166
-0.012,-59.151901
-0.0143,-56.397374
-0.0167,-54.266635
-0.0185,-49.515363
-0.0217,-44.990215
-0.023,-45.030127
-0.0239,-41.670788
-0.0244,-39.327551
-0.0242,-34.30315
-0.0232,-28.951794
-0.0222,-25.5142
-0.0207,-17.884139
-0.0194,-12.741962
-0.0174,-2.5291068
-0.0152,6.75125986
-0.0129,25.6735024
-0.0117,33.4162095
-0.00915,45.7654535
-0.00793,49.9887213
-0.00656,54.6378205
-0.00503,58.124421
-0.00365,60.9809782
-0.00213,63.4480986
-0.000761,63.2094353
0.000464,66.7770996
0.002,67.6403929
0.00336,67.7806127
0.00474,67.3418547
0.00626,67.9811335
0.00749,65.5799421
0.00868,63.73343
0.01,62.3037763
0.0114,60.3162217
0.0125,58.9862186
0.0136,56.5998583
0.0148,54.9924894
0.016,54.9096232
0.0161,49.4017303
0.0157,38.0669485
