rotation (rad),moment (kN.mm)
-0.089582026,40.54067709
-0.083369952,42.07353351
-0.073888366,41.0932247
-0.061137267,39.14296052
-0.05394434,37.9735649
-0.036942875,34.28010567
-0.024845679,31.55932639
0.016350178,23.77461725
0.047410546,17.7429117
0.075855304,11.52266426
0.10135750199999999,6.271827265
0.120647625,1.61004743
