panel zone shear distortion (rad),panel zone shear force (kN)
-1.49E-05,44.85837732
-2.52E-05,43.5142536
-1.49E-05,42.46645695
-2.48E-05,41.52460155
-1.57E-05,40.93679824
-2.41E-05,40.45267948
-1.68E-05,56.15994654
-1.71E-05,67.43741156
-6.82E-06,79.94240607
-4.61E-06,90.77300119
6.05E-06,103.6981236
3.88E-05,109.4648613
6.79E-05,133.7390842
0.000109061,152.9551327
0.000136651,188.8985172
0.000178959,211.8533069
0.000208388,238.2022835
0.00025474,272.0880306
0.000282331,300.3763804
0.000324636,330.2258258
0.000355906,356.5309019
0.000398207,393.5946871
0.000429848,420.57979
0.000466632,450.706139
0.000502689,481.7235299
0.000533588,518.0114074
0.000572953,547.7548935
0.000598335,577.0887495
0.000642479,607.9974406
0.000668966,644.7243224
0.000713847,674.5446515
0.000735184,701.58043
0.000777122,735.4428598
0.000803242,771.6778226
0.000844442,800.308413
0.000870564,828.5847204
0.000906245,863.027842
0.000937518,897.7333563
0.000972829,926.8068085
0.001006677,957.8583133
0.001037206,990.2995382
0.001073262,1025.580999
0.00110048,1054.488347
0.001139111,1089.396084
0.001162284,1119.318179
0.001210108,1152.445753
0.001232916,1184.277682
0.001271542,1220.327378
0.001294352,1249.480419
0.001330035,1282.480789
0.001356524,1312.129885
0.001374546,1329.031964
0.001375653,1330.432837
0.001373442,1329.780158
0.00137786,1328.898615
0.001371603,1327.660373
0.001379331,1326.085043
0.001369396,1325.359974
0.001380066,1324.883023
0.001368661,1324.300125
0.001378961,1323.563048
0.00136903,1322.744132
0.001377121,1321.74688
0.001371238,1320.749619
0.00137565,1318.379803
0.001360198,1294.362818
0.001338486,1257.302186
0.001311263,1225.16097
0.001277415,1190.616145
0.001253137,1152.092078
0.001215608,1114.505498
0.001190595,1082.461368
0.001150495,1052.304063
0.00112879,1017.089976
0.001087955,980.1108137
0.001068823,951.6655455
0.001029091,914.4402223
0.001004075,886.6700002
0.000963981,849.3267048
0.000933814,815.182505
0.000898868,783.6421259
0.000867227,756.2255655
0.000840006,716.4834758
0.000804317,689.3224817
0.000777832,650.7722361
0.000735158,623.9173548
0.000713086,586.9786163
0.00066894,556.3974985
0.000646501,526.2902808
0.000604562,494.8483805
0.000580649,456.47688
0.000537608,431.6549685
0.00051112,397.416984
0.000471024,366.2860006
0.000439016,333.0281216
0.000405172,303.7479936
0.000365073,272.4582655
0.000334541,242.1223902
0.000292968,211.1581249
0.000263542,181.0512268
0.00022344,150.4749355
0.000195115,119.8354444
0.000150969,94.82838851
0.000123381,61.37369182
8.11E-05,34.41755088
5.83E-05,9.456353032
2.00E-05,-22.28763486
-6.85E-06,-45.05461609
-4.03E-05,-68.0376343
-5.98E-05,-87.44466328
-6.72E-05,-103.9609347
-8.37E-05,-111.0338863
-9.18E-05,-123.1901874
-0.000106903,-136.2894939
-0.000100278,-149.6796751
-0.000114997,-167.1511607
