panel zone shear distortion* (rad),panel zone shear force (kN)
0,0
0.001633808,1078.324621
-0.001328347,-917.0798175
-0.001804411,-1022.89672
-0.00217697,-1098.480221
0.001502138,1214.374923
0.001828376,1426.008727
0.001965477,1441.125428
0.00106425,745.7572143
-0.000792291,-513.9678098
-0.001416222,-881.8075168
-0.001763047,-1032.97452
-0.002187358,-1123.674721
0.001365038,1199.258223
0.001794779,1441.125428
0.002053446,1461.281028
-0.001131254,-604.6680116
-0.001542934,-871.7297167
-0.001964814,-1053.13012
-0.002277853,-1108.558021
0.001774098,1446.164328
0.001807789,1486.475528
-0.001653828,-685.2904131
-0.002148141,-876.7686168
-0.002422532,-1017.857819
-0.002890922,-1174.063722
-0.003157451,-1254.686124
-0.003560985,-1294.997325
0.000371642,1053.13012
0.000951399,1300.036225
0.001360269,1436.086527
0.001580193,1486.475528
0.001787012,1436.086527
-0.001941417,-982.5855188
-0.002192505,-1108.558021
-0.002575452,-1209.336023
-0.002904026,-1274.841724
-0.003356692,-1310.114025
-0.003542735,-1209.336023
0.000159486,1007.780019
0.000951399,1300.036225
0.001869929,1526.786729
0.002421047,1662.837032
0.003016055,1753.537234
0.00355407,1788.809534
0.004112766,1819.042935
0.004989554,1834.159635
0.005687877,1844.237435
0.006466402,1869.431936
0.006973346,1884.548636
0.007456988,1884.548636
0.007741388,1829.120735
0.007756828,1783.770634
0.006130788,710.4849136
0.005022742,65.50570125
0.004220252,-362.8008069
0.003322309,-650.0181124
0.002670213,-851.5741163
0.002090645,-987.6244189
0.001477481,-1108.558021
0.000639342,-1209.336023
-0.00046261,-1315.152925
-0.001652532,-1441.125428
-0.002687197,-1521.747829
-0.003957226,-1607.409131
-0.005157346,-1647.720331
-0.0066808,-1713.226033
-0.007847324,-1768.653934
-0.008832763,-1798.887334
-0.009567303,-1814.004035
-0.010043082,-1753.537234
-0.010156786,-1698.109332
-0.007316669,15.11670029
-0.006237451,438.3843084
-0.00564478,675.2126129
-0.005158328,806.2240154
-0.004772761,927.1576177
-0.004120759,1073.285721
-0.002902293,1254.686124
-0.001673534,1405.853127
-0.000315536,1511.670029
0.001373562,1647.720331
0.003096162,1713.226033
0.004655833,1783.770634
0.005985286,1834.159635
0.006670695,1854.315235
0.007012089,1854.315235
0.005662965,886.8464169
0.005243422,559.3179107
0.004331997,-50.38900096
