Radial elongation [mm],Load [kN]
0.0,-0.0
0.00042558,13.48546875
0.00222734,25.708673828124
0.012500094,30.178966796876
0.023964054,32.653783203124
0.035358216,34.544371093752
0.046773388,36.0668828125
0.058170416,37.3479140625
0.069589152,38.456394531248
0.080944158,39.428457031248
0.092374086,40.299269531248
0.103727482,41.0775625
0.115141474,41.780550781247996
0.126674504,42.419074218752
0.138267696,42.997972656248
0.149955854,43.521957031248
0.161809578,43.9972734375
0.173854306,44.4280234375
0.186089114,44.817046875
0.198501856,45.166011718752
0.211094796,45.4771484375
0.223904088,45.7526328125
0.236938044,45.9940234375
0.250199764,46.202796875
0.263712078,46.379964843752
0.277486056,46.526488281248
0.291548878,46.642152343752
0.305874736,46.731269531247996
0.32049945,46.790949218752004
0.335363954,46.823125
0.350425928,46.8286015625
0.365679026,46.8081328125
0.38110149,46.7624140625
0.396683664,46.692140625
0.41243133,46.5979296875
0.428349584,46.480328125
0.444438308,46.339828125
0.460696816,46.176902343752
0.477137744,45.9919609375
0.493766904,45.7854453125
0.51058954,45.5579921875
0.527598382,45.310464843752
0.544789494,45.043761718752
0.562165796,44.758441406248
0.579711794,44.454925781248
0.597387254,44.134589843752
0.615166486,43.799800781248
0.633018374,43.452941406248
0.650891722,43.096527343752
0.668778658,42.732824218752
0.686703622,42.3629140625
0.70466894,41.987027343752004
0.722647846,41.6057578125
0.74060613,41.220371093752
0.75853175,40.831933593752
0.776432156,40.440628906248
0.79431963,40.045847656248
0.812173902,39.647171875
0.829937636,39.2454765625
0.847583532,38.842457031247996
0.86515206,38.4393203125
0.882703424,38.036292968752
0.90028882,37.632863281248
0.917925418,37.228269531247996
0.935584664,36.822394531248
0.953219772,36.4161484375
0.9708125,36.0105546875
0.988367378,35.606394531248
1.005900264,35.203875
1.023426532,34.802558593752
1.04097271,34.401496093752
1.058535456,33.9997890625
1.076083064,33.597125
1.09357977,33.1942265625
1.110961794,32.792480468752004
1.128184796,32.393082031248
1.145270706,31.996455078124
1.162262678,31.602535156248
1.179183006,31.2107421875
1.196054698,30.820361328124
1.212888836,30.430822265624
1.229688048,30.042017578124
1.24645102,29.654390625
1.26304257,29.268390625
1.279500722,28.884384765624
1.29587686,28.502824218752
1.312223554,28.123845703124
1.328573108,27.747384765624
1.344930768,27.373291015623998
1.36128366,27.001488281247997
1.377618552,26.632134765624
1.393919706,26.265556640624
1.410145522,25.902111328124
1.426252484,25.542074218752
1.442218662,25.185513671876002
1.458111406,24.832308593752
1.473936676,24.482265625
1.489691854,24.135169921876
1.505375982,23.790705078124
1.520987154,23.4485234375
1.53652513,23.108279296876
