,e_true,Sigma_true
0,-2.64e-05,0.088636372
540,5.1e-05,19.79878853
559,0.0001431,38.88948574
579,0.0002401,58.88265227
598,0.0003299,77.90392876
617,0.0004238,96.91132111
637,0.0005208,116.8211828
665,0.0006165,136.7588127
672,0.0007141,156.6964427
679,0.0008096,176.3008532
686,0.0009049,195.738654
693,0.001001,214.9126561
700,0.001096,233.9339326
707,0.001192,252.6219896
715,0.001304,273.184406
723,0.001419,291.9696521
753,0.00196,342.0636416
779,0.002511,365.6528013
781,0.002571,365.8749476
785,0.002729,360.210217
790,0.002685,342.5079342
829,0.002852,347.714488
880,0.003972,346.7425979
910,0.00544,347.3812685
929,0.006505,345.0487324
971,0.008743,347.5201099
1008,0.009547,349.1862072
1048,0.01014,349.1306706
1081,0.01046,348.3531586
1134,0.01134,357.3084311
1241,0.01373,369.3737517
1466,0.01846,390.602607
1564,0.02051,398.9608613
1686,0.02305,408.70753
1921,0.02795,425.3268497
2145,0.03267,439.0443834
2388,0.03774,451.8594478
2668,0.04351,464.3551769
2670,0.04355,464.369061
2673,0.0439184,470.3828389
2703,0.0461242,473.5995173
2708,0.0462151,474.1372501
2710,0.0465405,474.4849091
2725,0.0473757,476.2883205
2735,0.0482715,477.4189063
2800,0.0525749,484.6800356
2849,0.0561307,489.5525369
2852,0.0561529,489.9101924
2886,0.0588963,492.8793165
2896,0.0592154,493.8196895
2927,0.0614397,496.4886384
3004,0.0669559,502.3516345
3074,0.0718902,507.1315286
3161,0.078318,511.9489098
3248,0.0848931,516.1185958
3324,0.0905681,519.0725861
3398,0.0963398,521.7413962
3490,0.1037489,524.4053468
3628,0.114797,527.111644
3739,0.1241584,528.7274806
3867,0.1352452,529.8955536
4007,0.147604,530.3808044
4009,0.1478071,530.2608454
4171,0.1631224,529.6704916
4314,0.1773923,527.9746824
4316,0.1775691,527.8195965
4333,0.1777541,511.5962526
4341,0.1776794,509.7828446
4343,0.1775089,509.3702078
4373,0.1775521,505.8933407
4395,0.1777594,504.505204
4398,0.177552,504.1725399
4421,0.1770209,404.8546802
4426,0.1771206,402.5760146
4432,0.1768735,402.6259975
4446,0.1770204,403.0287765
4448,0.1768971,402.9411676
4454,0.1770958,402.6160009
4468,0.1769208,400.3673251
4473,0.1771027,398.7941128
4480,0.1769424,397.2307582
4498,0.1769973,392.0957078
4502,0.1768429,391.5804672
4526,0.1769505,389.6444623
4583,0.17695,393.5764517
4595,0.1770316,393.2862731
4600,0.1768333,393.2287927
4602,0.1769707,393.1461821
4616,0.176786,392.325768
4628,0.1770618,391.2151754
4631,0.1767678,390.9776177
4635,0.1769123,390.477372
4656,0.1769098,388.4963824
4669,0.1769616,388.8690328
4673,0.1766681,388.9190158
4677,0.176918,388.9291512
4708,0.1770018,389.9070114
4725,0.1767379,390.3647716
4755,0.1769985,390.3447785
4761,0.1766402,390.3047921
4798,0.1770262,389.9246443
4811,0.1766678,389.9020131
4844,0.1770813,389.9571332
4849,0.1767664,390.0096152
4862,0.1769785,390.2021883
4913,0.1767471,390.3322827
4922,0.1769554,390.2296789
4945,0.1767918,390.1996892
5008,0.1768748,390.5248558
5014,0.1766855,390.4073959
5024,0.17689,390.4898678
5028,0.1768649,390.4473823
5030,0.1779904,525.2357574
5032,0.1778523,500.3605095
5037,0.1778593,491.1358846
5042,0.177679,490.2979765
5047,0.1777855,490.1328941
5049,0.1776494,490.1928736
5069,0.1778273,489.3174783
5078,0.1776376,488.8947062
5081,0.1778132,488.8697147
5109,0.1776338,488.1619011
5145,0.1778106,487.5440567
5169,0.1776575,487.3814734
5204,0.177838,487.2113926
5239,0.1777014,487.0887956
5247,0.177863,486.9012209
5253,0.1776827,486.9362089
5284,0.1778915,486.8086136
5314,0.1776009,486.6385329
5325,0.1779133,486.5535619
5328,0.1777959,486.5735551
5334,0.1779929,524.9230865
5336,0.1782302,528.4248063
5339,0.1785969,529.5828827
5345,0.1792269,529.5104075
5418,0.186906,527.216747
5480,0.193746,524.2277686
5531,0.1993587,520.2806454
5566,0.2033023,516.6063457
5618,0.2090417,509.3877019
5661,0.2139139,502.1239346
5664,0.2139832,501.5612102
5693,0.2174747,495.8108145
5743,0.2231248,484.7001676
5776,0.2268353,476.3634337
5825,0.2324507,462.4537434
5842,0.2344517,456.9335468
5892,0.2401818,439.7072124
5941,0.2457499,419.7345944
5979,0.2501304,401.6155096
5996,0.2520756,392.273286
5997,0.2521934,391.6854313
5999,0.2524042,386.760448
6000,0.2562772,-4.4258484
6002,0.2565488,-0.746550392
