,strain_eng,Stress_eng
0,4e-06,0.012860557
2,1.65e-05,0.041004673
495,-8.48e-05,-21.84430769
497,-8.6e-05,-21.84430769
647,0.0001293,22.55257023
669,0.0002369,44.65781675
691,0.0003434,66.78170176
714,0.0004554,89.91206511
736,0.0005631,112.0359501
760,0.0006741,135.0544825
768,0.0007827,157.5884143
776,0.0008888,179.6004684
784,0.0009938,201.2397527
793,0.00111,225.0970171
801,0.001211,245.9162079
810,0.001323,268.9533788
819,0.001437,291.4686721
828,0.001551,313.2384258
838,0.001682,336.1637658
885,0.0025,409.5062153
886,0.002523,409.841708
896,0.003144,398.0435453
910,0.003847,399.5346243
935,0.004838,398.8450002
962,0.006385,395.0241103
1050,0.01021,396.9065975
1070,0.0107,397.9876298
1102,0.01204,395.9746731
1128,0.01305,399.0127466
1152,0.01357,397.6148601
1167,0.01381,399.4600703
1194,0.01417,399.2736855
1214,0.01418,397.3352827
1258,0.01422,401.3984731
1277,0.01418,395.9001192
1378,0.01463,409.4689383
1637,0.02051,428.6479422
1873,0.02558,442.6268081
2182,0.03216,457.7612602
2469,0.03832,469.4662305
2755,0.04445,479.1396057
2762,0.0449587,484.3652785
2804,0.0482546,487.0514573
2956,0.0591793,499.5826718
3104,0.0703917,508.6184243
3192,0.0773018,512.89633
3342,0.08921,518.2049441
3603,0.1107014,523.72846
3851,0.1356359,525.9512861
4215,0.1712201,524.1213593
4471,0.1716611,491.4098813
4479,0.1717102,499.6464155
4664,0.1714686,494.8449546
4764,0.1717948,494.1667001
5330,0.1714042,490.5569841
5569,0.1717469,489.6403433
5826,0.1721268,520.639317
5832,0.1726664,527.3581191
5833,0.1727653,527.3581191
5869,0.1764829,525.34013
6015,0.192125,521.8547328
6109,0.2025921,516.895404
6177,0.2102067,509.9111898
6255,0.2190367,497.0610708
6291,0.2231531,489.5396955
6352,0.230071,474.1308848
6426,0.238492,450.2704519
6492,0.2461173,422.0720973
6554,0.253349,384.7470345
6558,0.2536985,381.6916272
6559,0.2572099,380.5095743
6562,0.2575712,-0.93155162
6563,0.2577972,-1.572901985
6566,0.2581627,0.623084647
6568,0.2583983,-0.35077634
6573,0.2588983,0.07567226
6575,0.2591194,-0.239877338
6577,0.2593664,0.052187766
6582,0.2599854,-0.139229504
6583,0.2601127,0.065607477
6586,0.2604216,-0.159359071
6587,0.2605341,0.01528356
6588,0.2606588,-0.199618204
6600,0.2609748,0.035413127
6618,0.2609015,-0.286846327
6631,0.2608695,0.005218777
6639,0.2609135,-0.233167482
6641,0.2609573,0.008573704
6648,0.2608636,-0.216392843
6649,0.2608678,0.042122982
6652,0.2608927,-0.12916472
