,strain_eng,Stress_eng
0,-1.8e-05,0.10426763
301,7.15e-05,25.17999508
326,0.0001893,50.1798361
350,0.0003018,74.12646874
375,0.0004202,99.04316173
406,0.0005363,123.6826946
415,0.0006626,150.2207742
423,0.0007713,173.0726244
432,0.0008912,198.4466316
441,0.001013,223.4048986
450,0.001133,247.6286913
460,0.001267,272.4899523
464,0.001323,281.5669456
472,0.00144,297.7946694
486,0.001665,321.8105921
503,0.001946,347.4756173
529,0.002391,372.1012922
538,0.002362,355.1945261
559,0.002378,357.578103
622,0.003238,357.4395229
653,0.004608,359.4627917
668,0.005025,354.5431999
700,0.005573,356.8574867
748,0.006282,354.972798
781,0.007728,356.7466227
807,0.009039,356.9267767
820,0.009501,355.3469642
867,0.01068,367.0985524
1137,0.0164,394.9808585
1334,0.0205,412.2756487
1412,0.02212,418.539467
1682,0.02777,437.912958
2031,0.03507,458.2703673
2216,0.03891,467.3196446
2413,0.043,475.8007436
2415,0.04305,475.8838917
2416,0.0438952,481.2386248
2418,0.0440301,481.2585803
2593,0.0561987,499.8878964
2720,0.0651684,510.2237509
2804,0.0712787,515.8858546
2932,0.0807282,522.8238648
3048,0.0894056,527.6447876
3168,0.0987283,531.3321255
3295,0.1088422,534.2481269
3424,0.1194472,536.2654367
3576,0.1323365,537.6883767
3755,0.148072,538.2651468
3845,0.1564068,537.9455812
4092,0.1805771,536.0157155
4095,0.1808331,533.4942515
4211,0.1809691,510.4683447
4378,0.1800031,385.2359094
4476,0.1799719,386.6490101
4486,0.1797704,386.6016158
4554,0.1799774,386.441833
4570,0.1798441,386.4518107
4572,0.1811674,533.0872419
4574,0.1809594,507.954364
5114,0.1809669,493.3494125
5157,0.1813736,534.2981543
5160,0.1815711,536.9369956
5166,0.1821609,537.6833878
5333,0.1997319,534.0434442
5396,0.2066266,531.8515235
5437,0.2111578,529.4148705
5479,0.2159651,525.8796935
5505,0.2188384,522.813887
5541,0.2229164,517.7832926
5586,0.22798,509.9640519
5637,0.2337751,499.5084643
5674,0.2380363,490.8553874
5710,0.2420864,481.4832186
5767,0.2486177,464.2919476
5830,0.255765,441.8253499
5867,0.2600515,426.319351
5897,0.2634918,411.9242097
5924,0.2665969,397.2519083
5926,0.2667982,395.9936015
5928,0.2670958,393.8615474
5929,0.2709142,-30.12439269
5931,0.2712446,-1.728786124
5932,0.271344,1.80140207
5933,0.2714422,1.117370943
