,e_true,Sigma_true
0,-2.67e-05,-0.168913044
3,2.72e-05,10.91183774
22,6.38e-05,19.01305061
721,1.3e-05,8.137034557
847,7.78e-05,21.63078946
869,0.0001792,43.56468552
891,0.0002838,65.40213857
913,0.0003891,87.22581405
936,0.0004997,110.0414748
963,0.0006004,130.873165
971,0.0007056,153.0826125
979,0.0008105,174.7960674
987,0.0009147,196.261526
996,0.00103,220.165615
1004,0.001132,241.2728567
1012,0.001234,262.0081039
1016,0.001284,272.2999509
1021,0.00135,284.8926525
1030,0.001469,306.7989934
1040,0.001611,329.0497737
1057,0.001889,357.9275665
1087,0.002384,389.4644308
1094,0.002462,392.2750557
1105,0.002706,393.9972523
1113,0.002939,394.97546
1118,0.003072,395.2372339
1128,0.003259,394.8376843
1138,0.003448,395.361232
1139,0.003475,395.3336769
1147,0.003782,394.8927946
1153,0.004062,394.8652394
1175,0.005053,395.6918938
1195,0.005854,397.3452025
1209,0.00618,397.5380886
1236,0.006684,399.1638422
1272,0.007425,401.1202575
1286,0.00784,401.8091362
1315,0.008758,402.2913512
1320,0.00888,402.5944578
1346,0.009528,404.8126471
1400,0.01049,410.3787865
1451,0.01147,415.3249352
1477,0.01206,417.8600086
1604,0.01493,429.6673886
1721,0.01746,439.297912
1802,0.0192,445.621818
1861,0.02048,450.0030862
1862,0.0205,450.1133068
1864,0.02055,450.2235273
2008,0.02366,460.1571574
2132,0.02629,467.6659346
2306,0.02987,476.9795739
2421,0.03233,482.6834891
2522,0.03452,487.3540863
2647,0.03724,492.6584519
2787,0.04025,497.9490399
2861,0.04185,500.5392236
2968,0.04428,504.0249495
2970,0.04433,504.1213925
2971,0.044878,509.2728271
2973,0.0450438,509.3050666
2982,0.0457333,509.7741929
2989,0.0462603,510.1565206
3047,0.0504551,515.4829303
3087,0.0534586,518.8362537
3112,0.0554184,520.8243575
3127,0.0564396,521.8693864
3138,0.0573188,522.6091043
3144,0.0577154,523.1501496
3152,0.0584653,523.6093561
3182,0.0605621,525.6321793
3229,0.064241,528.3872806
3252,0.0658143,529.5787651
3261,0.0667326,530.0179941
3273,0.0675642,530.638536
3309,0.0702581,532.4727443
3356,0.0738755,534.4709057
3410,0.0781235,536.5955452
3492,0.0845824,539.1421918
3559,0.0899668,540.8745838
3630,0.095722,542.3589795
3706,0.1020127,543.4633897
3785,0.1087571,544.5183385
3849,0.114302,545.1165607
3929,0.1212492,545.4268317
4007,0.128292,545.6055268
4012,0.1287341,545.4491513
4020,0.1294913,545.6452062
4021,0.1295749,545.5185903
4069,0.1340215,545.468991
