,strain_eng,Stress_eng
0,7e-06,0.013790028
8,-1.95e-05,-6.810557088
9,-1.88e-05,-6.751021826
341,9.94e-05,21.41884898
362,0.0001983,42.47771731
383,0.0002974,63.41197695
404,0.0003983,84.33239118
425,0.0004978,105.2528054
478,0.0005949,125.7578574
486,0.0007039,148.6443198
493,0.000797,167.8894394
501,0.0009021,189.7098053
509,0.001004,211.2394175
517,0.001106,232.505967
525,0.001209,253.4402267
533,0.001311,273.7652883
542,0.001422,295.5994996
551,0.00154,315.6061167
604,0.002505,386.8822865
613,0.002651,385.6223542
635,0.002927,389.1944699
691,0.003667,392.780431
697,0.003768,392.8635035
738,0.004836,392.3512233
754,0.005234,388.4606632
809,0.006346,390.7313104
843,0.007389,391.1605181
872,0.008466,389.263697
910,0.009794,393.6388465
935,0.01062,393.555774
967,0.01155,395.1618415
988,0.01208,397.5986337
1005,0.01254,397.8340056
1049,0.01362,405.0197733
1189,0.01658,418.2698305
1373,0.0205,433.319791
1554,0.02434,446.5698482
1755,0.02857,459.1968619
2037,0.03438,473.9699142
2224,0.03835,482.4156142
2485,0.04387,492.4396909
2487,0.04391,492.5089179
2488,0.0435884,497.9469796
2490,0.0437435,497.9743935
2506,0.0449902,499.1767289
2606,0.0518671,509.0840888
2691,0.0577736,516.1229567
2825,0.0676444,524.8804553
2922,0.0750039,529.7792382
3065,0.0862531,535.2766966
3165,0.0950741,538.4842627
3282,0.1045222,540.6743296
3401,0.1146334,542.3205488
3551,0.1276741,543.2409917
3629,0.1347509,543.5526519
3682,0.1395938,543.3656004
3832,0.1539328,542.7496181
4005,0.1710354,541.0035735
4103,0.1714997,516.2701334
4125,0.1713026,515.3820888
4194,0.1715374,513.4190866
4202,0.1712169,512.0472834
4205,0.1708129,461.0090876
4343,0.170558,400.654731
4411,0.1714784,401.9991203
4415,0.171522,515.2973549
4541,0.1716046,499.4036551
4592,0.1713195,498.7476596
4637,0.1715299,498.588022
4643,0.17113,498.393494
4656,0.1715498,498.4857045
4661,0.171325,498.4084471
4857,0.1716114,497.7998029
4865,0.171782,526.9856498
4874,0.1724671,542.3031036
5094,0.1962627,536.8529965
5171,0.2047678,533.3035872
5215,0.2097464,530.3354083
5252,0.2139338,526.8758557
5297,0.2189416,521.5380349
5340,0.2237658,514.8583169
5396,0.230245,504.5693775
5459,0.2373589,490.5165635
5504,0.2424299,478.5812664
5578,0.2509042,455.097513
5616,0.255294,440.9998398
5653,0.2595359,425.1062785
5685,0.2632669,409.6964758
5699,0.2647793,401.6723686
5701,0.2689904,400.2057243
5703,0.2692136,-8.431716123
5705,0.2694618,-0.559908373
