,strain_eng,Stress_eng
0,-1.38e-05,0.179689436
233,-5.58e-05,-21.17576966
234,-5.52e-05,-21.73421431
290,0.0001275,31.44776661
322,0.0002761,62.1340178
354,0.0004249,92.79206472
389,0.0005817,125.0577553
398,0.0007269,154.2209756
408,0.0008834,185.6969465
418,0.001037,216.5806276
428,0.001189,247.0412446
438,0.00134,277.0223889
449,0.001506,309.6265308
459,0.001653,338.7897512
470,0.001813,370.4067434
481,0.001973,401.3468331
492,0.002125,430.9613218
508,0.002295,462.4372927
557,0.002063,428.7331841
680,0.002028,430.6228705
703,0.002027,429.2408611
747,0.002345,430.3972363
763,0.002993,429.1844525
797,0.004603,430.5382577
826,0.006022,429.8331508
866,0.007915,431.0741389
955,0.01272,429.5511081
997,0.01515,430.4254406
1024,0.01676,428.5357542
1066,0.01927,429.0434311
1097,0.02026,427.6050131
1114,0.0205,428.1690986
1139,0.02086,428.9024098
1165,0.02129,428.2255072
1196,0.02181,430.0023765
1227,0.02226,428.5639585
1282,0.0229,431.8074501
1346,0.02344,428.3383243
1423,0.02449,440.8328181
1459,0.02542,444.8378251
1721,0.03173,459.9271123
1955,0.03691,470.7293496
2393,0.04613,486.2981094
2398,0.0465687,491.1878845
2560,0.0579273,504.9321098
2655,0.0645833,511.5426277
2769,0.0730484,518.4478804
2883,0.0817613,524.0673001
3094,0.0980336,530.7897891
3338,0.118022,535.4285462
3668,0.1473318,537.4406392
3947,0.1744108,535.7943556
4119,0.1924109,532.8120356
4122,0.1927835,531.4500512
4291,0.1928097,504.5815306
4298,0.1928584,508.2551375
4426,0.1930715,505.4758882
4613,0.1925229,501.9596612
4915,0.1928863,500.5421144
4933,0.1930804,528.8944618
4938,0.1936302,535.255936
5030,0.2037472,530.2257036
5074,0.2089262,526.8925224
5143,0.217487,516.6693188
5207,0.2246226,502.5795912
5261,0.2308331,485.8883013
5294,0.2344867,472.9010788
5337,0.2393485,451.1947867
5362,0.2422522,434.5342394
5372,0.2436414,424.8091233
5374,0.2441927,418.2696801
5375,0.2464383,136.977728
5376,0.2470775,128.3094262
5377,0.247192,121.4856839
5392,0.2494329,51.60592603
5396,0.2499122,30.21467571
5398,0.2509718,2.766839376
5430,0.2510752,1.730332271
