Total plastic story drift angle *(rad),Force in the actuator (kN)
0.009097183,-5.580218182
0.008846226,-14.16516923
0.008595269,-24.46711049
0.008093356,-37.34453706
0.007465964,-48.50497343
0.006838572,-67.39186573
0.006587615,-78.5523021
0.005960223,-85.42026294
0.004956396,-98.29768951
0.004579961,-102.590165
0.003827091,-116.3260867
0.00307422,-124.0525427
0.002195872,-136.0714741
0.000690131,-147.2319105
-0.00081561,-162.6848224
-0.002195872,-172.1282685
-0.004705439,-185.0056951
-0.00696405,-195.3076364
-0.007842399,-195.3076364
-0.009850053,-196.1661315
-0.011606751,-200.458607
-0.013112491,-201.3171021
-0.01323797,-196.1661315
-0.01323797,-190.1566657
-0.013112491,-181.5717147
-0.012987013,-166.1188028
-0.012736056,-153.2413762
-0.010226488,-10.73118881
-0.009850053,2.146237762
-0.009599097,12.44817902
-0.009097183,28.75958601
-0.008720748,45.07099301
-0.008218834,55.37293427
-0.007842399,69.10885594
-0.007591442,79.4107972
-0.007215007,90.57123357
-0.006587615,99.15618462
-0.005834745,112.8921063
-0.005081875,124.0525427
-0.004078048,137.7884643
-0.002823264,148.0904056
-0.002070393,159.250842
-0.001066566,168.6942881
-0.000439174,174.7037538
6.27392E-05,182.4302098
0.001192045,193.5906462
6.27392E-05,179.8547245
0.000564653,190.1566657
0.001443001,201.3171021
0.002070393,211.6190434
0.002823264,221.0624895
0.003576134,229.6474406
0.004203526,237.3738965
0.004329004,240.8078769
0.004956396,245.9588476
0.005081875,249.392828
0.005583788,256.2607888
0.006336659,262.2702545
-0.000690131,171.2697734
0.000188218,181.5717147
0.001317523,193.5906462
0.001944915,202.1755972
0.002823264,215.0530238
0.003952569,226.2134601
0.005332831,237.3738965
0.00621118,245.9588476
0.007465964,253.6853035
0.008093356,260.5532643
0.008846226,266.5627301
0.009975532,266.5627301
0.010602924,262.2702545
0.010602924,253.6853035
0.01085388,245.1003524
0.011104837,233.9399161
0.010979359,220.2039944
0.009097183,26.1841007
0.009097183,18.45764476
0.008846226,9.872693706
0.008344313,-12.44817902
0.007967878,-24.46711049
0.007340486,-46.78798322
0.006713094,-59.66540979
0.00621118,-75.11832168
0.005207353,-86.27875804
