Total plastic story drift angle *(rad),Force in the actuator (kN)
-0.000595965,0.830472103
0.000595965,104.639485
-0.001390585,-88.03004292
0.000331092,104.639485
-0.001125712,-86.36909871
0.000331092,107.1309013
-0.001125712,-86.36909871
0.000463528,103.8090129
-0.000993275,-88.86051502
0.000595965,102.9785408
-0.001125712,-83.8776824
-0.000198655,106.3004292
-0.001258148,-86.36909871
0.000331092,181.8733906
-0.002052768,-127.0622318
0.000198655,183.5343348
-0.001655459,-126.2317597
0.000595965,181.8733906
-0.001920332,-125.4012876
0.000463528,184.3648069
-0.002052768,-126.2317597
0.000463528,182.7038627
-0.001787895,-127.8927039
0.000463528,183.5343348
-0.001920332,-127.8927039
0.000993275,227.5493562
-0.001920332,-171.0772532
0.001390585,228.3798283
-0.001655459,-169.416309
0.001125712,227.5493562
-0.001787895,-167.7553648
0.000993275,229.2103004
-0.001787895,-169.416309
0.001125712,227.5493562
-0.001787895,-167.7553648
0.001125712,230.0407725
-0.001920332,-170.2467811
0.001258148,277.3776824
-0.002714952,-210.1094421
0.000993275,277.3776824
-0.003112261,-210.9399142
0.000993275,279.8690987
-0.002979825,-210.9399142
0.001258148,279.0386266
-0.003377135,-211.7703863
0.000993275,277.3776824
0.002052768,290.6652361
0.003244698,303.1223176
0.004569064,311.4270386
0.005496121,310.5965665
0.006025868,302.2918455
0.006290741,280.6995708
0.005760994,48.16738197
0.003509572,-87.19957082
0.001258148,-142.0107296
0.000331092,-170.2467811
-0.001655459,-196.8218884
-0.004171754,-218.4141631
-0.007085361,-235.8540773
-0.007879981,-234.193133
-0.007217797,-129.5536481
-0.005760994,-31.55793991
-0.002979825,94.67381974
-0.001523021,137.027897
-0.000331092,177.72103
6.62556E-05,210.1094421
0.000728401,235.8540773
0.002052768,262.4291845
0.002979825,269.9034335
0.003244698,276.5472103
0.003774444,289.0042918
0.004436628,297.3090129
0.004833937,303.9527897
0.005496121,297.3090129
0.005628557,280.6995708
0.005628557,252.4635193
0.00589343,206.7875536
0.004701501,19.93133047
0.002317641,-79.72532189
0.000331092,-134.5364807
-0.002185205,-180.2124464
-0.003906881,-215.0922747
-0.00668805,-239.1759657
-0.008939474,-247.4806867
-0.012912573,-256.6158798
-0.013309883,-240.8369099
-0.012515263,-176.8905579
-0.010926024,-65.60729614
-0.009601657,7.474248927
-0.00827729,74.74248927
-0.006290741,131.2145923
-0.004304191,169.416309
-0.001523021,209.27897
-6.62556E-05,239.1759657
0.002714952,276.5472103
0.003642008,293.9871245
0.004436628,310.5965665
0.00589343,318.9012876
0.007615108,323.0536481
0.008674601,328.0364807
0.009998967,326.3755365
0.01066115,313.9184549
0.01066115,289.8347639
0.010528714,239.1759657
0.010926024,194.3304721
0.01066115,143.6716738
0.009601657,87.19957082
0.009601657,46.50643777
0.008542164,-13.28755365
0.006820488,-64.77682403
0.004569064,-127.8927039
0.001125712,-179.3819742
-0.001125712,-208.4484979
-0.003642008,-225.888412
-0.007615108,-246.6502146
-0.01105846,-255.7854077
-0.013177446,-259.1072961
-0.01383963,-259.1072961
-0.013707193,-248.3111588
-0.013574757,-196.8218884
-0.012515263,-142.0107296
-0.01185308,-79.72532189
-0.010926024,-29.89699571
-0.010131404,12.45708155
-0.008409728,67.26824034
-0.006290741,127.8927039
-0.002450078,192.6695279
-0.000198655,227.5493562
0.001787895,259.9377682
0.003509572,276.5472103
0.005231248,297.3090129
0.007615108,314.748927
0.008939474,323.8841202
0.010926024,333.8497854
0.013309883,345.4763948
0.016091053,352.1201717
0.017547857,356.2725322
0.019401969,356.2725322
0.019931715,352.1201717
0.020064152,335.5107296
0.020593899,260.7682403
0.020329026,187.6866953
0.019269533,80.55579399
0.018077603,-0.830472103
0.015561306,-70.59012876
0.012780137,-128.723176
0.009601657,-166.0944206
0.004833937,-207.6180258
0.001390585,-221.7360515
-0.005098811,-249.972103
-0.013177446,-269.9034335
-0.015693743,-273.2253219
-0.019137095,-275.7167382
-0.022315575,-270.7339056
-0.023242632,-269.0729614
-0.023772379,-262.4291845
-0.021256082,-76.40343348
-0.017680293,43.18454936
-0.013972066,130.3841202
-0.010131404,176.0600858
-0.00668805,210.1094421
-0.002714952,230.8712446
6.62556E-05,247.4806867
0.002714952,260.7682403
0.005363684,276.5472103
0.00827729,293.1566524
0.010528714,310.5965665
0.01304501,324.7145923
0.015163997,337.1716738
0.017415419,346.306867
0.019137095,352.1201717
0.020461462,338.832618
0.020726335,291.4957082
0.020726335,238.3454936
0.020196589,158.6201717
0.018210039,26.5751073
0.017282983,-37.37124464
0.014766686,-99.65665236
0.01066115,-158.6201717
0.004966374,-194.3304721
-0.002185205,-229.2103004
-0.007350234,-246.6502146
-0.012780137,-259.9377682
-0.015958617,-259.9377682
-0.020329026,-258.276824
-0.024169688,-254.9549356
-0.030394211,-248.3111588
-0.034234873,-238.3454936
-0.03635386,-220.9055794
-0.03397,-92.18240343
-0.030261775,9.965665236
-0.026421111,93.84334764
-0.022712886,140.3497854
-0.019401969,172.7381974
-0.015561306,198.4828326
-0.008939474,220.0751073
-0.002317641,246.6502146
0.003509572,269.0729614
0.010263841,303.1223176
0.014236939,323.0536481
0.017415419,342.1545064
0.020196589,353.7811159
0.021520955,358.7639485
0.023507506,362.916309
0.026156238,372.8819742
0.028142788,373.7124464
0.030526648,370.3905579
0.030394211,347.1373391
0.030526648,307.2746781
0.030659084,254.1244635
0.029732028,187.6866953
0.029069844,117.9270386
0.027745478,27.4055794
0.024831872,-75.57296137
0.022315575,-122.9098712
0.018077603,-171.0772532
0.01225039,-200.9742489
0.005098811,-229.2103004
-0.000331092,-239.1759657
-0.008807037,-261.5987124
-0.020196589,-259.1072961
-0.027480604,-249.972103
-0.03476462,-238.3454936
-0.03635386,-204.2961373
