Total plastic story drift angle (rad),Force in the actuator (kN)
-0.049433272,-0.411957796
-0.048314028,12.77069168
-0.046199901,32.54466589
-0.044956296,44.07948417
-0.042966529,55.61430246
-0.041101123,67.14912075
-0.039235716,74.56436108
-0.036872868,82.803517
-0.034261299,94.33833529
-0.032271532,100.92966
-0.02866508,110.8166471
-0.022695779,123.175381
-0.016477757,137.1819461
-6.21802E-05,168.4907386
0.010259736,187.4407972
0.019213687,206.3908558
0.0289138,229.4604924
0.037867752,255.0018757
0.048065307,298.6694021
0.048687109,304.4368113
0.050055074,309.3803048
0.05167176,317.6194607
0.052791003,321.7390387
0.053412806,323.3868699
0.054905131,327.5064478
0.056273096,331.6260258
0.058014142,328.3303634
0.058511583,323.3868699
0.058635944,313.4998828
0.058635944,301.1411489
0.058262862,200.6234467
0.05764106,152.8363423
0.056521816,81.15568581
0.055278212,20.185932
0.054158968,-19.36201641
0.053412806,-38.31207503
0.052666643,-49.84689332
0.052044841,-66.32520516
0.050303795,-91.04267292
0.048438388,-110.8166471
0.047194784,-120.7036342
0.045578098,-135.5341149
0.042717808,-147.0689332
0.038489554,-153.6602579
0.033763857,-159.4276671
0.026550952,-164.3711606
0.00578276,-156.1320047
-0.010384096,-147.0689332
-0.070201464,-107.5209848
-0.070201464,-99.28182884
-0.069704022,-88.57092614
-0.06908222,-75.38827667
-0.067838616,-58.08604924
-0.062118036,0.411957796
-0.060252629,16.06635404
-0.059133385,24.30550996
-0.057765421,35.01641266
-0.056521816,41.6077374
-0.055153852,49.02297773
-0.054158968,53.14255569
-0.052915364,58.08604924
-0.05179612,63.02954279
-0.050552516,65.50128957
-0.049184551,69.62086753
-0.047319144,73.74044549
-0.045329377,78.68393904
-0.040479321,90.21875733
-0.031027928,108.3449004
-0.006031481,146.2450176
0.019835489,188.2647128
0.02866508,203.919109
0.038240833,225.3409144
0.041847285,235.2279015
0.044334494,240.1713951
0.046448621,249.2344666
0.047816586,255.0018757
0.049557632,261.5932005
0.050925597,266.536694
0.054034608,275.5997655
0.056148735,276.4236811
0.0575167,278.0715123
0.058387223,278.8954279
0.059630827,279.7193435
0.060750071,278.8954279
0.061247513,276.4236811
0.061993675,268.1845252
0.062118036,256.6497069
0.062118036,239.3474795
0.061993675,210.5104338
0.061620594,181.673388
0.061247513,154.4841735
0.060874431,128.1188746
0.06037699,99.28182884
0.059257746,53.14255569
0.058511583,16.89026964
0.057143619,-15.24243845
0.054905131,-58.08604924
0.053164085,-81.97960141
0.050925597,-100.1057444
0.048438388,-112.4644783
0.045453738,-124.8232122
0.042842169,-131.4145369
0.0402306,-136.3580305
0.03737031,-142.9493552
0.034136939,-142.9493552
0.019089326,-142.9493552
0.002176308,-134.7101993
-0.044210134,-106.6970692
-0.069704022,-96.81008206
-0.070077103,-88.57092614
-0.070077103,-80.33177022
-0.069704022,-71.26869871
-0.06895786,-63.85345838
-0.068460418,-58.08604924
-0.06037699,4.531535756
