Total story drift angle (rad),Force in the actuator (kN)
0.019219969,307.1428571
0.021216849,300
0.021092044,234.5238095
0.019968799,35.71428571
0.019594384,-51.19047619
0.017722309,-140.4761905
0.015850234,-183.3333333
0.013354134,-220.2380952
0.010858034,-246.4285714
0.007113885,-266.6666667
0.003868955,-283.3333333
-0.000374415,-300
-0.00424337,-311.9047619
-0.009485179,-315.4761905
-0.013853354,-321.4285714
-0.017347894,-325
-0.020592824,-325
-0.020093604,-163.0952381
-0.019719189,-55.95238095
-0.018970359,33.33333333
-0.018096724,108.3333333
-0.015351014,165.4761905
-0.012230889,208.3333333
-0.00773791,241.6666667
-0.00324493,271.4285714
0.001872075,289.2857143
0.008985959,298.8095238
0.014726989,303.5714286
0.018970359,303.5714286
0.022215289,304.7619048
0.025210608,307.1428571
0.029079563,307.1428571
0.030452418,300
0.031076443,273.8095238
0.029204368,-39.28571429
0.028081123,-107.1428571
0.026333853,-147.6190476
0.024960998,-172.6190476
0.022589704,-207.1428571
0.019469579,-234.5238095
0.014976599,-260.7142857
0.009360374,-278.5714286
0.003120125,-296.4285714
-0.00424337,-307.1428571
-0.011606864,-314.2857143
-0.017223089,-319.047619
-0.021092044,-323.8095238
-0.024461778,-325
-0.027956318,-325
-0.029828393,-323.8095238
-0.030327613,-305.952381
-0.030577223,-261.9047619
-0.029578783,-8.333333333
-0.028954758,60.71428571
-0.027706708,113.0952381
-0.026333853,150
-0.023338534,184.5238095
-0.020842434,209.5238095
-0.018221529,226.1904762
-0.014602184,239.2857143
-0.010234009,260.7142857
-0.00574103,272.6190476
0.001622465,280.952381
0.010483619,301.1904762
0.017722309,303.5714286
0.023338534,304.7619048
0.027457098,307.1428571
0.030327613,304.7619048
0.031076443,214.2857143
0.029953198,54.76190476
0.028954758,-36.9047619
0.027457098,-122.6190476
0.026209048,-154.7619048
0.023338534,-192.8571429
0.020717629,-228.5714286
0.017597504,-244.047619
0.013603744,-270.2380952
0.008861154,-283.3333333
0.00524181,-296.4285714
-0.00074883,-305.952381
-0.006864275,-317.8571429
-0.016848674,-326.1904762
-0.022215289,-329.7619048
-0.027831513,-328.5714286
-0.030078003,-328.5714286
-0.030577223,-273.8095238
-0.029703588,-79.76190476
-0.029828393,-8.333333333
-0.028954758,51.19047619
-0.027831513,102.3809524
-0.026333853,147.6190476
-0.023962559,176.1904762
-0.021341654,203.5714286
-0.018970359,225
-0.016224649,235.7142857
-0.012605304,250
-0.008486739,266.6666667
-0.002620905,277.3809524
0.005366615,291.6666667
0.011606864,297.6190476
0.017347894,308.3333333
0.022464899,308.3333333
0.026458658,310.7142857
0.031201248,298.8095238
0.036567863,302.3809524
0.039563183,301.1904762
0.041060842,294.047619
0.041435257,264.2857143
0.041185647,134.5238095
0.040187207,-20.23809524
0.038190328,-94.04761905
0.036817473,-145.2380952
0.031950078,-198.8095238
0.027332293,-238.0952381
0.023088924,-254.7619048
0.017347894,-276.1904762
0.009609984,-294.047619
0.000873635,-296.4285714
-0.017347894,-317.8571429
-0.025335413,-316.6666667
-0.036567863,-310.7142857
-0.040686427,-308.3333333
-0.040686427,-120.2380952
-0.039563183,-1.19047619
-0.038564743,57.14285714
-0.037691108,95.23809524
-0.036193448,123.8095238
-0.033572543,154.7619048
-0.030202808,184.5238095
-0.025210608,213.0952381
-0.020717629,229.7619048
-0.013229329,253.5714286
-0.004617785,278.5714286
0.000873635,285.7142857
0.015850234,302.3809524
0.027082683,301.1904762
0.034570983,300
0.039563183,298.8095238
0.041435257,283.3333333
0.041560062,227.3809524
0.040187207,55.95238095
0.039188768,-61.9047619
0.037067083,-129.7619048
0.033697348,-182.1428571
0.029828393,-220.2380952
0.023588144,-248.8095238
0.017472699,-267.8571429
0.008361934,-290.4761905
-0.00624025,-302.3809524
-0.018720749,-311.9047619
-0.029329173,-313.0952381
-0.035319813,-311.9047619
-0.040312012,-305.952381
-0.040936037,-285.7142857
-0.041060842,-102.3809524
-0.040062402,7.142857143
-0.037691108,100
-0.033822153,154.7619048
-0.029578783,191.6666667
-0.025585023,214.2857143
-0.020967239,227.3809524
-0.015975039,238.0952381
-0.009360374,242.8571429
-0.00374415,244.047619
0.004368175,245.2380952
0.013603744,254.7619048
0.018595944,257.1428571
0.021092044,257.1428571
0.025210608,228.5714286
0.031450858,198.8095238
0.034945398,184.5238095
0.039687988,179.7619048
0.043432137,179.7619048
0.045179407,161.9047619
0.040187207,-21.42857143
0.040811232,-22.61904762
