Total plastic story drift angle *(rad),Force in the actuator (kN)
0.00020284,1.889243028
0.000811359,53.84342629
-0.00040568,-45.34183267
0.001014199,51.95418327
-0.000811359,-43.45258964
0.001419878,53.84342629
-0.000608519,-42.50796813
0.001014199,51.95418327
-0.000608519,-44.39721116
0.001014199,53.84342629
-0.00020284,-45.34183267
0.001419878,51.95418327
-0.00040568,-42.50796813
0.001014199,53.84342629
0.001419878,87.8498008
-0.001217039,-85.96055777
0.000811359,86.90517928
-0.001217039,-86.90517928
0.001419878,89.73904382
-0.001014199,-87.8498008
0.001419878,86.90517928
-0.001217039,-84.07131474
0.001419878,87.8498008
-0.000608519,-85.96055777
0.001622718,89.73904382
-0.001014199,-87.8498008
0.001014199,87.8498008
0.001419878,130.3577689
-0.001014199,-116.1884462
0.001419878,130.3577689
-0.001217039,-116.1884462
0.001419878,129.4131474
-0.001217039,-116.1884462
0.001217039,130.3577689
-0.001014199,-117.1330677
0.001014199,129.4131474
-0.001217039,-115.2438247
0.001419878,130.3577689
-0.001014199,-115.2438247
0.001419878,130.3577689
0.001419878,161.5302789
-0.001419878,-151.1394422
0.000811359,162.4749004
-0.000811359,-151.1394422
0.000811359,158.6964143
-0.000608519,-146.4163347
0.001014199,159.6410359
-0.001622718,-141.6932271
0.001419878,160.5856574
0.001825558,172.8657371
0.003042596,179.4780876
0.004868154,177.5888446
0.004868154,168.1426295
0.004868154,-3.778486056
0.004462475,-39.67410359
0.003853955,-80.29282869
0.002434077,-108.6314741
0.002028398,-130.3577689
0,-149.2501992
-0.002028398,-167.198008
-0.004259635,-177.5888446
-0.005273834,-169.087251
-0.005273834,-93.51752988
-0.004665314,5.667729084
-0.004056795,44.39721116
-0.003245436,70.84661355
-0.002636917,99.18525896
-0.001419878,125.6346614
0,156.8071713
0.001622718,174.7549801
0.002434077,177.5888446
0.003853955,177.5888446
0.005070994,124.6900398
0.004056795,-33.06175299
0.003853955,-72.73585657
0.002434077,-101.074502
0.001825558,-120.9115538
0.001217039,-136.9701195
-0.00020284,-152.0840637
-0.001622718,-161.5302789
