Chord Rotation [rads],Axial Shortening [mm]
0,0
3.100000e-03,-7.030000e+00
-2.700000e-03,-7.120000e+00
3.200000e-03,-7.490000e+00
-2.100000e-03,-8.490000e+00
6.000000e-03,-9.040000e+00
-5.400000e-03,-9.410000e+00
5.700000e-03,-1.032000e+01
-5.500000e-03,-1.169000e+01
8.400000e-03,-1.205000e+01
-8.100000e-03,-1.307000e+01
8.400000e-03,-1.507000e+01
-8.100000e-03,-1.589000e+01
1.090000e-02,-1.726000e+01
-1.080000e-02,-1.927000e+01
1.060000e-02,-21
-1.150000e-02,-2.356000e+01
1.370000e-02,-2.575000e+01
-1.300000e-02,-2.904000e+01
1.400000e-02,-3.240000e+01
-1.330000e-02,-3.580000e+01
1.630000e-02,-3.927000e+01
-1.590000e-02,-4.365000e+01
1.620000e-02,-4.712000e+01
-1.590000e-02,-5.205000e+01
1.890000e-02,-5.735000e+01
-1.500000e-02,-5.817000e+01
-1.420000e-02,-6.521000e+01
