Chord Rotation [rads],Axial Shortening [mm]
0,0
1.800000e-03,-4.870000e+00
-1.600000e-03,-4.590000e+00
-1.600000e-03,-4.610000e+00
6.000000e-03,-6.400000e+00
-5.900000e-03,-6.560000e+00
6.100000e-03,-7.930000e+00
-6.100000e-03,-8.210000e+00
1.140000e-02,-8.630000e+00
-1.060000e-02,-9.880000e+00
1.160000e-02,-1.127000e+01
-1.060000e-02,-1.336000e+01
1.670000e-02,-1.489000e+01
-1.640000e-02,-1.892000e+01
1.670000e-02,-2.073000e+01
-1.610000e-02,-2.351000e+01
2.230000e-02,-2.810000e+01
-2.160000e-02,-3.311000e+01
2.210000e-02,-3.757000e+01
-2.170000e-02,-4.369000e+01
2.760000e-02,-4.925000e+01
-2.680000e-02,-5.537000e+01
2.770000e-02,-6.191000e+01
-2.590000e-02,-6.957000e+01
2.750000e-02,-7.736000e+01
-6.100000e-03,-8.195000e+01
-5.700000e-03,-8.153000e+01
