Chord Rotation [rads],Axial Shortening [mm]
0,0
3.400000e-03,-3.950000e+00
-2.000000e-03,-3.620000e+00
8.200000e-03,-4.480000e+00
-7.400000e-03,-4.810000e+00
8.600000e-03,-5.340000e+00
-7.400000e-03,-5.210000e+00
1.530000e-02,-6.920000e+00
-1.510000e-02,-6.460000e+00
1.520000e-02,-8.630000e+00
-1.510000e-02,-8.370000e+00
2.330000e-02,-1.213000e+01
-2.300000e-02,-1.015000e+01
2.360000e-02,-1.575000e+01
-2.250000e-02,-1.338000e+01
3.030000e-02,-2.069000e+01
-3.000000e-02,-1.707000e+01
3.030000e-02,-2.603000e+01
-3.080000e-02,-2.109000e+01
3.720000e-02,-3.427000e+01
-3.820000e-02,-2.623000e+01
3.740000e-02,-4.264000e+01
-2.730000e-02,-3.740000e+01
-3.620000e-02,-3.255000e+01
