Chord Rotation [rads],Axial Shortening [mm]
0,5.000000e-02
0,5.000000e-02
0,2.000000e-02
0,4.000000e-02
0,5.000000e-02
0,4.000000e-02
0,4.000000e-02
0,5.000000e-02
0,4.000000e-02
0,4.000000e-02
0,4.000000e-02
0,2.000000e-02
0,5.000000e-02
0,7.000000e-02
0,3.000000e-02
0,6.000000e-02
0,3.000000e-02
0,5.000000e-02
0,5.000000e-02
0,2.000000e-02
0,4.000000e-02
0,5.000000e-02
0,4.000000e-02
0,4.000000e-02
0,3.000000e-02
0,4.000000e-02
0,5.000000e-02
0,5.000000e-02
0,5.000000e-02
0,6.000000e-02
0,2.000000e-02
0,4.000000e-02
0,5.000000e-02
0,5.000000e-02
0,2.000000e-02
0,5.000000e-02
0,5.000000e-02
0,4.000000e-02
0,5.000000e-02
0,6.000000e-02
0,4.000000e-02
0,4.000000e-02
0,6.000000e-02
0,5.000000e-02
0,3.000000e-02
0,5.000000e-02
0,4.000000e-02
0,4.000000e-02
0,6.000000e-02
0,4.000000e-02
0,5.000000e-02
0,4.000000e-02
0,3.000000e-02
0,3.000000e-02
0,4.000000e-02
0,2.000000e-02
0,4.000000e-02
0,5.000000e-02
0,5.000000e-02
0,5.000000e-02
0,2.000000e-02
0,4.000000e-02
0,2.000000e-02
0,3.000000e-02
0,5.000000e-02
0,5.000000e-02
0,5.000000e-02
0,3.000000e-02
0,6.000000e-02
0,5.000000e-02
0,4.000000e-02
0,2.000000e-02
0,5.000000e-02
0,4.000000e-02
0,3.000000e-02
0,1.000000e-02
0,4.000000e-02
0,2.000000e-02
0,4.000000e-02
0,5.000000e-02
0,5.000000e-02
0,4.000000e-02
0,5.000000e-02
0,3.000000e-02
0,4.000000e-02
0,5.000000e-02
0,5.000000e-02
0,5.000000e-02
0,4.000000e-02
0,5.000000e-02
0,4.000000e-02
0,4.000000e-02
0,5.000000e-02
0,5.000000e-02
0,4.000000e-02
0,4.000000e-02
0,2.000000e-02
0,4.000000e-02
0,5.000000e-02
0,5.000000e-02
0,3.000000e-02
0,2.000000e-02
0,2.000000e-02
0,6.000000e-02
0,4.000000e-02
0,4.000000e-02
0,5.000000e-02
0,4.000000e-02
0,4.000000e-02
0,4.000000e-02
0,4.000000e-02
0,3.000000e-02
0,4.000000e-02
0,4.000000e-02
0,5.000000e-02
0,4.000000e-02
0,4.000000e-02
0,6.000000e-02
0,4.000000e-02
0,4.000000e-02
0,4.000000e-02
0,4.000000e-02
0,2.000000e-02
0,1.000000e-02
0,4.000000e-02
0,4.000000e-02
0,3.000000e-02
0,5.000000e-02
0,3.000000e-02
0,4.000000e-02
0,1.000000e-02
0,5.000000e-02
0,5.000000e-02
0,5.000000e-02
0,3.000000e-02
0,5.000000e-02
0,6.000000e-02
0,2.000000e-02
0,4.000000e-02
0,5.000000e-02
0,2.000000e-02
0,3.000000e-02
