type,section,h,b,t,h_over_t,b_over_t,r_o,r_i,wei,perim,area,a_vz,a_vy,i_y,r_y,s_y,z_y,i_z,r_z,s_z,w_z,j,c_w,,,,,,,,,,,,
SHS,SHS 300x6.3,300,300,6.3,47.6,47.6,9.4,6.3,57.8,1.184,7359,3679,3679,105500000,119.7,703100,808800,105500000,119.7,703100,808800,161400000,1043000,,,,,,,,,,,,
SHS,SHS 300x8,300,300,8,37.5,37.5,12,8,72.8,1.179,9275,4638,4638,131300000,119,875200,1013000,131300000,119,875200,1013000,201900000,1294000,,,,,,,,,,,,
SHS,SHS 300x10,300,300,10,30.0,30.0,15,10,90.2,1.174,11493,5746,5746,160300000,118.1,1068000,1246000,160300000,118.1,1068000,1246000,248100000,1575000,,,,,,,,,,,,
SHS,SHS 300x12.5,300,300,12.5,24.0,24.0,18.8,12.5,111.5,1.168,14207,7104,7104,194400000,117,1296000,1525000,194400000,117,1296000,1525000,303300000,1904000,,,,,,,,,,,,
SHS,SHS 300x14.2,300,300,14.2,21.1,21.1,21.3,14.2,125.7,1.163,16017,8009,8009,216400000,116.2,1442000,1708000,216400000,116.2,1442000,1708000,339400000,2114000,,,,,,,,,,,,
SHS,SHS 300x16,300,300,16,18.8,18.8,24,16,140.5,1.159,17901,8951,8951,238500000,115.4,1590000,1895000,238500000,115.4,1590000,1895000,376200000,2325000,,,,,,,,,,,,
SHS,SHS 350x8,350,350,8,43.8,43.8,12,8,85.4,1.379,10875,5438,5438,211300000,139.4,1207000,1392000,211300000,139.4,1207000,1392000,323800000,1789000,,,,,,,,,,,,
SHS,SHS 350x10,350,350,10,35.0,35.0,15,10,105.9,1.374,13493,6746,6746,258800000,138.5,1479000,1715000,258800000,138.5,1479000,1715000,398900000,2185000,,,,,,,,,,,,
SHS,SHS 350x12.5,350,350,12.5,28.0,28.0,18.8,12.5,131.2,1.368,16707,8354,8354,315400000,137.4,1802000,2107000,315400000,137.4,1802000,2107000,489300000,2654000,,,,,,,,,,,,
SHS,SHS 350x14.2,350,350,14.2,24.6,24.6,21.3,14.2,148,1.363,18857,9429,9429,352100000,136.6,2012000,2364000,352100000,136.6,2012000,2364000,548800000,2957000,,,,,,,,,,,,
SHS,SHS 350x16,350,350,16,21.9,21.9,24,16,165.6,1.359,21101,10551,10551,389400000,135.8,2225000,2630000,389400000,135.8,2225000,2630000,609900000,3264000,,,,,,,,,,,,
SHS,SHS 400x10,400,400,10,40.0,40.0,15,10,121.6,1.574,15493,7746,7746,391300000,158.9,1956000,2260000,391300000,158.9,1956000,2260000,600900000,2895000,,,,,,,,,,,,
SHS,SHS 400x12.5,400,400,12.5,32.0,32.0,18.8,12.5,150.8,1.568,19207,9604,9604,478400000,157.8,2392000,2782000,478400000,157.8,2392000,2782000,739100000,3530000,,,,,,,,,,,,
SHS,SHS 400x14.2,400,400,14.2,28.2,28.2,21.3,14.2,170.3,1.563,21697,10849,10849,535300000,157.1,2676000,3127000,535300000,157.1,2676000,3127000,830300000,3942000,,,,,,,,,,,,
SHS,SHS 400x16,400,400,16,25.0,25.0,24,16,190.8,1.559,24301,12151,12151,593400000,156.3,2967000,3484000,593400000,156.3,2967000,3484000,924400000,4362000,,,,,,,,,,,,
SHS,SHS 400x20,400,400,20,20.0,20.0,30,20,235.3,1.548,29971,14985,14985,715300000,154.5,3577000,4247000,715300000,154.5,3577000,4247000,1125000000,5237000,,,,,,,,,,,,
