type,section,h,b,t,h_over_t,b_over_t,r_o,r_i,wei,perim,area,a_vz,a_vy,i_y,r_y,s_y,z_y,i_z,r_z,s_z,w_z,j,c_w,,,,,,,,,,,,
RHS,RHS 350x250x14.2,350,250,14.2,24.6,17.6,21.3,14.2,125.7,1.163,16017,9343,6674,272000000,130.3,1554000,1887000,160500000,100.1,1284000,1492000,318900000,2044000,,,,,,,,,,,,
RHS,RHS 350x250x16,350,250,16,21.9,15.6,24,16,140.5,1.159,17901,10442,7459,300100000,129.5,1715000,2095000,176500000,99.3,1412000,1655000,353300000,2246000,,,,,,,,,,,,
RHS,RHS 400x200x8,400,200,8,50.0,25.0,12,8,72.8,1.179,9275,6184,3092,195600000,145.2,978100,1203000,66600000,84.7,666000,742800,157300000,1135000,,,,,,,,,,,,
RHS,RHS 400x200x10,400,200,10,40.0,20.0,15,10,90.2,1.174,11493,7662,3831,239100000,144.3,1196000,1480000,80840000,83.9,808400,910900,192600000,1376000,,,,,,,,,,,,
RHS,RHS 400x200x12.5,400,200,12.5,32.0,16.0,18.8,12.5,111.5,1.168,14207,9472,4736,290600000,143,1453000,1813000,97380000,82.8,973800,1111000,234400000,1656000,,,,,,,,,,,,
RHS,RHS 400x200x14.2,400,200,14.2,28.2,14.1,21.3,14.2,125.7,1.163,16017,10678,5339,323800000,142.2,1619000,2032000,107800000,82.1,1078000,1242000,261400000,1834000,,,,,,,,,,,,
RHS,RHS 400x200x16,400,200,16,25.0,12.5,24,16,140.5,1.159,17901,11934,5967,357400000,141.3,1787000,2256000,118200000,81.3,1182000,1374000,288700000,2010000,,,,,,,,,,,,
RHS,RHS 450x250x8,450,250,8,56.3,31.3,12,8,85.4,1.379,10875,6991,3884,300800000,166.3,1337000,1622000,121400000,105.7,971300,1081000,270800000,1629000,,,,,,,,,,,,
RHS,RHS 450x250x10,450,250,10,45.0,25.0,15,10,105.9,1.374,13493,8674,4819,368900000,165.4,1640000,2000000,148200000,104.8,1185000,1331000,332800000,1986000,,,,,,,,,,,,
RHS,RHS 450x250x12.5,450,250,12.5,36.0,20.0,18.8,12.5,131.2,1.368,16707,10740,5967,450300000,164.2,2001000,2458000,179700000,103.7,1438000,1631000,407200000,2406000,,,,,,,,,,,,
RHS,RHS 450x250x14.2,450,250,14.2,31.7,17.6,21.3,14.2,148,1.363,18857,12122,6735,503100000,163.3,2236000,2759000,200000000,103,1600000,1827000,455800000,2675000,,,,,,,,,,,,
RHS,RHS 450x250x16,450,250,16,28.1,15.6,24,16,165.6,1.359,21101,13565,7536,557100000,162.5,2476000,3070000,220400000,102.2,1763000,2029000,505500000,2947000,,,,,,,,,,,,
RHS,RHS 500x300x10,500,300,10,50.0,30.0,15,10,121.6,1.574,15493,9683,5810,537600000,186.3,2150000,2595000,244400000,125.6,1629000,1826000,524500000,2696000,,,,,,,,,,,,
RHS,RHS 500x300x12.5,500,300,12.5,40.0,24.0,18.8,12.5,150.8,1.568,19207,12005,7203,658100000,185.1,2633000,3196000,297800000,124.5,1985000,2244000,643900000,3281000,,,,,,,,,,,,
RHS,RHS 500x300x14.2,500,300,14.2,35.2,21.1,21.3,14.2,170.3,1.563,21697,13561,8136,737000000,184.3,2948000,3593000,332400000,123.8,2216000,2519000,722400000,3660000,,,,,,,,,,,,
RHS,RHS 500x300x16,500,300,16,31.3,18.8,24,16,190.8,1.559,24301,15188,9113,817800000,183.4,3271000,4005000,367700000,123,2451000,2804000,803300000,4044000,,,,,,,,,,,,
RHS,RHS 500x300x20,500,300,20,25.0,15.0,30,20,235.3,1.548,29971,18732,11239,987800000,181.5,3951000,4885000,440800000,121.3,2939000,3408000,974500000,4842000,,,,,,,,,,,,
SHS,SHS 40x2.6,40,40,2.6,15.4,15.4,3.9,2.6,3,0.153,382,191,191,87970,15.2,4399,5312,87970,15.2,4399,5312,140300,6407,,,,,,,,,,,,
SHS,SHS 40x3.2,40,40,3.2,12.5,12.5,4.8,3.2,3.61,0.152,460,230,230,102300,14.9,5115,6284,102300,14.9,5115,6284,165400,7417,,,,,,,,,,,,
SHS,SHS 40x4,40,40,4,10.0,10.0,6,4,4.39,0.15,559,279,279,118300,14.5,5915,7439,118300,14.5,5915,7439,194800,8536,,,,,,,,,,,,
SHS,SHS 40x5,40,40,5,8.0,8.0,7.5,5,5.28,0.147,673,337,337,133700,14.1,6684,8663,133700,14.1,6684,8663,225000,9602,,,,,,,,,,,,
SHS,SHS 50x2.6,50,50,2.6,19.2,19.2,3.9,2.6,3.81,0.193,486,243,243,180300,19.3,7212,8583,180300,19.3,7212,8583,284100,10550,,,,,,,,,,,,
SHS,SHS 50x3.2,50,50,3.2,15.6,15.6,4.8,3.2,4.62,0.192,588,294,294,212300,19,8491,10240,212300,19,8491,10240,338200,12370,,,,,,,,,,,,
SHS,SHS 50x4,50,50,4,12.5,12.5,6,4,5.64,0.19,719,359,359,249700,18.6,9990,12270,249700,18.6,9990,12270,403900,14490,,,,,,,,,,,,
SHS,SHS 50x5,50,50,5,10.0,10.0,7.5,5,6.85,0.187,873,437,437,288800,18.2,11550,14530,288800,18.2,11550,14530,475600,16670,,,,,,,,,,,,
SHS,SHS 50x6.3,50,50,6.3,7.9,7.9,9.4,6.3,8.31,0.184,1059,529,529,327600,17.6,13100,17010,327600,17.6,13100,17010,551900,18820,,,,,,,,,,,,
SHS,SHS 60x2.6,60,60,2.6,23.1,23.1,3.9,2.6,4.63,0.233,590,295,295,321600,23.4,10720,12630,321600,23.4,10720,12630,502500,15740,,,,,,,,,,,,
SHS,SHS 60x3.2,60,60,3.2,18.8,18.8,4.8,3.2,5.62,0.232,716,358,358,381600,23.1,12720,15160,381600,23.1,12720,15160,601900,18600,,,,,,,,,,,,
SHS,SHS 60x4,60,60,4,15.0,15.0,6,4,6.9,0.23,879,439,439,453900,22.7,15130,18310,453900,22.7,15130,18310,725100,22030,,,,,,,,,,,,
SHS,SHS 60x5,60,60,5,12.0,12.0,7.5,5,8.42,0.227,1073,537,537,532600,22.3,17750,21890,532600,22.3,17750,21890,864000,25720,,,,,,,,,,,,
SHS,SHS 60x6.3,60,60,6.3,9.5,9.5,9.4,6.3,10.3,0.224,1311,655,655,616500,21.7,20550,26000,616500,21.7,20550,26000,1020000,29620,,,,,,,,,,,,
SHS,SHS 60x8,60,60,8,7.5,7.5,12,8,12.5,0.219,1595,798,798,697300,20.9,23240,30440,697300,20.9,23240,30440,1182000,33350,,,,,,,,,,,,
SHS,SHS 70x3.2,70,70,3.2,21.9,21.9,4.8,3.2,6.63,0.272,844,422,422,623100,27.2,17800,21040,623100,27.2,17800,21040,975800,26110,,,,,,,,,,,,
SHS,SHS 70x4,70,70,4,17.5,17.5,6,4,8.15,0.27,1039,519,519,746900,26.8,21340,25540,746900,26.8,21340,25540,1182000,31160,,,,,,,,,,,,
SHS,SHS 70x5,70,70,5,14.0,14.0,7.5,5,9.99,0.267,1273,637,637,885000,26.4,25290,30760,885000,26.4,25290,30760,1420000,36760,,,,,,,,,,,,
SHS,SHS 70x6.3,70,70,6.3,11.1,11.1,9.4,6.3,12.3,0.264,1563,781,781,1038000,25.8,29670,36880,1038000,25.8,29670,36880,1695000,42920,,,,,,,,,,,,
SHS,SHS 70x8,70,70,8,8.8,8.8,12,8,15,0.259,1915,958,958,1198000,25,34220,43770,1198000,25,34220,43770,1997000,49240,,,,,,,,,,,,
SHS,SHS 80x3.2,80,80,3.2,25.0,25.0,4.8,3.2,7.63,0.312,972,486,486,949500,31.3,23740,27880,949500,31.3,23740,27880,1479000,34900,,,,,,,,,,,,
SHS,SHS 80x4,80,80,4,20.0,20.0,6,4,9.41,0.31,1199,599,599,1145000,30.9,28610,33980,1145000,30.9,28610,33980,1800000,41900,,,,,,,,,,,,
SHS,SHS 80x5,80,80,5,16.0,16.0,7.5,5,11.6,0.307,1473,737,737,1366000,30.5,34150,41130,1366000,30.5,34150,41130,2174000,49790,,,,,,,,,,,,
SHS,SHS 80x6.3,80,80,6.3,12.7,12.7,9.4,6.3,14.2,0.304,1815,907,907,1619000,29.9,40470,49650,1619000,29.9,40470,49650,2615000,58710,,,,,,,,,,,,
SHS,SHS 80x8,80,80,8,10.0,10.0,12,8,17.5,0.299,2235,1118,1118,1893000,29.1,47320,59510,1893000,29.1,47320,59510,3117000,68290,,,,,,,,,,,,
SHS,SHS 90x4,90,90,4,22.5,22.5,6,4,10.7,0.35,1359,679,679,1663000,35,36950,43610,1663000,35,36950,43610,2601000,54230,,,,,,,,,,,,
