type,section,h,b,t,h_over_t,b_over_t,r_o,r_i,wei,perim,area,a_vz,a_vy,i_y,r_y,s_y,z_y,i_z,r_z,s_z,z_z,j,c_w,,,,,,,,,,,,
SHS,HSS 200x200x6,200,200,6,33.33,33.33,18,18.0,35.8,800.0,4563.0,2184.0,2184.0,28300000.0,78.8,283000.0,330000.0,28300000.0,78.8,283000.0,330000.0,45633456.0,0.0,,,,,,,,,,,,
SHS,HSS 200x200x8,200,200,8,25.00,25.00,24,24.0,46.9,800.0,5979.0,2816.0,2816.0,36200000.0,77.8,362000.0,426000.0,36200000.0,77.8,362000.0,426000.0,60217344.0,0.0,,,,,,,,,,,,
SHS,HSS 200x200x9,200,200,9,22.22,22.22,27,27.0,52.3,800.0,6667.0,3114.0,3114.0,39900000.0,77.3,399000.0,472000.0,39900000.0,77.3,399000.0,472000.0,67391676.0,0.0,,,,,,,,,,,,
SHS,HSS 200x200x12,200,200,12,16.67,16.67,36,36.0,67.9,800.0,8653.0,3936.0,3936.0,49800000.0,75.9,498000.0,601000.0,49800000.0,75.9,498000.0,601000.0,88444224.0,0.0,,,,,,,,,,,,
SHS,HSS 250x250x6,250,250,6,41.67,41.67,18,18.0,45.2,1000.0,5763.0,2784.0,2784.0,56700000.0,99.2,454000.0,524000.0,56700000.0,99.2,454000.0,524000.0,90041856.0,0.0,,,,,,,,,,,,
SHS,HSS 250x250x8,250,250,8,31.25,31.25,24,24.0,59.5,1000.0,7579.0,3616.0,3616.0,73200000.0,98.2,585000.0,683000.0,73200000.0,98.2,585000.0,683000.0,119071744.0,0.0,,,,,,,,,,,,
SHS,HSS 250x250x9,250,250,9,27.78,27.78,27,27.0,66.5,1000.0,8467.0,4014.0,4014.0,80900000.0,97.8,647000.0,759000.0,80900000.0,97.8,647000.0,759000.0,133402176.0,0.0,,,,,,,,,,,,
SHS,HSS 250x250x12,250,250,12,20.83,20.83,36,36.0,86.8,1000.0,6963.0,5136.0,5136.0,103000000.0,96.3,820000.0,975000.0,103000000.0,96.3,820000.0,975000.0,175655424.0,0.0,,,,,,,,,,,,
SHS,HSS 250x250x16,250,250,16,15.63,15.63,48,48.0,54.7,1000.0,11050.0,6464.0,6464.0,128000000.0,94.4,1020000.0,1240000.0,128000000.0,94.4,1020000.0,1240000.0,230270976.0,0.0,,,,,,,,,,,,
SHS,HSS 300x300x6,300,300,6,50.00,50.00,18,18.0,80.6,1200.0,14320.0,3384.0,3384.0,99600000.0,120.0,664000.0,764000.0,99600000.0,120.0,664000.0,764000.0,156650256.0,0.0,,,,,,,,,,,,
SHS,HSS 300x300x9,300,300,9,33.33,33.33,27,27.0,94.7,1200.0,10270.0,4914.0,4914.0,143000000.0,118.0,956000.0,1110000.0,143000000.0,118.0,956000.0,1110000.0,232577676.0,0.0,,,,,,,,,,,,
SHS,HSS 300x300x12,300,300,12,25.00,25.00,36,36.0,112,1200.0,13450.0,6336.0,6336.0,183000000.0,117.0,1220000.0,1440000.0,183000000.0,117.0,1220000.0,1440000.0,306906624.0,0.0,,,,,,,,,,,,
SHS,HSS 300x300x16,300,300,16,18.75,18.75,48,48.0,106,1200.0,17520.0,8064.0,8064.0,231000000.0,115.0,1540000.0,1840000.0,231000000.0,115.0,1540000.0,1840000.0,403525376.0,0.0,,,,,,,,,,,,
SHS,HSS 300x300x19,300,300,19,15.79,15.79,57,57.0,138,1200.0,20430.0,9234.0,9234.0,262000000.0,113.0,1750000.0,2120000.0,262000000.0,113.0,1750000.0,2120000.0,474124556.0,0.0,,,,,,,,,,,,
SHS,HSS 350x350x9,350,350,9,38.89,38.89,27,27.0,160,1400.0,12070.0,5814.0,5814.0,232000000.0,139.0,1320000.0,1530000.0,232000000.0,139.0,1320000.0,1530000.0,371668176.0,0.0,,,,,,,,,,,,
SHS,HSS 350x350x12,350,350,12,29.17,29.17,36,36.0,124,1400.0,15850.0,7536.0,7536.0,298000000.0,137.0,1700000.0,1990000.0,298000000.0,137.0,1700000.0,1990000.0,491197824.0,0.0,,,,,,,,,,,,
SHS,HSS 350x350x16,350,350,16,21.88,21.88,48,48.0,163,1400.0,20720.0,9664.0,9664.0,379000000.0,135.0,2160000.0,2570000.0,379000000.0,135.0,2160000.0,2570000.0,647179776.0,0.0,,,,,,,,,,,,
SHS,HSS 350x350x19,350,350,19,18.42,18.42,57,57.0,190,1400.0,24230.0,11134.0,11134.0,434000000.0,134.0,2480000.0,2970000.0,434000000.0,134.0,2480000.0,2970000.0,761623056.0,0.0,,,,,,,,,,,,
SHS,HSS 350x350x22,350,350,22,15.91,15.91,66,66.0,217,1400.0,27620.0,12496.0,12496.0,484000000.0,132.0,2760000.0,3340000.0,484000000.0,132.0,2760000.0,3340000.0,873886464.0,0.0,,,,,,,,,,,,
SHS,HSS 400x400x9,400,400,9,44.44,44.44,27,27.0,109,1600.0,13870.0,6714.0,6714.0,351000000.0,159.0,1750000.0,2020000.0,351000000.0,159.0,1750000.0,2020000.0,557423676.0,0.0,,,,,,,,,,,,
SHS,HSS 400x400x12,400,400,12,33.33,33.33,36,36.0,143,1600.0,18250.0,8736.0,8736.0,453000000.0,158.0,2270000.0,2640000.0,453000000.0,158.0,2270000.0,2640000.0,737529024.0,0.0,,,,,,,,,,,,
SHS,HSS 400x400x16,400,400,16,25.00,25.00,48,48.0,188,1600.0,23920.0,11264.0,11264.0,579000000.0,156.0,2900000.0,3410000.0,579000000.0,156.0,2900000.0,3410000.0,973234176.0,0.0,,,,,,,,,,,,
SHS,HSS 400x400x19,400,400,19,21.05,21.05,57,57.0,220,1600.0,28030.0,13034.0,13034.0,660000000.0,154.0,3330000.0,3960000.0,660000000.0,154.0,3330000.0,3960000.0,1146686556.0,0.0,,,,,,,,,,,,
SHS,HSS 400x400x22,400,400,22,18.18,18.18,66,66.0,251,1600.0,32020.0,14696.0,14696.0,747000000.0,153.0,3740000.0,4480000.0,747000000.0,153.0,3740000.0,4480000.0,1317287664.0,0.0,,,,,,,,,,,,
SHS,HSS 400x400x25,400,400,25,16.00,16.00,75,75.0,282,1600.0,35890.0,16250.0,16250.0,822000000.0,151.0,4110000.0,4970000.0,822000000.0,151.0,4110000.0,4970000.0,1485037500.0,0.0,,,,,,,,,,,,
SHS,HSS 450x450x9,450,450,9,50.00,50.00,27,27.0,123,1800.0,15670.0,7614.0,7614.0,504000000.0,179.0,2240000.0,2580000.0,504000000.0,179.0,2240000.0,2580000.0,796594176.0,0.0,,,,,,,,,,,,
SHS,HSS 450x450x12,450,450,12,37.50,37.50,36,36.0,162,1800.0,20650.0,9936.0,9936.0,654000000.0,178.0,2910000.0,3370000.0,654000000.0,178.0,2910000.0,3370000.0,1054900224.0,0.0,,,,,,,,,,,,
SHS,HSS 450x450x16,450,450,16,28.13,28.13,48,48.0,213,1800.0,27120.0,12864.0,12864.0,841000000.0,176.0,3740000.0,4380000.0,841000000.0,176.0,3740000.0,4380000.0,1393688576.0,0.0,,,,,,,,,,,,
SHS,HSS 450x450x19,450,450,19,23.68,23.68,57,57.0,250,1800.0,31830.0,14934.0,14934.0,971000000.0,175.0,4310000.0,5090000.0,971000000.0,175.0,4310000.0,5090000.0,1643565056.0,0.0,,,,,,,,,,,,
SHS,HSS 450x450x22,450,450,22,20.45,20.45,66,66.0,286,1800.0,36420.0,16896.0,16896.0,1090000000.0,173.0,4850000.0,5780000.0,1090000000.0,173.0,4850000.0,5780000.0,1889828864.0,0.0,,,,,,,,,,,,
SHS,HSS 450x450x25,450,450,25,18.00,18.00,75,75.0,321,1800.0,40890.0,18750.0,18750.0,1210000000.0,172.0,5360000.0,6430000.0,1210000000.0,172.0,5360000.0,6430000.0,2132480000.0,0.0,,,,,,,,,,,,
SHS,HSS 500x500x12,500,500,12,41.67,41.67,36,36.0,181,2000.0,23050.0,11136.0,11136.0,908000000.0,198.0,3630000.0,4200000.0,908000000.0,198.0,3630000.0,4200000.0,1452311424.0,0.0,,,,,,,,,,,,
SHS,HSS 500x500x16,500,500,16,31.25,31.25,48,48.0,238,2000.0,30320.0,14464.0,14464.0,1170000000.0,196.0,4680000.0,5460000.0,1170000000.0,196.0,4680000.0,5460000.0,1920542976.0,0.0,,,,,,,,,,,,
SHS,HSS 500x500x19,500,500,19,26.32,26.32,57,57.0,280,2000.0,35630.0,16834.0,16834.0,1360000000.0,195.0,5420000.0,6370000.0,1360000000.0,195.0,5420000.0,6370000.0,2266508556.0,0.0,,,,,,,,,,,,
