id,specimen_designation,experimental_program,date,specimen_type,piece,loading,loading_protocol,location_coupon,section_type,section_profile,steel_type,coupon_direction,crack_opening_direction,plate_thickness,f_yn,f_un,fy_m,fu_m,elongation_fr,temperature,chemical_composition_C,chemical_composition_Si,chemical_composition_Mn,chemical_composition_P,chemical_composition_S,chemical_composition_Cu,chemical_composition_Ni,chemical_composition_Cr,chemical_composition_V,chemical_composition_Nb,chemical_composition_Mo,chemical_composition_Ti,chemical_composition_Al,chemical_composition_N,gauge_length,nom_notch_radius,nom_whole_diameter_cnt,nom_notch_diameter_cnt,nom_notch_width,nom_width_gp,nom_whole_thickness_gp,nom_notch_thickness_gp,meas_whole_diameter_cnt,meas_notch_diameter_cnt,meas_notch_width,meas_width_gp,meas_whole_thickness_gp,meas_notch_thickness_gp,disp_fract,exc_at_fract,step_fract,fract_loc,young_mod,nu,triax_at_fr,triax_avg_till_fr,lode_at_fr,lode_avg_till_fr,peeq_at_fr,cvgm_etamono,cvgm_lambda,swdfm_alpha_pos,swdfm_alpha_neg,swdfm_kappa,swdfm_C,swdfm_beta,kk_alpha_1,kk_alpha_2,kk_beta_1,kk_beta_2,kk_d_cr,l_star,reference,link,latitude,longitude
Skiadopoulos_and_Lignos_CNT_EXT_M_C3_R1_0,CNT_EXT_M_C3_R1_0,Skiadopoulos and Lignos,2026,CNT,EXT_5,monotonic,"[0,2]",column flange,wide flange,H498x432x45/70,SM490A,longitudinal,thickness/width,70,295,490,368,531,36,20,0.16,0.3,1.4,0.017,0.004,0.01,0.01,0.02,0.042,0,0.006,0.001,0.032,0.004,20,1,8,5,2,NA,NA,NA,"[7.99, 7.98, 7.98, 7.98]","[5.02, 5.02, 5.01, 5.00]","[1.93, 1.94, 1.95, 1.96]",NA,NA,NA,1.176,1,8774,center,205000,0.3,NR,1.30534,1,1.0034,0.4436,6.1,0.6,1.3,1.3,0.3,0.25,2.75,0.85,-0.25,-0.25,-1.9,1,0.3,"Skiadopoulos, A., and Lignos, D. (2026), Ductile crack initiation in welded connections with highly dissipative panel zones, Journal of Constructional Steel Research 240 110258.doi:10.1016/j.jcsr.2026.110258.",https://www.sciencedirect.com/science/article/pii/S0143974X26000271?via%3Dihub,46.5172,6.5689
Skiadopoulos_and_Lignos_CNT_EXT_C_C3_R1_0,CNT_EXT_C_C3_R1_0,Skiadopoulos and Lignos,2026,CNT,EXT_4,cyclic_1_2,"[0,0.60,0,0.60,0,0.60,0,0.60,0,0.60,0,0.60,0,2]",column flange,wide flange,H498x432x45/70,SM490A,longitudinal,thickness/width,70,295,490,368,531,36,20,0.16,0.3,1.4,0.017,0.004,0.01,0.01,0.02,0.042,0,0.006,0.001,0.032,0.004,20,1,8,5,2,NA,NA,NA,"[7.98, 7.98, 7.99, 7.98]","[5.03, 5.04, 5.02, 5.00]","[1.91, 1.95, 1.94, 1.93]",NA,NA,NA,0.599,11,27718,edge,205000,0.3,NR,0.05178,0.79065,0.12088,4.98914,6.1,0.6,1.3,1.3,0.3,0.25,2.75,0.85,-0.25,-0.25,-1.9,1,0.3,"Skiadopoulos, A., and Lignos, D. (2026), Ductile crack initiation in welded connections with highly dissipative panel zones, Journal of Constructional Steel Research 240 110258.doi:10.1016/j.jcsr.2026.110258.",https://www.sciencedirect.com/science/article/pii/S0143974X26000271?via%3Dihub,46.5172,6.5689
Skiadopoulos_and_Lignos_CNT_EXT_M_C3_R3_0,CNT_EXT_M_C3_R3_0,Skiadopoulos and Lignos,2026,CNT,EXT_3,monotonic,"[0,2]",column flange,wide flange,H498x432x45/70,SM490A,longitudinal,thickness/width,70,295,490,368,531,36,20,0.16,0.3,1.4,0.017,0.004,0.01,0.01,0.02,0.042,0,0.006,0.001,0.032,0.004,20,3,8,5,5.2,NA,NA,NA,"[7.99, 8.00, 7.99, 8.02]","[4.98, 4.99, 5.00, 4.98]","[5.34, 5.4, 5.21, 5.15]",NA,NA,NA,1.446,1,9883,center,205000,0.3,NR,1.01305,1,1.0028,0.7354,6.1,0.6,1.3,1.3,0.3,0.25,2.75,0.85,-0.25,-0.25,-1.9,1,0.3,"Skiadopoulos, A., and Lignos, D. (2026), Ductile crack initiation in welded connections with highly dissipative panel zones, Journal of Constructional Steel Research 240 110258.doi:10.1016/j.jcsr.2026.110258.",https://www.sciencedirect.com/science/article/pii/S0143974X26000271?via%3Dihub,46.5172,6.5689
Skiadopoulos_and_Lignos_CNT_EXT_C_C3_R3_0,CNT_EXT_C_C3_R3_0,Skiadopoulos and Lignos,2026,CNT,EXT_2,cyclic_1_2,"[0,0.77,0,0.77,0,0.77,0,0.77,0,0.77,0,0.77,0,2]",column flange,wide flange,H498x432x45/70,SM490A,longitudinal,thickness/width,70,295,490,368,531,36,20,0.16,0.3,1.4,0.017,0.004,0.01,0.01,0.02,0.042,0,0.006,0.001,0.032,0.004,20,3,8,5,5.2,NA,NA,NA,"[7.99, 7.96, 7.98, 7.99]","[4.98, 5.01, 5.02, 4.97]","[5.21, 5.26, 5.14, 5.11]",NA,NA,NA,0.725,9,27809,center,205000,0.3,NR,0.25718,1,0.21808,2.22006,6.1,0.6,1.3,1.3,0.3,0.25,2.75,0.85,-0.25,-0.25,-1.9,1,0.3,"Skiadopoulos, A., and Lignos, D. (2026), Ductile crack initiation in welded connections with highly dissipative panel zones, Journal of Constructional Steel Research 240 110258.doi:10.1016/j.jcsr.2026.110258.",https://www.sciencedirect.com/science/article/pii/S0143974X26000271?via%3Dihub,46.5172,6.5689
Skiadopoulos_and_Lignos_CNT_EXT_M_C3_R10_0,CNT_EXT_M_C3_R10_0,Skiadopoulos and Lignos,2026,CNT,EXT_1,monotonic,"[0,2]",column flange,wide flange,H498x432x45/70,SM490A,longitudinal,thickness/width,70,295,490,368,531,36,20,0.16,0.3,1.4,0.017,0.004,0.01,0.01,0.02,0.042,0,0.006,0.001,0.032,0.004,20,10,8,5,10.54,NA,NA,NA,"[8.02, 8.01, 8.02, 8.01]","[5.02, 5.03, 5.01, 5.00]","[10.4, 10.56, 10.51, 10.66]",NA,NA,NA,2.372,1,13663,center,205000,0.3,NR,0.88299,1,1.0017,1.2638,6.1,0.6,1.3,1.3,0.3,0.25,2.75,0.85,-0.25,-0.25,-1.9,1,0.3,"Skiadopoulos, A., and Lignos, D. (2026), Ductile crack initiation in welded connections with highly dissipative panel zones, Journal of Constructional Steel Research 240 110258.doi:10.1016/j.jcsr.2026.110258.",https://www.sciencedirect.com/science/article/pii/S0143974X26000271?via%3Dihub,46.5172,6.5689
Skiadopoulos_and_Lignos_CNT_EXT_C_C3_R10_0,CNT_EXT_C_C3_R10_0,Skiadopoulos and Lignos,2026,CNT,EXT_0,cyclic_1_2,"[0,1.2,0,1.2,0,1.2,0,1.2,0,1.2,0,1.2,0,2]",column flange,wide flange,H498x432x45/70,SM490A,longitudinal,thickness/width,70,295,490,368,531,36,20,0.16,0.3,1.4,0.017,0.004,0.01,0.01,0.02,0.042,0,0.006,0.001,0.032,0.004,20,10,8,5,10.54,NA,NA,NA,"[7.99, 8.00, 8.01, 8.00]","[5.02, 5.00, 4.99, 5.00]","[10.5, 10.67, 10.56, 10.47]",NA,NA,NA,0.662,11,51031,center,205000,0.3,NR,-0.01126,0.61952,0.07299,6.12678,6.1,0.6,1.3,1.3,0.3,0.25,2.75,0.85,-0.25,-0.25,-1.9,1,0.3,"Skiadopoulos, A., and Lignos, D. (2026), Ductile crack initiation in welded connections with highly dissipative panel zones, Journal of Constructional Steel Research 240 110258.doi:10.1016/j.jcsr.2026.110258.",https://www.sciencedirect.com/science/article/pii/S0143974X26000271?via%3Dihub,46.5172,6.5689
Ozden_et_al_CNT_M_R0_5_C1,CNT_M_R0_5_C1,Ozden et al.,2023,CNT,M_R0_5_C1,monotonic,"[0,2]",beam flange,wide flange,IPE330,S355-J2-AR,longitudinal,thickness/width,11.5,355,490,NR,NR,NR,20,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,20,0.5,6,4,1,NA,NA,NA,"[5.94,5.95,5.97,5.93,5.94]",NA,"[1.1,1.09,1.12,1.11,1.11]",NA,NA,NA,0.96,1,8009,center,180451,0.3,NR,1.46071,1,1,0.60738,5.5,0.35,1.3,1.3,-1.85,0.24,1.7,0.7,-0.1,2.2,4.4,1,NR,"Ozden, S., de Castro e Sousa, A. and Lignos, D. (2023), Digital-Image-Correlation for Simulating Cyclic Local Buckling in Steel Beams. ce/papers, 6: 1717-1722. https://doi.org/10.1002/cepa.2671",https://onlinelibrary.wiley.com/doi/abs/10.1002/cepa.2671,46.5172,6.5689
Ozden_et_al_CNT_M_R0_5_C2,CNT_M_R0_5_C2,Ozden et al.,2023,CNT,M_R0_5_C2,monotonic,"[0,2]",beam flange,wide flange,IPE330,S355-J2-AR,longitudinal,thickness/width,11.5,355,490,NR,NR,NR,20,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,20,0.5,6,4,1,NA,NA,NA,"[5.90,5.90,5.92,5.88,5.87]",NA,"[1.09,1.13,1.05,1.09,1.06]",NA,NA,NA,0.945,1,7873,center,180451,0.3,NR,1.45649,1,1,0.58697,5.5,0.35,1.3,1.3,-1.85,0.24,1.7,0.7,-0.1,2.2,4.4,1,NR,"Ozden, S., de Castro e Sousa, A. and Lignos, D. (2023), Digital-Image-Correlation for Simulating Cyclic Local Buckling in Steel Beams. ce/papers, 6: 1717-1722. https://doi.org/10.1002/cepa.2671",https://onlinelibrary.wiley.com/doi/abs/10.1002/cepa.2671,46.5172,6.5689
Ozden_et_al_CNT_M_R0_5_C3,CNT_M_R0_5_C3,Ozden et al.,2023,CNT,M_R0_5_C3,monotonic,"[0,2]",beam flange,wide flange,IPE330,S355-J2-AR,longitudinal,thickness/width,11.5,355,490,NR,NR,NR,20,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,20,0.5,6,4,1,NA,NA,NA,"[5.90,5.90,5.96,5.92,5.93]",NA,"[1.15,1.19,1.16,1.11,1.07]",NA,NA,NA,0.98,1,7955,center,180451,0.3,NR,1.46879,1,1,0.64914,5.5,0.35,1.3,1.3,-1.85,0.24,1.7,0.7,-0.1,2.2,4.4,1,NR,"Ozden, S., de Castro e Sousa, A. and Lignos, D. (2023), Digital-Image-Correlation for Simulating Cyclic Local Buckling in Steel Beams. ce/papers, 6: 1717-1722. https://doi.org/10.1002/cepa.2671",https://onlinelibrary.wiley.com/doi/abs/10.1002/cepa.2671,46.5172,6.5689
Ozden_et_al_CNT_M_R0_5_C4,CNT_M_R0_5_C4,Ozden et al.,2023,CNT,M_R0_5_C4,monotonic,"[0,2]",beam flange,wide flange,IPE330,S355-J2-AR,longitudinal,thickness/width,11.5,355,490,NR,NR,NR,20,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,20,0.5,6,4,1,NA,NA,NA,"[5.84,5.87,5.85,5.85,5.88]",NA,"[1.14,1.13,1.10,1.11,1.10]",NA,NA,NA,0.98,1,7959,center,180451,0.3,NR,1.46879,1,1,0.64914,5.5,0.35,1.3,1.3,-1.85,0.24,1.7,0.7,-0.1,2.2,4.4,1,NR,"Ozden, S., de Castro e Sousa, A. and Lignos, D. (2023), Digital-Image-Correlation for Simulating Cyclic Local Buckling in Steel Beams. ce/papers, 6: 1717-1722. https://doi.org/10.1002/cepa.2671",https://onlinelibrary.wiley.com/doi/abs/10.1002/cepa.2671,46.5172,6.5689
