coordinate,residual_stress
14.63414634,4.76190476190476
29.6534018,-10.4761904761905
45.05776637,-12.3809523809524
60.46213094,-10.4761904761905
74.71116816,-2.85714285714286
89.34531451,14.2857142857143
105.1347882,21.9047619047619
119.7689345,54.2857142857143
135.9435173,92.3809523809524
150.5776637,103.809523809524
164.4415918,94.2857142857143
180.2310655,60
194.8652118,44.7619047619048
209.114249,33.3333333333333
224.5186136,4.76190476190476
239.1527599,6.66666666666667
254.1720154,0.952380952380949
268.4210526,-0.952380952380949
284.2105263,-8.57142857142857
