coordinate,residual_stress
8.51974522292994,-15.2808988764045
18.9031847133758,-9.43820224719101
30.0853503184713,-3.14606741573034
39.9363057324841,4.04494382022472
50.8522292993631,9.8876404494382
66.2942675159236,14.8314606741573
79.340127388535,18.4269662921348
94.515923566879,20.2247191011236
111.555414012739,19.3258426966292
123.270063694268,16.6292134831461
133.653503184713,13.0337078651685
146.699363057325,6.74157303370786
161.076433121019,-4.9438202247191
172.791082802548,-13.0337078651685
186.635668789809,-19.7752808988764
199.415286624204,-25.6179775280899
