column_name,description,symbol,unit,type,example_value,nullable
hidden_index,Internal index for database management,i,-,integer,0,false
experimental_program,Name of the research program/investigators,prog,-,string,El Jisr & Lignos,false
id,Unique specimen identifier,id,-,string,LP4_S1_D,false
profile_type,Type of steel section,type,-,string,wide flange,false
profile,Steel section designation,sect,-,string,HEM320,false
source,Location of specimen extraction,src,-,string,web,false
thickness,Thickness of the specimen,t,mm,float,21,false
grade,Steel grade designation,grade,-,string,S355,false
spec,Steel specification suffix,spec,-,string,J2+M,false
lp,Loading protocol identifier,lp,-,string,LP4,false
size,Specimen size designation,size,-,string,M20,false
gage_length__mm_,Gage length of the specimen,L_g,mm,float,20,false
avg_reduced_dia__mm_,Average reduced diameter,d_r,mm,float,9.98,true
avg_fractured_dia_top__mm_,Average fracture diameter at top,d_ft,mm,float,5.37333,true
avg_fractured_dia_bot__mm_,Average fracture diameter at bottom,d_fb,mm,float,6.00333,true
fy_n__mpa_,Nominal yield strength,f_y_n,MPa,float,355,false
fu_n__mpa_,Nominal ultimate strength,f_u_n,MPa,float,490,false
t_a__deg_c_,Ambient temperature,T_a,°C,float,19.5,true
date,Test date,date,-,date,07.10.2020,false
investigator,Name of test operator,inv,-,string,Selimcan,false
location,Testing facility location,loc,-,string,EPFL GIS,false
machine,Testing machine model,mach,-,string,Schenck Trebel 500 kN,false
pid_force_k_p,Force PID proportional gain,K_p_F,-,float,0.07,true
pid_force_t_i,Force PID integral time,T_i_F,s,float,1.5,true
pid_force_t_d,Force PID derivative time,T_d_F,s,float,0,true
pid_disp_k_p,Displacement PID proportional gain,K_p_d,-,float,8.8,true
pid_disp_t_i,Displacement PID integral time,T_i_d,s,float,0.5,true
pid_disp_t_d,Displacement PID derivative time,T_d_d,s,float,0,true
pid_extenso_k_p,Extensometer PID proportional gain,K_p_e,-,float,7.5,true
pid_extenso_t_i,Extensometer PID integral time,T_i_e,s,float,50,true
pid_extenso_t_d,Extensometer PID derivative time,T_d_e,s,float,0,true
yield_stress__mpa_,Measured yield stress,f_y,MPa,float,397.8143069,true
elastic_modulus__mpa_,Measured elastic modulus,E,MPa,float,202083.802,true
fracture_strain,Measured fracture strain,ε_f,-,float,1.118311687,true
c,Carbon content,C,wt%,float,0.09,true
si,Silicon content,Si,wt%,float,0.24,true
mn,Manganese content,Mn,wt%,float,1.38,true
p,Phosphorus content,P,wt%,float,0.018,true
s,Sulfur content,S,wt%,float,0.021,true
n,Nitrogen content,N,wt%,float,0.0037,true
cu,Copper content,Cu,wt%,float,0.23,true
mo,Molybdenum content,Mo,wt%,float,0.04,true
ni,Nickel content,Ni,wt%,float,0.14,true
cr,Chromium content,Cr,wt%,float,0.1,true
v,Vanadium content,V,wt%,float,0.041,true
nb,Niobium content,Nb,wt%,float,0.008,true
ti,Titanium content,Ti,wt%,float,0.002,true
al,Aluminum content,Al,wt%,float,0.011,true
b,Boron content,B,wt%,float,0.0001,true
zr,Zirconium content,Zr,wt%,float,0.001,true
sn,Tin content,Sn,wt%,float,0.002,true
ca,Calcium content,Ca,wt%,float,0.0002,true
h,Hydrogen content,H,wt%,float,0.0002,true
fe,Iron content,Fe,wt%,float,97.5,true
file,Path to raw data file,file,-,string,Clean_Data/S355J2_HEM320/WP3_HEM320_D_CRM20/LP4_Specimen_1_processed_data.csv,true
reference,Publication reference,ref,-,string,El Jisr H. Lignos D.G. (2022),true
link,URL to publication,url,-,string,https://infoscience.epfl.ch/record/292178,true
latitude,Testing facility latitude,lat,deg,float,46.5191,true
longitude,Testing facility longitude,lon,deg,float,6.5668,true
citekey,Citation key for reference,cite,-,string,ElJisrRoleCompositeFloor2022,true
uvc_phi__prct_,UVC model parameter phi,φ,%,float,5.449895087,true
uvc_e__mpa_,UVC model elastic modulus,E_uvc,MPa,float,181.0519,true
uvc_sigma__mpa_,UVC model stress parameter,σ_uvc,MPa,float,411.1091,true
uvc_q__mpa_,UVC model parameter Q,Q,MPa,float,116.3773,true
uvc_b,UVC model parameter b,b,-,float,16.56587,truegit diff --word-diff-regex=.
uvc_d__mpa_,UVC model parameter D,D,MPa,float,131.8686,true
uvc_a,UVC model parameter a,a,-,float,188.0333,true
uvc_c1__mpa_,UVC model parameter C1,C1,MPa,float,21161.27,true
uvc_g1,UVC model parameter γ1,γ1,-,float,210.4413,true
uvc_c2__mpa_,UVC model parameter C2,C2,MPa,float,1706.608,true
uvc_g2,UVC model parameter γ2,γ2,-,float,16.5007,true
hidden_dataset_index,Internal dataset index,ds,-,integer,4,false
uvc_sigma_sat__mpa_,UVC model saturation stress,σ_sat,MPa,float,599.6008399,true
uvc_sigma_hard__mpa_,UVC model hardening stress,σ_hard,MPa,float,320.3603399,true
uvc_rho_yield,UVC model yield ratio,ρ_y,-,float,1.458495664,true
uvc_rho_iso,UVC model isotropic ratio,ρ_iso,-,float,0.363269998,true
uvc_rho_kin,UVC model kinematic ratio,ρ_kin,-,float,0.636730002,true
uvc_rho_d,UVC model damage ratio,ρ_d,-,float,0.411625859,true
