id,experimental_program,date,specimen_designation,northridge,specimen_type,comments,loading_protocol,slab,connection_type,t_pl,rbs_cut,s_h,d_h,section_b,d_b,d_bg,t_bw,b_bf,t_bf,r_b,a_b,i_xb,z_xb,z_xb_bfp,r_yb,b_bf_rbs,d_gb_rbs,a_b_rbs,i_xb_rbs,z_xb_rbs,d_bm,d_bgm,t_bwm,b_bfm,t_bfm,z_xbm,steel_b,f_yb,f_ybw,f_ybf,f_yb_mill,f_yb_avg,l_b,l_fc,l_o,lo_db,section_c,d_c,t_cw,b_cf,c_c,t_cf,r_c,a_c,i_xc,d_cm,t_wcm,c_cm,b_fcm,t_fcm,steel_c,f_yc,f_ydp,f_ycw,f_ycf,f_yc_mill,f_yc_avg,h_c,backing_bar,electrode,d_electrode,cvn_0f,cvn_minus20f,cvn_70f,access_hole_geometry,w,w_l,w_r,h_t,a_s,f_sk,f_sm,h_co,slab_con_type,f_ck,f_cm,cur_days,f_c_compr_calc,d,h_sc,n_studs,n_diss,n_r,f_u_sc,h_p,b_o,deck_ribs_orientation,section_shape_c,d_pz,tw_pz,bf_pz,tf_pz,dz,zw,dz_plug,wz_plug,wd,n_dp,t_dp,t_dp_tot,t_p,t_cp,d_cp,db_plus,db_minus,a_vc,fy_pz_m,p_cm,n_pm,v_pz_el_m_europe,r_n_el_m_aisc,r_n_pl_m_aisc,v_pz_m_aij,fy_pz_n,p_cn,n_pn,v_pz_el_n_europe,r_n_el_n_aisc,r_n_pl_n_aisc,v_pz_n_aij,m_cf_minus_n,m_cf_plus_n,m_cf_minus_m,m_cf_plus_m,v_bf_plus_n,v_bf_minus_n,v_col_n,r_u_n,r_u_m,ru_rn_el_n,ru_rn_pl_n,aisc_pz_violation_n,ru_rn_el_m,ru_rn_pl_m,aisc_pz_violation_m,g_max,g_y,g_max_g_y,reference,link,latitude,longitude
Engelhardt_et_al_2000_DBBWWPZC,Engelhardt et al.,2000,DBBWWPZC,Post,Interior - Column Loaded - Subassembly,NA,Ramped Symmetric Cyclic AISC,YES,RBS,NA,0.4,571.5,NA,W36x150,911.225,455.6125,15.875,304.8,23.8125,20.066,28516.072,3762732087,9520884.184,NA,62.81554434,182.88,455.6125,22709.632,2619587840,6944530.466,NR,NR,NR,NR,NR,NR,ASTM A572 Gr. 50,344.7379543,409.5486898,374.3854184,365.2252385,391.4647216,7620,7194.55,3597.275,3.947735192,W14x283,425.45,32.766,409.575,254,52.578,20.066,53741.828,1598328674,NR,NR,NR,NR,NR,ASTM A572 Gr. 50,344.7379543,0,351.6327134,330.9484362,361.2292411,335.001089,3708.4,No,E70T-6,1.7272,NR,NR,NR,AISC-360-16,2438.4,1219.2,1219.2,139.7,414.8666667,NR,NR,88.9,NWC,27.57903635,24.82113271,28,24.82113271,19.05,120.65,9,0,1,448.1593406,50.8,127,parallel,H,425.45,32.766,409.575,52.578,863.6,320.294,NA,NA,0,0,0,0,32.766,25.4,320.294,994.56875,887.4125,14505.39034,335.001089,0,0,2915.597767,2941.118191,3681.317671,2830.092299,344.7379543,0,0,2858.429184,2883.449207,3654.490332,2774.600293,NA,NA,3716.810053,4115.775168,4138.251044,4188.367927,2237.020132,NA,6089.598838,2.111914725,1.666333273,yes,2.070504632,1.654189989,yes,0.060133368,0.002639197,22.78471831,"Engelhardt, M. D., Venti, M. J., Fry, G. T., Jones, S. L., and Holliday, S. D. (2000). Behavior and design of radius cut reduced beam section connections. Report No. SAC/BD-00/17, SAC Joint Venture, Sacramento, CA, USA.",https://store.atcouncil.org/index.php?dispatch=products.view&product_id=132,30.284918,-97.734057
Ricles_et_al_2004_SPEC-1,Ricles et al.,2004,SPEC-1,Post,Interior - Column Loaded - Subassembly,NA,Ramped Symmetric Cyclic AISC,YES,RBS,NA,0.5,571.5,NA,W36x150,911.225,455.6125,15.875,304.8,23.8125,20.066,28516.072,3762732087,9520884.184,NA,62.81554434,152.4,455.6125,21258.022,2333801779,6300442.036,NR,NR,NR,NR,NR,NR,ASTM A572 Gr. 50,344.7379543,377.832798,342.6695266,NR,359.7488298,8991.6,8079.74,4039.87,4.433449477,W36x230,911.86,19.304,419.1,787.908,32.004,29.972,44857.68681,6174507618,NR,NR,NR,NR,NR,ASTM A572 Gr. 50,344.7379543,401.2749789,393.0012679,355.7695689,393.6907439,369.8777161,3962.4,No,E70T-6,1.7272,NR,NR,NR,AISC-360-16,1524,1219.2,304.8,133.35,169.3333333,NR,NR,82.55,NWC,34.47379543,36.33538039,14 to 22,36.33538039,19.05,114.3,9,0,1,448.1593406,50.8,127,parallel,H,911.86,19.304,419.1,32.004,863.6,847.852,304.8,304.8,800.1,1,6.35,6.35,25.654,44.45,847.852,991.39375,887.4125,20568.187,369.8777161,0,0,5427.837271,5516.053345,5817.730109,5307.824806,344.7379543,0,0,4761.260764,4838.643285,5130.965731,4655.986672,NA,NA,3036.059089,3424.251422,3453.977213,3421.248956,1814.406824,NA,5060.819345,1.045917016,0.986328814,no,0.917471066,0.869895862,no,0.012712759,0.002949691,4.309860982,"Ricles, J. M., Zhang, X., Lu, L.-W., and Fisher, J. W. (2004). Development of seismic guidelines for deep-column steel moment connections. ATLSS Report No. 04-13, Lehigh University, Bethlehem, PA, USA.",https://www.aisc.org/technical-resources/research/researchlibrary/development-of-seismic-guidelines-for-deep-column-steel-moment-connections/,40.608028,-75.376194
Ricles_et_al_2004_SPEC-2,Ricles et al.,2004,SPEC-2,Post,Interior - Column Loaded - Subassembly,NA,Ramped Symmetric Cyclic AISC,YES,RBS,NA,0.5,571.5,NA,W36x150,911.225,455.6125,15.875,304.8,23.8125,20.066,28516.072,3762732087,9520884.184,NA,62.81554434,152.4,455.6125,21258.022,2333801779,6300442.036,NR,NR,NR,NR,NR,NR,ASTM A572 Gr. 50,344.7379543,377.832798,342.6695266,NR,359.7488298,8991.6,8277.606,4138.803,4.542020906,W27x194,713.994,19.05,355.6,600.075,34.036,20.066,36903.152,3271579005,NR,NR,NR,NR,NR,ASTM A572 Gr. 50,344.7379543,327.5010566,392.311792,371.6275148,396.4486475,378.5984187,3962.4,No,E70T-6,1.7272,NR,NR,NR,AISC-360-16,1524,1219.2,304.8,133.35,169.3333333,NR,NR,82.55,NWC,34.47379543,37.43854184,14 to 22,37.43854184,19.05,114.3,9,0,1,448.1593406,50.8,127,parallel,H,713.994,19.05,355.6,34.036,863.6,645.922,304.8,304.8,609.6,1,12.7,12.7,31.75,25.4,645.922,991.39375,887.4125,14711.06735,378.5984187,0,0,4759.182653,5336.062461,5638.470632,5134.628497,344.7379543,0,0,4182.05857,4688.98283,4969.509891,4511.975832,NA,NA,3024.147759,3411.034046,3440.645098,3407.826416,1764.146851,NA,5084.324663,1.08431292,1.023103842,yes,0.952823304,0.901720519,no,0.021429856,0.002944516,7.277886733,"Ricles, J. M., Zhang, X., Lu, L.-W., and Fisher, J. W. (2004). Development of seismic guidelines for deep-column steel moment connections. ATLSS Report No. 04-13, Lehigh University, Bethlehem, PA, USA.",https://www.aisc.org/technical-resources/research/researchlibrary/development-of-seismic-guidelines-for-deep-column-steel-moment-connections/,40.608028,-75.376194
Ricles_et_al_2004_SPEC-3,Ricles et al.,2004,SPEC-3,Post,Interior - Column Loaded - Subassembly,NA,Ramped Symmetric Cyclic AISC,YES,RBS,NA,0.5,571.5,NA,W36x150,911.225,455.6125,15.875,304.8,23.8125,20.066,28516.072,3762732087,9520884.184,NA,62.81554434,152.4,455.6125,21258.022,2333801779,6300442.036,NR,NR,NR,NR,NR,NR,ASTM A992 Gr. 50,344.7379543,421.9592561,393.6907439,408.4849269,407.4211641,8991.6,8277.606,4138.803,4.542020906,W27x194,713.994,19.05,355.6,600.075,34.036,20.066,36903.152,3271579005,NR,NR,NR,NR,NR,ASTM A572 Gr. 50,344.7379543,408.8592138,403.3434066,356.4590448,389.5538884,372.2597603,3962.4,No,E70T-6,1.7272,NR,NR,NR,AISC-360-16,1524,1219.2,304.8,133.35,169.3333333,NR,NR,82.55,NWC,34.47379543,32.06062975,14 to 22,32.06062975,19.05,114.3,9,0,1,448.1593406,50.8,127,parallel,H,713.994,19.05,355.6,34.036,863.6,645.922,304.8,304.8,609.6,1,12.7,12.7,31.75,25.4,645.922,991.39375,887.4125,14711.06735,372.2597603,0,0,4893.008527,5486.109911,5776.174892,5279.011723,344.7379543,0,0,4182.05857,4688.98283,4969.509891,4511.975832,NA,NA,3424.894533,3805.344613,3838.37866,3859.416599,1982.104625,NA,5715.690633,1.218961732,1.150151777,yes,1.041847635,0.989528666,no,0.012018095,0.003027315,3.96988631,"Ricles, J. M., Zhang, X., Lu, L.-W., and Fisher, J. W. (2004). Development of seismic guidelines for deep-column steel moment connections. ATLSS Report No. 04-13, Lehigh University, Bethlehem, PA, USA.",https://www.aisc.org/technical-resources/research/researchlibrary/development-of-seismic-guidelines-for-deep-column-steel-moment-connections/,40.608028,-75.376194
Ricles_et_al_2004_SPEC-4,Ricles et al.,2004,SPEC-4,Post,Interior - Column Loaded - Subassembly,NA,Ramped Symmetric Cyclic AISC,YES,RBS,NA,0.5,571.5,NA,W36x150,911.225,455.6125,15.875,304.8,23.8125,20.066,28516.072,3762732087,9520884.184,NA,62.81554434,152.4,455.6125,21258.022,2333801779,6300442.036,NR,NR,NR,NR,NR,NR,ASTM A992 Gr. 50,344.7379543,421.9592561,393.6907439,408.4849269,407.4211641,8991.6,8079.74,4039.87,4.433449477,W36x150,911.86,15.875,304.8,815.975,23.876,20.066,28516.072,3762732087,NR,NR,NR,NR,NR,ASTM A572 Gr. 50,344.7379543,420.5803043,421.9592561,393.6907439,408.4713468,407.4065118,3962.4,No,E70T-6,1.7272,NR,NR,NR,AISC-360-16,1524,1219.2,304.8,133.35,169.3333333,NR,NR,82.55,NWC,34.47379543,33.30168639,14 to 22,33.30168639,19.05,114.3,9,0,1,448.1593406,50.8,127,parallel,H,911.86,15.875,304.8,23.876,863.6,864.108,304.8,304.8,816.102,1,9.525,9.525,25.4,25.4,864.108,991.39375,887.4125,15298.48553,407.4065118,0,0,5141.273333,5863.860773,5998.987167,5642.50266,344.7379543,0,0,4200.38671,4790.735926,4909.060264,4609.887794,NA,NA,3438.3843,3820.645063,3853.811932,3874.617835,2038.730551,NA,5689.699216,1.187646179,1.159020039,yes,0.970299166,0.948443305,no,0.014956187,0.003167037,4.722454363,"Ricles, J. M., Zhang, X., Lu, L.-W., and Fisher, J. W. (2004). Development of seismic guidelines for deep-column steel moment connections. ATLSS Report No. 04-13, Lehigh University, Bethlehem, PA, USA.",https://www.aisc.org/technical-resources/research/researchlibrary/development-of-seismic-guidelines-for-deep-column-steel-moment-connections/,40.608028,-75.376194
Ricles_et_al_2004_SPEC-5,Ricles et al.,2004,SPEC-5,Post,Interior - Column Loaded - Subassembly,NA,Ramped Symmetric Cyclic AISC,YES,RBS,NA,0.48,476.25,NA,W30x108,758.825,379.4125,14.2875,266.7,19.05,20.066,20451.572,1860554472,5669924.144,NA,54.30526166,138.684,379.4125,15574.1624,1193243081,3865831.301,NR,NR,NR,NR,NR,NR,ASTM A992 Gr. 50,344.7379543,353.0116652,344.0484784,379.2117498,348.5598829,8991.6,8295.64,4147.82,5.466108787,W27x146,695.96,15.367,355.6,600.075,24.765,20.066,27870.912,2355869869,NR,NR,NR,NR,NR,ASTM A572 Gr. 50,344.7379543,NA,398.5170752,363.3538039,396.4486475,376.0341915,3962.4,No,E70T-6,1.7272,NR,NR,NR,AISC-360-16,1524,1219.2,304.8,133.35,169.3333333,NR,NR,82.55,NWC,34.47379543,38.5417033,14 to 22,38.5417033,19.05,114.3,9,0,1,448.1593406,50.8,127,parallel,H,695.96,15.367,355.6,24.765,720.725,646.43,254,228.6,609.6,1,9.525,9.525,24.892,19.05,646.43,841.375,739.775,11632.47674,376.0341915,0,0,3728.659102,4142.306749,4330.281277,3985.936528,344.7379543,0,0,3225.483652,3583.310337,3761.654291,3448.041979,NA,NA,1750.597195,2088.906251,2482.729165,2366.391396,1050.276935,NA,3798.843625,1.060149211,1.009886431,yes,0.917084092,0.877274103,no,0.020517241,0.00299109,6.859452062,"Ricles, J. M., Zhang, X., Lu, L.-W., and Fisher, J. W. (2004). Development of seismic guidelines for deep-column steel moment connections. ATLSS Report No. 04-13, Lehigh University, Bethlehem, PA, USA.",https://www.aisc.org/technical-resources/research/researchlibrary/development-of-seismic-guidelines-for-deep-column-steel-moment-connections/,40.608028,-75.376194
Kim_and_Lee_2017_PN500-C,Kim and Lee,2017,PN500-C,Pre,Exterior - Beam Loaded - Subassembly,NA,Symmetric Cyclic,YES,WUF-W,NA,NA,NA,NA,H500X200X10X16,500,250,10,200,16,13.0048,11080,460235786.7,2096360,NA,43.89795765,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,SS400,235,306,308,NR,307.1552347,7000,6600,3300,6.6,H400x400x13x21,400,13,400,356.2677165,21,12.954,21432.29744,653615871.3,NR,NR,NR,NR,NR,SM490,325,0,370,373,NR,372.3492123,3500,Yes,NR,NR,NR,27.116359,NR,Pre-Northridge,2000,1000,1000,175,662.5166667,NR,NR,100,NWC,NR,21.0145052,28,21.0145052,19.05,120,24,2,1,400,75,150,perpenticular,H,400,13,400,21,468,358,NA,NA,0,0,0,0,13,11.938,358,617,484,5449.365443,372.3492123,0,0,1134.609461,1154.4,1391.26992,1110.821918,325,0,0,996.6164182,1014,1220.388,975.7219549,NA,NA,0,1191.883286,1931.739524,0,361.1767533,NA,1570.56277,1.548878472,1.286937245,yes,1.36050136,1.128869925,yes,0.037379657,0.002777054,13.46018395,"Kim, S.-Y., and Lee, C.-H. (2017). “Seismic retrofit of welded steel moment connections with highly composite floor slabs.” Journal of Constructional Steel Research, 139, 62–68. https://doi.org/10.1016/j.jcsr.2017.09.010.",https://doi.org/10.1016/j.jcsr.2017.09.010,37.63209182,127.0762229
Kim_and_Lee_2017_PN500C-HST,Kim and Lee,2017,PN500C-HST,Pre,Exterior - Beam Loaded - Subassembly,Retrofit - high strength shear tab ,Symmetric Cyclic,YES,WUF-W,NA,NA,NA,NA,H500X200X10X16,500,250,10,200,16,13.0048,11080,460235786.7,2096360,NA,43.89795765,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,SS400,235,306,308,NR,307.1552347,7000,6600,3300,6.6,H400x400x13x21,400,13,400,356.2677165,21,12.954,21432.29744,653615871.3,NR,NR,NR,NR,NR,SM490,325,0,370,373,NR,372.3492123,3500,Yes,NR,NR,NR,27.116359,NR,Pre-Northridge,2000,1000,1000,175,662.5166667,NR,NR,100,NWC,NR,21.0145052,28,21.0145052,19.05,120,24,2,1,400,75,150,perpenticular,H,400,13,400,21,468,358,NA,NA,0,0,0,0,13,11.938,358,617,484,5449.365443,372.3492123,0,0,1134.609461,1154.4,1391.26992,1110.821918,325,0,0,996.6164182,1014,1220.388,975.7219549,NA,NA,0,1191.883286,1931.739524,0,361.1767533,NA,1570.56277,1.548878472,1.286937245,yes,1.36050136,1.128869925,yes,0.070079657,0.002777054,25.23525222,"Kim, S.-Y., and Lee, C.-H. (2017). “Seismic retrofit of welded steel moment connections with highly composite floor slabs.” Journal of Constructional Steel Research, 139, 62–68. https://doi.org/10.1016/j.jcsr.2017.09.010.",https://doi.org/10.1016/j.jcsr.2017.09.010,37.63209182,127.0762229
Kim_and_Lee_2017_PN500C-SH,Kim and Lee,2017,PN500C-SH,Pre,Exterior - Beam Loaded - Subassembly,Retrofit - straight hanch,Symmetric Cyclic,YES,KBB,NA,NA,500,240.03,H500X200X10X16,500,250,10,200,16,13.0048,11080,460235786.7,2096360,NA,43.89795765,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,SS400,235,306,308,NR,307.1552347,7000,6600,3300,6.6,H400x400x13x21,400,13,400,356.2677165,21,12.954,21432.29744,653615871.3,NR,NR,NR,NR,NR,SM490,325,0,370,373,NR,372.3492123,3500,Yes,NR,NR,NR,27.116359,NR,Pre-Northridge,2000,1000,1000,175,662.5166667,NR,NR,100,NWC,NR,21.0145052,28,21.0145052,19.05,120,24,2,1,400,75,150,perpenticular,H,400,13,400,21,468,358,NA,NA,0,0,0,0,13,11.938,358,857.03,732.03,5449.365443,372.3492123,0,0,1134.609461,1154.4,1391.26992,1110.821918,325,0,0,996.6164182,1014,1220.388,975.7219549,NA,NA,0,1404.719587,1639.055327,0,425.6726022,NA,1213.382725,1.196629906,0.994259797,no,1.051093837,0.872140415,no,0.013579657,0.002777054,4.889950773,"Kim, S.-Y., and Lee, C.-H. (2017). “Seismic retrofit of welded steel moment connections with highly composite floor slabs.” Journal of Constructional Steel Research, 139, 62–68. https://doi.org/10.1016/j.jcsr.2017.09.010.",https://doi.org/10.1016/j.jcsr.2017.09.010,37.63209182,127.0762229
Kim_and_Lee_2017_PN500C-TH,Kim and Lee,2017,PN500C-TH,Pre,Exterior - Beam Loaded - Subassembly,Retrofit - triangular hanch,Symmetric Cyclic,YES,KBB,NA,NA,250,160.02,H500X200X10X16,500,250,10,200,16,13.0048,11080,460235786.7,2096360,NA,43.89795765,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,SS400,235,306,308,NR,307.1552347,7000,6600,3300,6.6,H400x400x13x21,400,13,400,356.2677165,21,12.954,21432.29744,653615871.3,NR,NR,NR,NR,NR,SM490,325,0,370,373,NR,372.3492123,3500,YEs,NR,NR,NR,27.116359,NR,Pre-Northridge,2000,1000,1000,175,662.5166667,NR,NR,100,NWC,NR,21.0145052,28,21.0145052,19.05,120,24,2,1,400,75,150,perpenticular,H,400,13,400,21,468,358,NA,NA,0,0,0,0,13,11.938,358,777.02,652.02,5449.365443,372.3492123,0,0,1134.609461,1154.4,1391.26992,1110.821918,325,0,0,996.6164182,1014,1220.388,975.7219549,NA,NA,0,1289.578637,1659.646647,0,390.7814053,NA,1268.865241,1.251346392,1.039722811,yes,1.099155614,0.91201946,no,0.022479657,0.002777054,8.094785869,"Kim, S.-Y., and Lee, C.-H. (2017). “Seismic retrofit of welded steel moment connections with highly composite floor slabs.” Journal of Constructional Steel Research, 139, 62–68. https://doi.org/10.1016/j.jcsr.2017.09.010.",https://doi.org/10.1016/j.jcsr.2017.09.010,37.63209182,127.0762229
Uang_et_al_2000_NIST-2C,Uang et al.,2000,NIST-2C,Post,Interior - Beam Loaded - Subassembly,Hanch - Retrofit,Symmetric Cyclic,YES,KBB,NA,NA,457.2,266.7,W36x150,911.225,455.6125,15.875,304.8,23.8125,20.066,28516.072,3762732087,9520884.184,NA,NA,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,ASTM A36,248.2113271,337.8431953,327.5010566,NR,332.5243811,6731,6257.925,3128.9625,3.433797909,W14x426,473.075,47.625,425.45,254,77.089,14.986,80645,2747127409,NR,NR,NR,NR,NR,ASTM A572 Gr. 50,344.7379543,0,420.5803043,NR,NR,NA,3657.6,Yes,AWS E71T-8,1.8288,NR,27.116359,NR,Pre-Northridge,2438.4,1219.2,1219.2,158.75,63.5,NR,NR,82.55,LWC,34.47379543,NR,NR,34.47379543,19.05,139.7,10,1,1,448.1593406,76.2,114.3,perpenticular,H,473.075,47.625,425.45,77.089,863.6,318.897,NA,NA,0,0,0,0,47.625,0,318.897,1283.49375,1166.01875,22530.19688,NA,0,0,4923.747799,5685.454234,NA,5470.830888,344.7379543,0,0,4035.858852,4660.208389,6381.955373,4484.287613,NA,NA,4263.842211,4454.665886,3470.734381,3656.752699,2563.865292,NA,4563.621788,0.979274188,0.715082059,no,0.802683761,NA,NA,0.007257465,0.003156687,2.299076563,"Uang, C.-M., Yu, Q.-S. “Kent,” Noel, S., and Gross, J. (2000). “Cyclic testing of steel moment connections rehabilitated with RBS or welded haunch.” Journal of Structural Engineering, 126(1), 57–68. https://doi.org/10.1061/(ASCE)0733-9445(2000)126:1(57).",https://doi.org/10.1061/(ASCE)0733-9445(2000)126:1(57),32.88006,-117.234014
DEMO-CON-001,DEMO Sample Program 2025,1973,DEMO-SPEC-01,Demo value,DEMO-SPEC-01,Synthetic record for UI testing.,Symmetric Cyclic,yes,Demo value,123.45,0.27,104.77,123.45,W14x176,294.88,147.44,6.55,117.63,8.3,9.26,4728.41,262056704.08,840861.22,123.45,24.39,71.44,194.11,4885.07,247170674.28,810080.78,123.45,123.45,123.45,123.45,123.45,123.45,ASTM A992,241.96,242.82,213.35,350.17,221.99,2376.86,2171.77,1576.39,2.8,W14x176,245.82,8.81,165.18,187.92,14.34,7.83,9322.56,442296213.71,123.45,123.45,123.45,123.45,123.45,ASTM A992,242.5,27.36,230.11,217.44,317.16,220.08,2195.08,yes,Demo value,0.19,123.45,123.45,123.45,Demo value,123.45,123.45,123.45,123.45,123.45,123.45,123.45,123.45,Demo value,123.45,123.45,Demo value,123.45,123.45,123.45,4,4,4,123.45,123.45,123.45,Strong Axis,W14x176,245.82,8.81,165.18,14.34,279.03,223.79,123.45,123.45,51.01,0,1.19,2.38,11.03,2.78,54.01,311.68,72.88,3180.31,220.08,274.52,0.04,702.67,718.95,848.7,681.5,242.5,274.52,0.03,598.25,674.1,793.27,637.04,315.91,437.22,123.45,438.07,800.59,355.76,264.22,1311.56,1005.96,1.25,0.96,yes,0.96,0.93,yes,0.01,0,5.59,"Demo et al. (2025), J. Struct. Eng.",https://example.org/demo-dataset,26.31,-106.24
DEMO-CON-002,DEMO Sample Program 2025,1976,DEMO-SPEC-01,Demo value,DEMO-SPEC-01,Synthetic record for UI testing.,Symmetric Cyclic,yes,Demo value,123.45,0.28,158.75,123.45,W14x176,336.01,168.01,7.26,133.67,9.75,10.64,6611.66,495435062.94,1419529.42,123.45,28.21,81.92,211.57,6217.89,433721876,1283097.36,123.45,123.45,123.45,123.45,123.45,123.45,ASTM A992,249.49,256.05,227.44,355.6,234.94,2821.87,2608.39,1782.44,3.12,W14x176,290.23,11.4,182.53,229.79,18.53,9.3,14077.39,854015110.59,123.45,123.45,123.45,123.45,123.45,ASTM A992,250,54.73,243.73,231.49,323.36,234.06,2390.16,yes,Demo value,0.38,123.45,123.45,123.45,Demo value,123.45,123.45,123.45,123.45,123.45,123.45,123.45,123.45,Demo value,123.45,123.45,Demo value,123.45,123.45,123.45,4,4,4,123.45,123.45,123.45,Strong Axis,W14x176,290.23,11.4,182.53,18.53,318.04,266.48,123.45,123.45,102.01,0,2.38,4.76,15.83,5.56,108.01,376.46,145.75,4470.3,234.06,549.05,0.08,1114.75,1225.3,1454.57,1169.42,250,549.05,0.06,941.35,1161.54,1373,1106.84,631.83,757.3,123.45,774.68,1126.7,711.53,425.96,1844.38,1568.12,1.56,1.2,yes,1.12,1.07,yes,0.02,0,9.41,"Demo et al. (2025), J. Struct. Eng.",https://example.org/demo-dataset,27.61,-90.14
DEMO-CON-003,DEMO Sample Program 2025,1979,DEMO-SPEC-01,Demo value,DEMO-SPEC-01,Synthetic record for UI testing.,Symmetric Cyclic,yes,Demo value,123.45,0.3,212.72,123.45,W14x176,377.14,188.57,7.97,149.7,11.19,12.02,8494.91,728813421.8,1998197.62,123.45,32.03,92.39,229.02,7550.71,620273077.71,1756113.94,123.45,123.45,123.45,123.45,123.45,123.45,ASTM A992,257.03,269.28,241.53,361.03,247.88,3266.87,3045.02,1988.5,3.44,W14x176,334.63,13.99,199.88,271.66,22.71,10.78,18832.22,1265734007.48,123.45,123.45,123.45,123.45,123.45,ASTM A992,257.5,82.09,257.35,245.54,329.57,248.04,2585.24,yes,Demo value,0.57,123.45,123.45,123.45,Demo value,123.45,123.45,123.45,123.45,123.45,123.45,123.45,123.45,Demo value,123.45,123.45,Demo value,123.45,123.45,123.45,4,4,4,123.45,123.45,123.45,Strong Axis,W14x176,334.63,13.99,199.88,22.71,357.04,309.17,123.45,123.45,153.02,0,3.57,7.14,20.63,8.33,162.02,441.25,218.63,5760.3,248.04,823.57,0.11,1526.84,1731.64,2060.44,1657.35,257.5,823.57,0.09,1284.45,1648.97,1952.72,1576.65,947.74,1077.38,123.45,1111.3,1452.8,1067.29,587.7,2377.21,2130.28,1.86,1.44,yes,1.28,1.2,yes,0.03,0,13.23,"Demo et al. (2025), J. Struct. Eng.",https://example.org/demo-dataset,28.9,-74.04
DEMO-CON-004,DEMO Sample Program 2025,1982,DEMO-SPEC-01,Demo value,DEMO-SPEC-01,Synthetic record for UI testing.,Symmetric Cyclic,yes,Demo value,123.45,0.32,266.7,123.45,W14x176,418.27,209.14,8.67,165.73,12.64,13.4,10378.16,962191780.66,2576865.81,123.45,35.85,102.87,246.48,8883.53,806824279.43,2229130.51,123.45,123.45,123.45,123.45,123.45,123.45,ASTM A992,264.57,282.51,255.62,366.46,260.83,3711.88,3481.65,2194.56,3.76,W14x176,379.03,16.57,217.23,313.53,26.89,12.26,23587.05,1677452904.37,123.45,123.45,123.45,123.45,123.45,ASTM A992,265,109.45,270.96,259.59,335.77,262.03,2780.32,yes,Demo value,0.76,123.45,123.45,123.45,Demo value,123.45,123.45,123.45,123.45,123.45,123.45,123.45,123.45,Demo value,123.45,123.45,Demo value,123.45,123.45,123.45,4,4,4,123.45,123.45,123.45,Strong Axis,W14x176,379.03,16.57,217.23,26.89,396.05,351.85,123.45,123.45,204.03,0,4.76,9.53,25.43,11.11,216.03,506.04,291.5,7050.29,262.03,1098.1,0.15,1938.92,2237.99,2666.31,2145.27,265,1098.1,0.12,1627.56,2136.4,2532.45,2046.46,1263.65,1397.46,123.45,1447.91,1778.91,1423.06,749.45,2910.03,2692.44,2.17,1.68,yes,1.44,1.34,yes,0.04,0,17.04,"Demo et al. (2025), J. Struct. Eng.",https://example.org/demo-dataset,30.2,-57.94
DEMO-CON-005,DEMO Sample Program 2025,1985,DEMO-SPEC-01,Demo value,DEMO-SPEC-01,Synthetic record for UI testing.,Symmetric Cyclic,yes,Demo value,123.45,0.33,320.67,123.45,W14x176,459.41,229.7,9.38,181.77,14.08,14.78,12261.41,1195570139.53,3155534.01,123.45,39.67,113.35,263.93,10216.35,993375481.14,2702147.09,123.45,123.45,123.45,123.45,123.45,123.45,ASTM A992,272.1,295.74,269.71,371.89,273.77,4156.88,3918.28,2400.62,4.08,W14x176,423.43,19.16,234.58,355.4,31.08,13.73,28341.88,2089171801.25,123.45,123.45,123.45,123.45,123.45,ASTM A992,272.5,136.82,284.58,273.64,341.98,276.01,2975.4,yes,Demo value,0.95,123.45,123.45,123.45,Demo value,123.45,123.45,123.45,123.45,123.45,123.45,123.45,123.45,Demo value,123.45,123.45,Demo value,123.45,123.45,123.45,4,4,4,123.45,123.45,123.45,Strong Axis,W14x176,423.43,19.16,234.58,31.08,435.05,394.54,123.45,123.45,255.03,0,5.95,11.91,30.23,13.89,270.03,570.83,364.38,8340.28,276.01,1372.62,0.19,2351.01,2744.34,3272.19,2633.19,272.5,1372.62,0.16,1970.66,2623.83,3112.18,2516.26,1579.56,1717.54,123.45,1784.53,2105.02,1778.82,911.19,3442.86,3254.6,2.48,1.92,yes,1.61,1.47,yes,0.05,0,20.86,"Demo et al. (2025), J. Struct. Eng.",https://example.org/demo-dataset,31.49,-41.84
