Radial elongation [mm],Load [kN]
-0.036281571,-11.05897331
-0.036500972,-11.07095051
-0.036690559,-11.07905388
-0.036872622,-11.08911991
-0.037075348,-11.10063362
-0.03729574,-11.11133766
-0.037468869,-11.12217045
-0.037654661,-11.12773991
-0.037867311,-11.13634396
-0.038043614,-11.14691257
-0.038240448,-11.15856171
-0.038440995,-11.16830063
-0.038665235,-11.17601204
-0.038831871,-11.18208122
-0.039030306,-11.19041634
-0.039279621,-11.20548248
-0.039427847,-11.21089554
-0.039634291,-11.21780968
-0.03981825,-11.22736454
-0.040017236,-11.23683643
-0.040204342,-11.24783516
-0.040403694,-11.25462437
-0.040581465,-11.26033497
-0.04079552,-11.27225685
-0.040943764,-11.28124332
-0.041156735,-11.28906918
-0.041338626,-11.29663181
-0.041560907,-11.30203056
-0.041724775,-11.30951977
-0.041913107,-11.32025719
-0.04210604,-11.32967186
-0.042308118,-11.34069633
-0.042496037,-11.34643364
-0.042682786,-11.35255337
-0.042871851,-11.36309147
-0.043056119,-11.37026787
-0.043242745,-11.37468719
-0.043434985,-11.38569546
-0.043647245,-11.39446735
-0.043816272,-11.40235233
-0.044000328,-11.40993977
-0.044184994,-11.41871262
-0.044384927,-11.42640495
-0.044585671,-11.43302441
-0.044746924,-11.44033337
-0.044929717,-11.44892502
-0.045122661,-11.45762062
-0.045302562,-11.4628706
-0.045507111,-11.47197437
-0.045673549,-11.48052692
-0.045868963,-11.48679447
-0.046073373,-11.49629498
-0.046275195,-11.50281811
-0.046401199,-11.50964451
-0.046633903,-11.51925945
-0.046807334,-11.52825069
-0.046995431,-11.53469181
-0.047163151,-11.53921604
-0.047394074,-11.55113888
-0.047540501,-11.56233406
-0.047760449,-11.56777287
-0.047930174,-11.57392502
-0.048125643,-11.57834721
-0.048283741,-11.58473587
-0.04850423,-11.59688568
-0.048657387,-11.60577011
-0.048850872,-11.61013889
-0.049037118,-11.61551762
-0.049192514,-11.61918831
-0.049408626,-11.62965584
-0.049581375,-11.63824844
-0.049763359,-11.64439774
-0.049940158,-11.64877129
-0.050118163,-11.65822506
-0.050320495,-11.67177582
-0.050531004,-11.67736626
-0.050674941,-11.68252182
-0.050878968,-11.68606567
-0.051056791,-11.69408226
-0.051242087,-11.69967937
-0.051425006,-11.7067461
-0.051596977,-11.7129364
-0.05176644,-11.71945763
-0.051962707,-11.72682667
-0.052094519,-11.73244858
-0.052264202,-11.7383461
-0.05247917,-11.74621201
-0.052659258,-11.75137997
-0.052791983,-11.75844383
-0.052976128,-11.7616272
