coordinate,residual_stress
0,31.94334266
3.716129032,16.74237543
8.670967742,4.074902744
14.86451613,-7.325822675
18.58064516,-14.92630629
24.77419355,-22.5267899
30.96774194,-27.59377898
39.63870968,-32.66076805
47.07096774,-33.92751532
59.45806452,-31.39402078
70.60645161,-27.59377898
82.99354839,-23.79353717
92.90322581,-21.26004263
102.8129032,-21.26004263
113.9612903,-23.79353717
126.3483871,-28.86052625
133.7806452,-32.66076805
144.9290323,-35.19426259
154.8387097,-35.19426259
163.5096774,-27.59377898
173.4193548,-16.19305356
177.1354839,-8.592569944
180.8516129,0.274660938
185.8064516,10.40863909
188.283871,23.07611178
190.7612903,30.67659539
