29.20909091,-31.25
46.55454545,-33.03571429
61.00909091,-38.39285714
73.53636364,-53.57142857
84.13636364,-67.85714286
90.88181818,-77.67857143
101.4818182,-97.32142857
111.1181818,-110.7142857
117.8636364,-124.1071429
125.5727273,-129.4642857
137.1363636,-135.7142857
145.8090909,-139.2857143
154.4818182,-134.8214286
163.1545455,-123.2142857
169.9,-116.0714286
179.5363636,-103.5714286
187.2454545,-88.39285714
196.8818182,-76.78571429
203.6272727,-64.28571429
211.3363636,-53.57142857
221.9363636,-42.85714286
230.6090909,-33.92857143
238.3181818,-26.78571429
250.8454545,-20.53571429
261.4454545,-14.28571429
