coordinate,residual_stress
30.71428571,-17.0542635658915
45,-48.062015503876
60.71428571,6.20155038759691
75.71428571,41.8604651162791
91.42857143,36.4341085271318
106.4285714,8.52713178294573
121.4285714,-7.75193798449612
136.4285714,-22.4806201550388
150.7142857,-37.2093023255814
166.4285714,-48.8372093023256
181.4285714,-58.1395348837209
195,-58.1395348837209
210.7142857,-62.7906976744186
227.1428571,-63.5658914728682
241.4285714,-56.5891472868217
255.7142857,-51.1627906976744
270.7142857,-35.6589147286822
284.2857143,-17.8294573643411
301.4285714,-3.10077519379846
317.8571429,-120.93023255814
330.7142857,24.8062015503876
