coordinate,residual_stress
71.3513513513514,-88.1587505154639
83.7837837837838,-33.9694268041237
91.3513513513514,-12.9407340206186
96.7567567567568,-10.1099484536082
109.189189189189,-6.47036701030928
112.972972972973,-0.40439793814433
120,19.8154989690722
124.864864864865,28.3078556701031
130.27027027027,33.5650288659794
136.756756756757,31.1386412371134
143.243243243243,17.7935092783505
148.108108108108,6.47036701030928
162.702702702703,-29.5210494845361
169.72972972973,-40.0353958762887
175.135135135135,-40.8441917525773
179.459459459459,-35.9914164948454
183.243243243243,-29.1166515463918
192.972972972973,-6.87476494845361
200.540540540541,1.61759175257732
210.27027027027,1.61759175257732
215.135135135135,-2.83078556701031
220.540540540541,-23.8594783505155
224.864864864865,-61.4684865979381
229.189189189189,-116.062208247423
232.972972972973,-160.545981443299
235.135135135135,-179.957082474227
