coordinate,residual_stress
23.3541666666667,-96.6101694915254
46.7083333333333,-109.322033898305
73.75,-53.3898305084746
98.3333333333333,5.08474576271186
126.604166666667,50.8474576271186
147.5,86.4406779661017
177,116.949152542373
197.895833333333,132.203389830508
224.9375,160.169491525424
251.979166666667,167.796610169492
272.875,144.915254237288
298.6875,147.457627118644
322.041666666667,104.237288135593
350.3125,73.728813559322
374.895833333333,35.5932203389831
399.479166666667,-7.6271186440678
426.520833333333,-61.0169491525424
451.104166666667,-150
