coordinate,residual_stress
24.3538083538084,-80
47.5479115479115,-93.3333333333333
77.7002457002457,-99.3939393939394
99.7346437346437,-75.1515151515152
124.088452088452,-35.1515151515151
150.761670761671,3.63636363636364
175.115479115479,33.9393939393939
198.309582309582,47.2727272727273
223.823095823096,56.969696969697
250.496314496314,53.3333333333333
276.009828009828,54.5454545454545
301.523341523342,25.4545454545455
323.55773955774,2.42424242424242
352.550368550369,-16.969696969697
374.584766584767,-53.3333333333333
397.77886977887,-72.7272727272727
424.452088452088,-86.0606060606061
448.805896805897,-120
