coordinate,residual_stress
921.67916041979,87.8661087866109
913.508245877061,57.7405857740586
908.605697151424,38.9121338912134
903.703148425787,25.1046025104602
893.898050974513,5.02092050209205
887.36131934033,-11.2970711297071
869.385307346327,-28.8702928870293
856.311844077961,-50.2092050209205
848.140929535232,-60.2510460251046
836.701649175412,-76.5690376569038
828.530734632684,-86.6108786610879
823.628185907046,-95.397489539749
817.091454272864,-102.928870292887
804.017991004498,-121.757322175732
792.578710644678,-121.757322175732
764.7976011994,-125.523012552301
750.089955022489,-128.033472803347
735.382308845577,-134.309623430962
723.943028485757,-143.096234309623
715.772113943028,-149.372384937239
692.893553223388,-156.903765690377
683.088455772114,-159.414225941423
648.770614692654,-171.966527196653
634.062968515742,-180.753138075314
607.916041979011,-193.305439330544
594.842578710645,-194.560669456067
568.695652173913,-195.81589958159
550.71964017991,-198.326359832636
534.377811094453,-198.326359832636
514.767616191904,-207.112970711297
495.157421289355,-209.623430962343
464.107946026986,-208.36820083682
447.766116941529,-202.092050209205
433.058470764618,-192.050209205021
418.350824587706,-178.242677824268
400.374812593703,-165.690376569038
369.325337331334,-150.627615062761
343.178410794603,-144.351464435146
315.397301349325,-135.564853556485
297.421289355322,-131.799163179916
269.640179910045,-116.73640167364
253.298350824588,-101.673640167364
220.614692653673,-71.5481171548117
201.004497751124,-55.2301255230126
189.565217391304,-38.9121338912134
183.028485757121,-30.1255230125523
166.686656671664,0
166.686656671664,21.3389121338912
158.515742128936,43.9330543933054
