coordinate,residual_stress
50.3419972640219,4.15340470588235
52.8043775649795,-13.8446823529412
72.2298221614227,-73.8383058823529
79.343365253078,-94.14384
86.1833105335157,-105.681075294118
91.3816689466484,-111.218948235294
97.4008207934337,-111.680437647059
103.146374829001,-108.450011764706
113.269493844049,-98.7587341176471
121.203830369357,-86.7600094117647
126.949384404925,-73.8383058823529
134.610123119015,-60.4551129411765
141.450068399453,-52.6097929411765
148.016415868673,-46.6104305882353
166.621067031464,-41.9955364705882
173.461012311901,-40.6110682352941
